county,precinct,office,district,candidate,party,election_day,mail,provisional,votes
Armstrong,Kittanning Twp,STATE TREASURER,,CHRIS FOSTER,FWD,3,1,0,4
Armstrong,Kittanning Twp,STATE TREASURER,,Write-ins,,1,0,0,1
Armstrong,Kittanning Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Kittanning Twp,U.S. House,15,GLENN GT THOMPSON,REP,732,208,6,946
Armstrong,Kittanning Twp,U.S. House,15,ZACH WOMER,DEM,127,93,1,221
Armstrong,Kittanning Twp,U.S. House,15,Write-ins,,3,0,0,3
Armstrong,Kittanning Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Kittanning Twp,State Senate,41,JOE PITTMAN,REP,794,246,6,1046
Armstrong,Kittanning Twp,State Senate,41,Write-ins,,10,12,0,22
Armstrong,Kittanning Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Kittanning Twp,State House,63,JOSH BASHLINE,REP,722,206,5,933
Armstrong,Kittanning Twp,State House,63,PAT RITCHIE,DEM,133,93,2,228
Armstrong,Kittanning Twp,State House,63,Write-ins,,2,0,0,2
Armstrong,Kittanning Twp,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Leechburg Boro,Registered Voters,,,,,,,1421
Armstrong,Leechburg Boro,Ballots Cast,,,,852,213,8,1073
Armstrong,Leechburg Boro,PRESIDENT,,DONALD J TRUMP,REP,590,87,7,684
Armstrong,Leechburg Boro,PRESIDENT,,KAMALA D HARRIS,DEM,242,122,1,365
Armstrong,Leechburg Boro,PRESIDENT,,CHASE OLIVER,LIB,10,1,0,11
Armstrong,Leechburg Boro,PRESIDENT,,JILL STEIN,GRN,4,1,0,5
Armstrong,Leechburg Boro,PRESIDENT,,Write-ins,,5,0,0,5
Armstrong,Leechburg Boro,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Leechburg Boro,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Leechburg Boro,U.S. SENATE,,DAVE MCCORMICK,REP,550,74,6,630
Armstrong,Leechburg Boro,U.S. SENATE,,ROBERT P CASEY JR,DEM,254,127,1,382
Armstrong,Leechburg Boro,U.S. SENATE,,JOHN C THOMAS,LIB,19,5,0,24
Armstrong,Leechburg Boro,U.S. SENATE,,LEILA HAZOU,GRN,11,1,0,12
Armstrong,Leechburg Boro,U.S. SENATE,,MARTY SELKER,CST,9,1,0,10
Armstrong,Leechburg Boro,U.S. SENATE,,Write-ins,,2,0,0,2
Armstrong,Leechburg Boro,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Leechburg Boro,ATTORNEY GENERAL,,DAVE SUNDAY,REP,540,76,2,618
Armstrong,Leechburg Boro,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,251,126,2,379
Armstrong,Leechburg Boro,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,24,3,0,27
Armstrong,Leechburg Boro,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,8,1,0,9
Armstrong,Leechburg Boro,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,5,2,0,7
Armstrong,Leechburg Boro,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,Leechburg Boro,ATTORNEY GENERAL,,Write-ins,,3,0,0,3
Armstrong,Leechburg Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Leechburg Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,550,77,3,630
Armstrong,Leechburg Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,233,119,1,353
Armstrong,Leechburg Boro,AUDITOR GENERAL,,REECE SMITH,LIB,29,6,0,35
Armstrong,Leechburg Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,10,1,0,11
Armstrong,Leechburg Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,3,1,0,4
Armstrong,Leechburg Boro,AUDITOR GENERAL,,Write-ins,,1,0,0,1
Armstrong,Leechburg Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Leechburg Boro,STATE TREASURER,,STACY GARRITY,REP,549,79,2,630
Armstrong,Leechburg Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,244,124,2,370
Armstrong,Leechburg Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,28,4,0,32
Armstrong,Leechburg Boro,STATE TREASURER,,TROY BOWMAN,CST,4,0,0,4
Armstrong,Leechburg Boro,STATE TREASURER,,CHRIS FOSTER,FWD,3,1,0,4
Armstrong,Leechburg Boro,STATE TREASURER,,Write-ins,,3,0,0,3
Armstrong,Leechburg Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Leechburg Boro,U.S. House,15,GLENN GT THOMPSON,REP,568,81,3,652
Armstrong,Leechburg Boro,U.S. House,15,ZACH WOMER,DEM,249,124,1,374
Armstrong,Leechburg Boro,U.S. House,15,Write-ins,,3,0,0,3
Armstrong,Leechburg Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Leechburg Boro,State Senate,41,JOE PITTMAN,REP,693,144,3,840
Armstrong,Leechburg Boro,State Senate,41,Write-ins,,25,12,0,37
Armstrong,Leechburg Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Leechburg Boro,State House,60,ABBY MAJOR,REP,718,151,3,872
Armstrong,Leechburg Boro,State House,60,Write-ins,,31,9,0,40
Armstrong,Leechburg Boro,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Madison Twp,Registered Voters,,,,,,,584
Armstrong,Madison Twp,Ballots Cast,,,,427,77,1,505
Armstrong,Madison Twp,PRESIDENT,,DONALD J TRUMP,REP,385,49,1,435
Armstrong,Madison Twp,PRESIDENT,,KAMALA D HARRIS,DEM,39,26,0,65
Armstrong,Madison Twp,PRESIDENT,,JILL STEIN,GRN,2,1,0,3
Armstrong,Madison Twp,PRESIDENT,,CHASE OLIVER,LIB,0,0,0,0
Armstrong,Madison Twp,PRESIDENT,,Write-ins,,0,1,0,1
Armstrong,Madison Twp,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Madison Twp,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Madison Twp,U.S. SENATE,,DAVE MCCORMICK,REP,370,50,1,421
Armstrong,Madison Twp,U.S. SENATE,,ROBERT P CASEY JR,DEM,47,27,0,74
Armstrong,Madison Twp,U.S. SENATE,,JOHN C THOMAS,LIB,6,0,0,6
Armstrong,Madison Twp,U.S. SENATE,,LEILA HAZOU,GRN,2,0,0,2
Armstrong,Madison Twp,U.S. SENATE,,MARTY SELKER,CST,1,0,0,1
Armstrong,Madison Twp,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Madison Twp,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Madison Twp,ATTORNEY GENERAL,,DAVE SUNDAY,REP,367,48,1,416
Armstrong,Madison Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,37,25,0,62
Armstrong,Madison Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,6,0,0,6
Armstrong,Madison Twp,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,4,0,0,4
Armstrong,Madison Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,1,0,2
Armstrong,Madison Twp,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Armstrong,Madison Twp,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Madison Twp,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Madison Twp,AUDITOR GENERAL,,TIM DEFOOR,REP,364,50,1,415
Armstrong,Madison Twp,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,41,24,0,65
Armstrong,Madison Twp,AUDITOR GENERAL,,REECE SMITH,LIB,3,0,0,3
Armstrong,Madison Twp,AUDITOR GENERAL,,BOB GOODRICH,CST,3,0,0,3
Armstrong,Madison Twp,AUDITOR GENERAL,,ERIC K ANTON,ASP,2,0,0,2
Armstrong,Madison Twp,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Madison Twp,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Madison Twp,STATE TREASURER,,STACY GARRITY,REP,367,48,1,416
Armstrong,Madison Twp,STATE TREASURER,,ERIN MCCLELLAND,DEM,42,25,0,67
Armstrong,Madison Twp,STATE TREASURER,,CHRIS FOSTER,FWD,3,0,0,3
Armstrong,Madison Twp,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,2,0,0,2
Armstrong,Madison Twp,STATE TREASURER,,TROY BOWMAN,CST,1,0,0,1
Armstrong,Madison Twp,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Madison Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Madison Twp,U.S. House,15,GLENN GT THOMPSON,REP,333,49,1,383
Armstrong,Madison Twp,U.S. House,15,ZACH WOMER,DEM,35,26,0,61
Armstrong,Madison Twp,U.S. House,15,Write-ins,,2,0,0,2
Armstrong,Madison Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Madison Twp,State Senate,41,JOE PITTMAN,REP,381,59,1,441
Armstrong,Madison Twp,State Senate,41,Write-ins,,1,1,0,2
Armstrong,Madison Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Madison Twp,State House,63,JOSH BASHLINE,REP,359,49,1,409
Armstrong,Madison Twp,State House,63,PAT RITCHIE,DEM,44,24,0,68
Armstrong,Madison Twp,State House,63,Write-ins,,1,0,0,1
Armstrong,Madison Twp,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Mahoning Twp,Registered Voters,,,,,,,902
Armstrong,Mahoning Twp,Ballots Cast,,,,674,123,1,798
Armstrong,Mahoning Twp,PRESIDENT,,DONALD J TRUMP,REP,580,77,1,658
Armstrong,Mahoning Twp,PRESIDENT,,KAMALA D HARRIS,DEM,89,44,0,133
Armstrong,Mahoning Twp,PRESIDENT,,CHASE OLIVER,LIB,3,1,0,4
Armstrong,Mahoning Twp,PRESIDENT,,JILL STEIN,GRN,2,0,0,2
Armstrong,Mahoning Twp,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,Mahoning Twp,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Mahoning Twp,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Mahoning Twp,U.S. SENATE,,DAVE MCCORMICK,REP,539,76,1,616
Armstrong,Mahoning Twp,U.S. SENATE,,ROBERT P CASEY JR,DEM,106,44,0,150
Armstrong,Mahoning Twp,U.S. SENATE,,JOHN C THOMAS,LIB,14,0,0,14
Armstrong,Mahoning Twp,U.S. SENATE,,MARTY SELKER,CST,4,1,0,5
Armstrong,Mahoning Twp,U.S. SENATE,,LEILA HAZOU,GRN,2,0,0,2
Armstrong,Mahoning Twp,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Mahoning Twp,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Mahoning Twp,ATTORNEY GENERAL,,DAVE SUNDAY,REP,535,73,1,609
Armstrong,Mahoning Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,92,46,0,138
Armstrong,Mahoning Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,12,0,0,12
Armstrong,Mahoning Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,7,1,0,8
Armstrong,Mahoning Twp,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,7,1,0,8
Armstrong,Mahoning Twp,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,3,0,0,3
Armstrong,Mahoning Twp,ATTORNEY GENERAL,,Write-ins,,1,0,0,1
Armstrong,Mahoning Twp,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Mahoning Twp,AUDITOR GENERAL,,TIM DEFOOR,REP,545,74,1,620
Armstrong,Mahoning Twp,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,90,42,0,132
Armstrong,Mahoning Twp,AUDITOR GENERAL,,REECE SMITH,LIB,10,1,0,11
Armstrong,Mahoning Twp,AUDITOR GENERAL,,BOB GOODRICH,CST,5,2,0,7
Armstrong,Mahoning Twp,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,0,0,1
Armstrong,Mahoning Twp,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Mahoning Twp,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Mahoning Twp,STATE TREASURER,,STACY GARRITY,REP,542,76,1,619
Armstrong,Mahoning Twp,STATE TREASURER,,ERIN MCCLELLAND,DEM,91,43,0,134
Armstrong,Mahoning Twp,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,7,1,0,8
Armstrong,Mahoning Twp,STATE TREASURER,,TROY BOWMAN,CST,7,1,0,8
Armstrong,Mahoning Twp,STATE TREASURER,,CHRIS FOSTER,FWD,5,0,0,5
Armstrong,Mahoning Twp,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Mahoning Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Mahoning Twp,U.S. House,15,GLENN GT THOMPSON,REP,554,76,1,631
Armstrong,Mahoning Twp,U.S. House,15,ZACH WOMER,DEM,91,44,0,135
Armstrong,Mahoning Twp,U.S. House,15,Write-ins,,2,0,0,2
Armstrong,Mahoning Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Mahoning Twp,State Senate,41,JOE PITTMAN,REP,596,97,0,693
Armstrong,Mahoning Twp,State Senate,41,Write-ins,,10,7,0,17
Armstrong,Mahoning Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Mahoning Twp,State House,63,JOSH BASHLINE,REP,564,81,1,646
Armstrong,Mahoning Twp,State House,63,PAT RITCHIE,DEM,88,40,0,128
Armstrong,Mahoning Twp,State House,63,Write-ins,,3,0,0,3
Armstrong,Mahoning Twp,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-North,Registered Voters,,,,,,,1292
Armstrong,Manor Twp-North,Ballots Cast,,,,832,221,1,1054
Armstrong,Manor Twp-North,PRESIDENT,,DONALD J TRUMP,REP,671,127,0,798
Armstrong,Manor Twp-North,PRESIDENT,,KAMALA D HARRIS,DEM,150,92,1,243
Armstrong,Manor Twp-North,PRESIDENT,,CHASE OLIVER,LIB,6,0,0,6
Armstrong,Manor Twp-North,PRESIDENT,,JILL STEIN,GRN,3,2,0,5
Armstrong,Manor Twp-North,PRESIDENT,,Write-ins,,2,0,0,2
Armstrong,Manor Twp-North,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Manor Twp-North,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-North,U.S. SENATE,,DAVE MCCORMICK,REP,644,116,0,760
Armstrong,Manor Twp-North,U.S. SENATE,,ROBERT P CASEY JR,DEM,159,94,1,254
Armstrong,Manor Twp-North,U.S. SENATE,,JOHN C THOMAS,LIB,13,4,0,17
Armstrong,Manor Twp-North,U.S. SENATE,,LEILA HAZOU,GRN,8,1,0,9
Armstrong,Manor Twp-North,U.S. SENATE,,MARTY SELKER,CST,1,1,0,2
Armstrong,Manor Twp-North,U.S. SENATE,,Write-ins,,1,0,0,1
Armstrong,Manor Twp-North,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-North,ATTORNEY GENERAL,,DAVE SUNDAY,REP,628,112,0,740
Armstrong,Manor Twp-North,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,146,98,1,245
Armstrong,Manor Twp-North,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,16,4,0,20
Armstrong,Manor Twp-North,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,12,1,0,13
Armstrong,Manor Twp-North,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,8,0,0,8
Armstrong,Manor Twp-North,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,0,0,2
Armstrong,Manor Twp-North,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Manor Twp-North,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-North,AUDITOR GENERAL,,TIM DEFOOR,REP,627,118,0,745
Armstrong,Manor Twp-North,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,152,91,1,244
Armstrong,Manor Twp-North,AUDITOR GENERAL,,REECE SMITH,LIB,8,6,0,14
Armstrong,Manor Twp-North,AUDITOR GENERAL,,BOB GOODRICH,CST,11,0,0,11
Armstrong,Manor Twp-North,AUDITOR GENERAL,,ERIC K ANTON,ASP,7,0,0,7
Armstrong,Manor Twp-North,AUDITOR GENERAL,,Write-ins,,1,0,0,1
Armstrong,Manor Twp-North,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-North,STATE TREASURER,,STACY GARRITY,REP,642,117,0,759
Armstrong,Manor Twp-North,STATE TREASURER,,ERIN MCCLELLAND,DEM,142,92,1,235
Armstrong,Manor Twp-North,STATE TREASURER,,TROY BOWMAN,CST,12,1,0,13
Armstrong,Manor Twp-North,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,8,3,0,11
Armstrong,Manor Twp-North,STATE TREASURER,,CHRIS FOSTER,FWD,3,1,0,4
Armstrong,Manor Twp-North,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Manor Twp-North,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-North,U.S. House,15,GLENN GT THOMPSON,REP,651,118,0,769
Armstrong,Manor Twp-North,U.S. House,15,ZACH WOMER,DEM,147,94,1,242
Armstrong,Manor Twp-North,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Manor Twp-North,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-North,State Senate,41,JOE PITTMAN,REP,747,169,1,917
Armstrong,Manor Twp-North,State Senate,41,Write-ins,,7,9,0,16
Armstrong,Manor Twp-North,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-North,State House,60,ABBY MAJOR,REP,763,178,1,942
Armstrong,Manor Twp-North,State House,60,Write-ins,,12,9,0,21
Armstrong,Manor Twp-North,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #1,Registered Voters,,,,,,,686
Armstrong,Manor Twp-South #1,Ballots Cast,,,,478,130,2,610
Armstrong,Manor Twp-South #1,PRESIDENT,,DONALD J TRUMP,REP,378,73,1,452
Armstrong,Manor Twp-South #1,PRESIDENT,,KAMALA D HARRIS,DEM,99,55,1,155
Armstrong,Manor Twp-South #1,PRESIDENT,,CHASE OLIVER,LIB,0,0,0,0
Armstrong,Manor Twp-South #1,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,Manor Twp-South #1,PRESIDENT,,Write-ins,,1,1,0,2
Armstrong,Manor Twp-South #1,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Manor Twp-South #1,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #1,U.S. SENATE,,DAVE MCCORMICK,REP,357,68,1,426
Armstrong,Manor Twp-South #1,U.S. SENATE,,ROBERT P CASEY JR,DEM,111,53,1,165
Armstrong,Manor Twp-South #1,U.S. SENATE,,JOHN C THOMAS,LIB,5,4,0,9
Armstrong,Manor Twp-South #1,U.S. SENATE,,MARTY SELKER,CST,2,3,0,5
Armstrong,Manor Twp-South #1,U.S. SENATE,,LEILA HAZOU,GRN,0,1,0,1
Armstrong,Manor Twp-South #1,U.S. SENATE,,Write-ins,,1,0,0,1
Armstrong,Manor Twp-South #1,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #1,ATTORNEY GENERAL,,DAVE SUNDAY,REP,355,76,1,432
Armstrong,Manor Twp-South #1,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,104,49,1,154
Armstrong,Manor Twp-South #1,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,7,2,0,9
Armstrong,Manor Twp-South #1,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,4,1,0,5
Armstrong,Manor Twp-South #1,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,0,0,1
Armstrong,Manor Twp-South #1,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,Manor Twp-South #1,ATTORNEY GENERAL,,Write-ins,,1,0,0,1
Armstrong,Manor Twp-South #1,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #1,AUDITOR GENERAL,,TIM DEFOOR,REP,361,76,1,438
Armstrong,Manor Twp-South #1,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,96,48,1,145
Armstrong,Manor Twp-South #1,AUDITOR GENERAL,,REECE SMITH,LIB,8,0,0,8
Armstrong,Manor Twp-South #1,AUDITOR GENERAL,,BOB GOODRICH,CST,5,2,0,7
Armstrong,Manor Twp-South #1,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,0,0,1
Armstrong,Manor Twp-South #1,AUDITOR GENERAL,,Write-ins,,1,0,0,1
Armstrong,Manor Twp-South #1,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #1,STATE TREASURER,,STACY GARRITY,REP,365,80,1,446
Armstrong,Manor Twp-South #1,STATE TREASURER,,ERIN MCCLELLAND,DEM,96,47,1,144
Armstrong,Manor Twp-South #1,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,4,0,0,4
Armstrong,Manor Twp-South #1,STATE TREASURER,,TROY BOWMAN,CST,2,1,0,3
Armstrong,Manor Twp-South #1,STATE TREASURER,,CHRIS FOSTER,FWD,2,0,0,2
Armstrong,Manor Twp-South #1,STATE TREASURER,,Write-ins,,1,0,0,1
Armstrong,Manor Twp-South #1,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #1,U.S. House,15,GLENN GT THOMPSON,REP,370,82,1,453
Armstrong,Manor Twp-South #1,U.S. House,15,ZACH WOMER,DEM,99,43,1,143
Armstrong,Manor Twp-South #1,U.S. House,15,Write-ins,,1,0,0,1
Armstrong,Manor Twp-South #1,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #1,State Senate,41,JOE PITTMAN,REP,429,108,1,538
Armstrong,Manor Twp-South #1,State Senate,41,Write-ins,,8,1,1,10
Armstrong,Manor Twp-South #1,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #1,State House,60,ABBY MAJOR,REP,429,110,1,540
Armstrong,Manor Twp-South #1,State House,60,Write-ins,,15,2,1,18
Armstrong,Manor Twp-South #1,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #2,Registered Voters,,,,,,,899
Armstrong,Manor Twp-South #2,Ballots Cast,,,,600,186,3,789
Armstrong,Manor Twp-South #2,PRESIDENT,,DONALD J TRUMP,REP,459,96,1,556
Armstrong,Manor Twp-South #2,PRESIDENT,,KAMALA D HARRIS,DEM,133,87,2,222
Armstrong,Manor Twp-South #2,PRESIDENT,,CHASE OLIVER,LIB,2,1,0,3
Armstrong,Manor Twp-South #2,PRESIDENT,,JILL STEIN,GRN,1,1,0,2
Armstrong,Manor Twp-South #2,PRESIDENT,,Write-ins,,3,0,0,3
Armstrong,Manor Twp-South #2,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Manor Twp-South #2,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #2,U.S. SENATE,,DAVE MCCORMICK,REP,429,97,1,527
Armstrong,Manor Twp-South #2,U.S. SENATE,,ROBERT P CASEY JR,DEM,154,83,2,239
Armstrong,Manor Twp-South #2,U.S. SENATE,,JOHN C THOMAS,LIB,12,4,0,16
Armstrong,Manor Twp-South #2,U.S. SENATE,,MARTY SELKER,CST,3,1,0,4
Armstrong,Manor Twp-South #2,U.S. SENATE,,LEILA HAZOU,GRN,1,0,0,1
Armstrong,Manor Twp-South #2,U.S. SENATE,,Write-ins,,0,1,0,1
Armstrong,Manor Twp-South #2,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #2,ATTORNEY GENERAL,,DAVE SUNDAY,REP,422,91,1,514
Armstrong,Manor Twp-South #2,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,151,90,2,243
Armstrong,Manor Twp-South #2,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,6,2,0,8
Armstrong,Manor Twp-South #2,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,5,0,0,5
Armstrong,Manor Twp-South #2,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,3,2,0,5
Armstrong,Manor Twp-South #2,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,Manor Twp-South #2,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Manor Twp-South #2,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #2,AUDITOR GENERAL,,TIM DEFOOR,REP,435,104,1,540
Armstrong,Manor Twp-South #2,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,128,77,2,207
Armstrong,Manor Twp-South #2,AUDITOR GENERAL,,REECE SMITH,LIB,11,0,0,11
Armstrong,Manor Twp-South #2,AUDITOR GENERAL,,BOB GOODRICH,CST,5,2,0,7
Armstrong,Manor Twp-South #2,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,1,0,2
Armstrong,Manor Twp-South #2,AUDITOR GENERAL,,Write-ins,,1,0,0,1
Armstrong,Manor Twp-South #2,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #2,STATE TREASURER,,STACY GARRITY,REP,442,98,1,541
Armstrong,Manor Twp-South #2,STATE TREASURER,,ERIN MCCLELLAND,DEM,123,84,2,209
Armstrong,Manor Twp-South #2,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,11,0,0,11
Armstrong,Manor Twp-South #2,STATE TREASURER,,TROY BOWMAN,CST,3,1,0,4
Armstrong,Manor Twp-South #2,STATE TREASURER,,CHRIS FOSTER,FWD,2,0,0,2
Armstrong,Manor Twp-South #2,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Manor Twp-South #2,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #2,U.S. House,15,GLENN GT THOMPSON,REP,451,108,1,560
Armstrong,Manor Twp-South #2,U.S. House,15,ZACH WOMER,DEM,126,77,2,205
Armstrong,Manor Twp-South #2,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Manor Twp-South #2,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #2,State Senate,41,JOE PITTMAN,REP,518,148,2,668
Armstrong,Manor Twp-South #2,State Senate,41,Write-ins,,12,4,1,17
Armstrong,Manor Twp-South #2,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Manor Twp-South #2,State House,60,ABBY MAJOR,REP,537,153,2,692
Armstrong,Manor Twp-South #2,State House,60,Write-ins,,15,4,1,20
Armstrong,Manor Twp-South #2,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Manorville Boro,Registered Voters,,,,,,,289
Armstrong,Manorville Boro,Ballots Cast,,,,203,38,0,241
Armstrong,Manorville Boro,PRESIDENT,,DONALD J TRUMP,REP,156,24,0,180
