county,precinct,office,district,party,candidate,votes,provisional,election_day,mail_in_/_absentee
Luzerne,Fairview Township Dist 01,President,,REP,TRUMP / VANCE,867,19,672,176
Luzerne,Fairview Township Dist 02,President,,REP,TRUMP / VANCE,742,4,542,196
Luzerne,Forty Fort Boro Ward 01,President,,REP,TRUMP / VANCE,485,3,417,65
Luzerne,Forty Fort Boro Ward 02,President,,REP,TRUMP / VANCE,386,2,308,76
Luzerne,Forty Fort Boro Ward 03,President,,REP,TRUMP / VANCE,401,7,323,71
Luzerne,Foster Township Dist 01,President,,REP,TRUMP / VANCE,612,4,515,93
Luzerne,Foster Township Dist 02,President,,REP,TRUMP / VANCE,576,8,487,81
Luzerne,Franklin Township,President,,REP,TRUMP / VANCE,740,6,614,120
Luzerne,Freeland Boro,President,,REP,TRUMP / VANCE,925,33,776,116
Luzerne,Hanover Township Ward 01,President,,REP,TRUMP / VANCE,622,7,527,88
Luzerne,Hanover Township Ward 02,President,,REP,TRUMP / VANCE,460,3,378,79
Luzerne,Hanover Township Ward 03,President,,REP,TRUMP / VANCE,724,7,594,123
Luzerne,Hanover Township Ward 04,President,,REP,TRUMP / VANCE,501,8,415,78
Luzerne,Hanover Township Ward 05,President,,REP,TRUMP / VANCE,405,4,331,70
Luzerne,Hanover Township Ward 06,President,,REP,TRUMP / VANCE,390,12,303,75
Luzerne,Harveys Lake Boro,President,,REP,TRUMP / VANCE,1090,15,835,240
Luzerne,Hazle Township Dist 01,President,,REP,TRUMP / VANCE,787,10,649,128
Luzerne,Hazle Township Dist 02,President,,REP,TRUMP / VANCE,616,12,483,121
Luzerne,Hazle Township Dist 03,President,,REP,TRUMP / VANCE,545,6,465,74
Luzerne,Hazle Township Dist 04,President,,REP,TRUMP / VANCE,760,8,635,117
Luzerne,Hazle Township Dist 05,President,,REP,TRUMP / VANCE,541,3,459,79
Luzerne,Hazleton City Ward 01,President,,REP,TRUMP / VANCE,434,17,345,72
Luzerne,Hazleton City Ward 02,President,,REP,TRUMP / VANCE,351,17,283,51
Luzerne,Hazleton City Ward 03,President,,REP,TRUMP / VANCE,443,9,323,111
Luzerne,Hazleton City Ward 04,President,,REP,TRUMP / VANCE,328,4,284,40
Luzerne,Hazleton City Ward 05,President,,REP,TRUMP / VANCE,453,3,382,68
Luzerne,Hazleton City Ward 06,President,,REP,TRUMP / VANCE,471,7,413,51
Luzerne,Hazleton City Ward 07,President,,REP,TRUMP / VANCE,520,13,423,84
Luzerne,Hazleton City Ward 08,President,,REP,TRUMP / VANCE,419,17,322,80
Luzerne,Hazleton City Ward 09,President,,REP,TRUMP / VANCE,567,10,490,67
Luzerne,Hazleton City Ward 10,President,,REP,TRUMP / VANCE,251,5,205,41
Luzerne,Hazleton City Ward 11,President,,REP,TRUMP / VANCE,455,9,372,74
Luzerne,Hollenback Township,President,,REP,TRUMP / VANCE,576,5,526,45
Luzerne,Hughestown Boro,President,,REP,TRUMP / VANCE,445,2,383,60
Luzerne,Hunlock Township,President,,REP,TRUMP / VANCE,951,4,832,115
Luzerne,Huntington Township,President,,REP,TRUMP / VANCE,874,9,777,88
Luzerne,Jackson Township,President,,REP,TRUMP / VANCE,1106,11,863,232
Luzerne,Jeddo Boro,President,,REP,TRUMP / VANCE,51,4,41,6
Luzerne,Jenkins Township Dist 01,President,,REP,TRUMP / VANCE,596,7,461,128
Luzerne,Jenkins Township Dist 02,President,,REP,TRUMP / VANCE,312,3,257,52
Luzerne,Jenkins Township Dist 03,President,,REP,TRUMP / VANCE,576,8,430,138
Luzerne,Kingston Boro Ward 01,President,,REP,TRUMP / VANCE,367,2,281,84
Luzerne,Kingston Boro Ward 02,President,,REP,TRUMP / VANCE,354,7,273,74
Luzerne,Kingston Boro Ward 03,President,,REP,TRUMP / VANCE,373,8,317,48
Luzerne,Kingston Boro Ward 04,President,,REP,TRUMP / VANCE,354,0,273,81
Luzerne,Kingston Boro Ward 05,President,,REP,TRUMP / VANCE,493,2,362,129
Luzerne,Kingston Boro Ward 06,President,,REP,TRUMP / VANCE,388,8,319,61
Luzerne,Kingston Boro Ward 07,President,,REP,TRUMP / VANCE,426,7,325,94
Luzerne,Kingston Boro Ward 08,President,,REP,TRUMP / VANCE,345,11,235,99
Luzerne,Kingston Township Dist 01,President,,REP,TRUMP / VANCE,482,4,367,111
Luzerne,Kingston Township Dist 02,President,,REP,TRUMP / VANCE,861,8,638,215
Luzerne,Kingston Township Dist 03,President,,REP,TRUMP / VANCE,749,8,595,146
Luzerne,Kingston Township Dist 04,President,,REP,TRUMP / VANCE,513,6,395,112
Luzerne,Laflin Boro,President,,REP,TRUMP / VANCE,557,2,458,97
Luzerne,Lake Township,President,,REP,TRUMP / VANCE,855,19,698,138
Luzerne,Larksville Boro Ward 01,President,,REP,TRUMP / VANCE,463,5,388,70
Luzerne,Larksville Boro Ward 02,President,,REP,TRUMP / VANCE,465,5,391,69
Luzerne,Larksville Boro Ward 03,President,,REP,TRUMP / VANCE,422,1,354,67
Luzerne,Laurel Run Boro,President,,REP,TRUMP / VANCE,202,3,177,22
Luzerne,Lehman Township Dist 01,President,,REP,TRUMP / VANCE,425,6,363,56
Luzerne,Lehman Township Dist 02,President,,REP,TRUMP / VANCE,672,13,536,123
Luzerne,Lehman Township Dist 03,President,,REP,TRUMP / VANCE,324,2,265,57
Luzerne,Luzerne Boro,President,,REP,TRUMP / VANCE,741,11,618,112
Luzerne,Nanticoke City Ward 01,President,,REP,TRUMP / VANCE,339,5,271,63
Luzerne,Nanticoke City Ward 02,President,,REP,TRUMP / VANCE,403,3,321,79
Luzerne,Nanticoke City Ward 03,President,,REP,TRUMP / VANCE,517,23,411,83
Luzerne,Nanticoke City Ward 04,President,,REP,TRUMP / VANCE,536,13,417,106
Luzerne,Nanticoke City Ward 05,President,,REP,TRUMP / VANCE,407,4,326,77
Luzerne,Nanticoke City Ward 06,President,,REP,TRUMP / VANCE,428,6,349,73
Luzerne,Nescopeck Boro,President,,REP,TRUMP / VANCE,476,1,429,46
Luzerne,Nescopeck Township,President,,REP,TRUMP / VANCE,475,0,428,47
Luzerne,New Columbus Boro,President,,REP,TRUMP / VANCE,110,2,100,8
Luzerne,Newport Township Ward 01,President,,REP,TRUMP / VANCE,436,5,356,75
Luzerne,Newport Township Ward 02,President,,REP,TRUMP / VANCE,799,9,659,131
Luzerne,Nuangola Boro,President,,REP,TRUMP / VANCE,263,1,219,43
Luzerne,Penn Lake Park Boro,President,,REP,TRUMP / VANCE,162,0,152,10
Luzerne,Pittston City Ward 01,President,,REP,TRUMP / VANCE,518,8,414,96
Luzerne,Pittston City Ward 02,President,,REP,TRUMP / VANCE,441,6,365,70
Luzerne,Pittston City Ward 03,President,,REP,TRUMP / VANCE,472,5,383,84
Luzerne,Pittston City Ward 04,President,,REP,TRUMP / VANCE,340,4,269,67
Luzerne,Pittston Township 01,President,,REP,TRUMP / VANCE,727,9,559,159
Luzerne,Pittston Township 02,President,,REP,TRUMP / VANCE,542,5,451,86
Luzerne,Plains Township Ward 01,President,,REP,TRUMP / VANCE,530,5,456,69
Luzerne,Plains Township Ward 02,President,,REP,TRUMP / VANCE,499,6,400,93
Luzerne,Plains Township Ward 03,President,,REP,TRUMP / VANCE,673,8,519,146
Luzerne,Plains Township Ward 04,President,,REP,TRUMP / VANCE,515,4,412,99
Luzerne,Plains Township Ward 05,President,,REP,TRUMP / VANCE,555,6,441,108
Luzerne,Plymouth Boro Ward 01,President,,REP,TRUMP / VANCE,400,13,319,68
Luzerne,Plymouth Boro Ward 02,President,,REP,TRUMP / VANCE,457,6,383,68
Luzerne,Plymouth Boro Ward 03,President,,REP,TRUMP / VANCE,348,7,304,37
Luzerne,Plymouth Township,President,,REP,TRUMP / VANCE,596,13,474,109
Luzerne,Pringle Boro,President,,REP,TRUMP / VANCE,310,8,266,36
