county,precinct,office,district,candidate,party,mail,election_day,provisional,votes
Fulton,Taylor Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Taylor Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,28,31,0,59
Fulton,Taylor Township,AUDITOR GENERAL,,TIM DEFOOR,REP,84,448,0,532
Fulton,Taylor Township,AUDITOR GENERAL,,REECE SMITH,LIB,0,9,0,9
Fulton,Taylor Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Fulton,Taylor Township,AUDITOR GENERAL,,BOB GOODRICH,CON,1,5,0,6
Fulton,Taylor Township,AUDITOR GENERAL,,Under Votes,,3,25,0,28
Fulton,Taylor Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Taylor Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,24,36,0,60
Fulton,Taylor Township,STATE TREASURER,,STACY GARRITY,REP,86,446,0,532
Fulton,Taylor Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,0,9,0,9
Fulton,Taylor Township,STATE TREASURER,,TROY BOWMAN,CON,2,5,0,7
Fulton,Taylor Township,STATE TREASURER,,CHRIS FOSTER,FWD,1,0,0,1
Fulton,Taylor Township,STATE TREASURER,,Under Votes,,3,22,0,25
Fulton,Taylor Township,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Taylor Township,U.S. House,13,BETH FARNHAM,DEM,24,38,0,62
Fulton,Taylor Township,U.S. House,13,JOHN JOYCE,REP,90,469,0,559
Fulton,Taylor Township,U.S. House,13,Under Votes,,2,11,0,13
Fulton,Taylor Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Taylor Township,General Assembly,78,JESSE TOPPER,REP,100,477,0,577
Fulton,Taylor Township,General Assembly,78,Under Votes,,16,41,0,57
Fulton,Taylor Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Thompson Township,Registered Voters,,,,,,,807
Fulton,Thompson Township,Ballots Cast,,,,,,,666
Fulton,Thompson Township,President,,KAMALA D HARRIS,DEM,24,48,0,72
Fulton,Thompson Township,President,,DONALD J TRUMP,REP,82,510,0,592
Fulton,Thompson Township,President,,CHASE OLIVER,LIB,0,0,0,0
Fulton,Thompson Township,President,,JILL STEIN,GRN,0,1,0,1
Fulton,Thompson Township,President,,Under Votes,,1,0,0,1
Fulton,Thompson Township,President,,Over Votes,,0,0,0,0
Fulton,Thompson Township,U.S. Senate,,ROBERT P CASEY JR,DEM,21,52,0,73
Fulton,Thompson Township,U.S. Senate,,DAVE MCCORMICK,REP,82,494,0,576
Fulton,Thompson Township,U.S. Senate,,JOHN C THOMAS,LIB,2,3,0,5
Fulton,Thompson Township,U.S. Senate,,LEILA HAZOU,GRN,1,2,0,3
Fulton,Thompson Township,U.S. Senate,,MARTY SELKER,CON,0,2,0,2
Fulton,Thompson Township,U.S. Senate,,Under Votes,,1,6,0,7
Fulton,Thompson Township,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Thompson Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,18,42,0,60
Fulton,Thompson Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,86,495,0,581
Fulton,Thompson Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,0,6,0,6
Fulton,Thompson Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,3,0,3
Fulton,Thompson Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,2,1,0,3
Fulton,Thompson Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Fulton,Thompson Township,ATTORNEY GENERAL,,Under Votes,,1,12,0,13
Fulton,Thompson Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Thompson Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,17,41,0,58
Fulton,Thompson Township,AUDITOR GENERAL,,TIM DEFOOR,REP,85,496,0,581
Fulton,Thompson Township,AUDITOR GENERAL,,REECE SMITH,LIB,2,7,0,9
Fulton,Thompson Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,0,0,1
Fulton,Thompson Township,AUDITOR GENERAL,,BOB GOODRICH,CON,1,3,0,4
Fulton,Thompson Township,AUDITOR GENERAL,,Under Votes,,1,12,0,13
Fulton,Thompson Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Thompson Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,19,45,0,64
Fulton,Thompson Township,STATE TREASURER,,STACY GARRITY,REP,85,492,0,577
Fulton,Thompson Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,2,5,0,7
Fulton,Thompson Township,STATE TREASURER,,TROY BOWMAN,CON,0,4,0,4
Fulton,Thompson Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,0,0,0
Fulton,Thompson Township,STATE TREASURER,,Under Votes,,1,13,0,14
Fulton,Thompson Township,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Thompson Township,U.S. House,13,BETH FARNHAM,DEM,17,44,0,61
Fulton,Thompson Township,U.S. House,13,JOHN JOYCE,REP,89,501,0,590
Fulton,Thompson Township,U.S. House,13,Under Votes,,1,14,0,15
Fulton,Thompson Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Thompson Township,General Assembly,78,JESSE TOPPER,REP,87,518,0,605
Fulton,Thompson Township,General Assembly,78,Under Votes,,20,41,0,61
Fulton,Thompson Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Todd Township,Registered Voters,,,,,,,1025
Fulton,Todd Township,Ballots Cast,,,,,,,842
Fulton,Todd Township,President,,KAMALA D HARRIS,DEM,34,120,0,154
Fulton,Todd Township,President,,DONALD J TRUMP,REP,131,545,0,676
Fulton,Todd Township,President,,CHASE OLIVER,LIB,2,1,0,3
Fulton,Todd Township,President,,JILL STEIN,GRN,0,2,0,2
Fulton,Todd Township,President,,Under Votes,,1,5,0,6
Fulton,Todd Township,President,,Over Votes,,1,0,0,1
Fulton,Todd Township,U.S. Senate,,ROBERT P CASEY JR,DEM,34,133,0,167
Fulton,Todd Township,U.S. Senate,,DAVE MCCORMICK,REP,129,527,0,656
Fulton,Todd Township,U.S. Senate,,JOHN C THOMAS,LIB,2,5,0,7
Fulton,Todd Township,U.S. Senate,,LEILA HAZOU,GRN,1,3,0,4
Fulton,Todd Township,U.S. Senate,,MARTY SELKER,CON,1,1,0,2
Fulton,Todd Township,U.S. Senate,,Under Votes,,2,4,0,6
Fulton,Todd Township,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Todd Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,33,116,0,149
Fulton,Todd Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,128,527,0,655
Fulton,Todd Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,4,12,0,16
Fulton,Todd Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,3,0,4
Fulton,Todd Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,3,0,3
Fulton,Todd Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Fulton,Todd Township,ATTORNEY GENERAL,,Under Votes,,3,12,0,15
Fulton,Todd Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Todd Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,27,107,0,134
Fulton,Todd Township,AUDITOR GENERAL,,TIM DEFOOR,REP,131,529,0,660
Fulton,Todd Township,AUDITOR GENERAL,,REECE SMITH,LIB,3,9,0,12
Fulton,Todd Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,2,0,2
Fulton,Todd Township,AUDITOR GENERAL,,BOB GOODRICH,CON,5,9,0,14
Fulton,Todd Township,AUDITOR GENERAL,,Under Votes,,3,16,0,19
Fulton,Todd Township,AUDITOR GENERAL,,Over Votes,,0,1,0,1
Fulton,Todd Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,29,108,0,137
Fulton,Todd Township,STATE TREASURER,,STACY GARRITY,REP,130,531,0,661
Fulton,Todd Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,4,8,0,12
Fulton,Todd Township,STATE TREASURER,,TROY BOWMAN,CON,3,7,0,10
Fulton,Todd Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,4,0,4
Fulton,Todd Township,STATE TREASURER,,Under Votes,,3,14,0,17
Fulton,Todd Township,STATE TREASURER,,Over Votes,,0,1,0,1
Fulton,Todd Township,U.S. House,13,BETH FARNHAM,DEM,30,107,0,137
Fulton,Todd Township,U.S. House,13,JOHN JOYCE,REP,137,558,0,695
Fulton,Todd Township,U.S. House,13,Under Votes,,2,8,0,10
Fulton,Todd Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Todd Township,General Assembly,78,JESSE TOPPER,REP,151,604,0,755
Fulton,Todd Township,General Assembly,78,Under Votes,,18,69,0,87
Fulton,Todd Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Union Township,Registered Voters,,,,,,,564
Fulton,Union Township,Ballots Cast,,,,,,,462
Fulton,Union Township,President,,KAMALA D HARRIS,DEM,8,33,0,41
Fulton,Union Township,President,,DONALD J TRUMP,REP,39,379,0,418
Fulton,Union Township,President,,CHASE OLIVER,LIB,1,1,0,2
Fulton,Union Township,President,,JILL STEIN,GRN,0,0,0,0
Fulton,Union Township,President,,Under Votes,,1,0,0,1
Fulton,Union Township,President,,Over Votes,,0,0,0,0
Fulton,Union Township,U.S. Senate,,ROBERT P CASEY JR,DEM,9,37,0,46
Fulton,Union Township,U.S. Senate,,DAVE MCCORMICK,REP,36,362,0,398
Fulton,Union Township,U.S. Senate,,JOHN C THOMAS,LIB,3,4,0,7
Fulton,Union Township,U.S. Senate,,LEILA HAZOU,GRN,0,0,0,0
Fulton,Union Township,U.S. Senate,,MARTY SELKER,CON,0,2,0,2
Fulton,Union Township,U.S. Senate,,Under Votes,,1,8,0,9
Fulton,Union Township,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Union Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,8,32,0,40
Fulton,Union Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,38,356,0,394
Fulton,Union Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,2,5,0,7
Fulton,Union Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,2,0,2
Fulton,Union Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,5,0,5
Fulton,Union Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Fulton,Union Township,ATTORNEY GENERAL,,Under Votes,,1,13,0,14
Fulton,Union Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Union Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,9,28,0,37
Fulton,Union Township,AUDITOR GENERAL,,TIM DEFOOR,REP,37,364,0,401
Fulton,Union Township,AUDITOR GENERAL,,REECE SMITH,LIB,2,5,0,7
Fulton,Union Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Fulton,Union Township,AUDITOR GENERAL,,BOB GOODRICH,CON,0,5,0,5
Fulton,Union Township,AUDITOR GENERAL,,Under Votes,,1,11,0,12
Fulton,Union Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Union Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,9,29,0,38
Fulton,Union Township,STATE TREASURER,,STACY GARRITY,REP,37,357,0,394
Fulton,Union Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,1,7,0,8
Fulton,Union Township,STATE TREASURER,,TROY BOWMAN,CON,1,5,0,6
Fulton,Union Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,1,0,1
Fulton,Union Township,STATE TREASURER,,Under Votes,,1,13,0,14
Fulton,Union Township,STATE TREASURER,,Over Votes,,0,1,0,1
Fulton,Union Township,U.S. House,13,BETH FARNHAM,DEM,9,31,0,40
Fulton,Union Township,U.S. House,13,JOHN JOYCE,REP,39,369,0,408
Fulton,Union Township,U.S. House,13,Under Votes,,1,13,0,14
Fulton,Union Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Union Township,General Assembly,78,JESSE TOPPER,REP,41,372,0,413
Fulton,Union Township,General Assembly,78,Under Votes,,8,41,0,49
Fulton,Union Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Valley Hi Borough,President,,KAMALA D HARRIS,DEM,3,3,0,6
Fulton,Valley Hi Borough,President,,DONALD J TRUMP,REP,1,3,0,4
Fulton,Valley Hi Borough,President,,CHASE OLIVER,LIB,0,0,0,0
Fulton,Valley Hi Borough,President,,JILL STEIN,GRN,0,0,0,0
Fulton,Valley Hi Borough,President,,Under Votes,,0,0,0,0
Fulton,Valley Hi Borough,President,,Over Votes,,0,0,0,0
Fulton,Valley Hi Borough,U.S. Senate,,ROBERT P CASEY JR,DEM,2,2,0,4
Fulton,Valley Hi Borough,U.S. Senate,,DAVE MCCORMICK,REP,2,4,0,6
Fulton,Valley Hi Borough,U.S. Senate,,JOHN C THOMAS,LIB,0,0,0,0
Fulton,Valley Hi Borough,U.S. Senate,,LEILA HAZOU,GRN,0,0,0,0
Fulton,Valley Hi Borough,U.S. Senate,,MARTY SELKER,CON,0,0,0,0
Fulton,Valley Hi Borough,U.S. Senate,,Under Votes,,0,0,0,0
Fulton,Valley Hi Borough,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Valley Hi Borough,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,3,3,0,6
Fulton,Valley Hi Borough,ATTORNEY GENERAL,,DAVE SUNDAY,REP,1,3,0,4
Fulton,Valley Hi Borough,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,0,0,0,0
Fulton,Valley Hi Borough,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,0,0,0
Fulton,Valley Hi Borough,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,0,0,0
Fulton,Valley Hi Borough,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Fulton,Valley Hi Borough,ATTORNEY GENERAL,,Under Votes,,0,0,0,0
Fulton,Valley Hi Borough,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Valley Hi Borough,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,3,2,0,5
Fulton,Valley Hi Borough,AUDITOR GENERAL,,TIM DEFOOR,REP,1,4,0,5
Fulton,Valley Hi Borough,AUDITOR GENERAL,,REECE SMITH,LIB,0,0,0,0
Fulton,Valley Hi Borough,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Fulton,Valley Hi Borough,AUDITOR GENERAL,,BOB GOODRICH,CON,0,0,0,0
Fulton,Valley Hi Borough,AUDITOR GENERAL,,Under Votes,,0,0,0,0
Fulton,Valley Hi Borough,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Valley Hi Borough,STATE TREASURER,,ERIN MCCLELLAND,DEM,3,2,0,5
Fulton,Valley Hi Borough,STATE TREASURER,,STACY GARRITY,REP,1,4,0,5
Fulton,Valley Hi Borough,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,0,0,0,0
Fulton,Valley Hi Borough,STATE TREASURER,,TROY BOWMAN,CON,0,0,0,0
Fulton,Valley Hi Borough,STATE TREASURER,,CHRIS FOSTER,FWD,0,0,0,0
Fulton,Valley Hi Borough,STATE TREASURER,,Under Votes,,0,0,0,0
Fulton,Valley Hi Borough,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Valley Hi Borough,U.S. House,13,BETH FARNHAM,DEM,2,3,0,5
Fulton,Valley Hi Borough,U.S. House,13,JOHN JOYCE,REP,1,3,0,4
Fulton,Valley Hi Borough,U.S. House,13,Under Votes,,1,0,0,1
Fulton,Valley Hi Borough,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Valley Hi Borough,General Assembly,78,JESSE TOPPER,REP,1,6,0,7
Fulton,Valley Hi Borough,General Assembly,78,Under Votes,,3,0,0,3
Fulton,Valley Hi Borough,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Wells Township,Registered Voters,,,,,,,314
Fulton,Wells Township,Ballots Cast,,,,,,,262
Fulton,Wells Township,President,,KAMALA D HARRIS,DEM,12,20,0,32
Fulton,Wells Township,President,,DONALD J TRUMP,REP,21,207,0,228
Fulton,Wells Township,President,,CHASE OLIVER,LIB,1,0,0,1
Fulton,Wells Township,President,,JILL STEIN,GRN,0,0,0,0
Fulton,Wells Township,President,,Under Votes,,0,1,0,1
Fulton,Wells Township,President,,Over Votes,,0,0,0,0
Fulton,Wells Township,U.S. Senate,,ROBERT P CASEY JR,DEM,12,24,0,36
Fulton,Wells Township,U.S. Senate,,DAVE MCCORMICK,REP,20,200,0,220
Fulton,Wells Township,U.S. Senate,,JOHN C THOMAS,LIB,1,1,0,2
Fulton,Wells Township,U.S. Senate,,LEILA HAZOU,GRN,1,0,0,1
Fulton,Wells Township,U.S. Senate,,MARTY SELKER,CON,0,0,0,0
Fulton,Wells Township,U.S. Senate,,Under Votes,,0,3,0,3
Fulton,Wells Township,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Wells Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,11,21,0,32
Fulton,Wells Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,20,198,0,218
Fulton,Wells Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,0,0,0,0
Fulton,Wells Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,0,0,1
Fulton,Wells Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,2,0,2
Fulton,Wells Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,0,0,2
Fulton,Wells Township,ATTORNEY GENERAL,,Under Votes,,0,7,0,7
Fulton,Wells Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Wells Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,12,21,0,33
Fulton,Wells Township,AUDITOR GENERAL,,TIM DEFOOR,REP,21,198,0,219
Fulton,Wells Township,AUDITOR GENERAL,,REECE SMITH,LIB,0,0,0,0
Fulton,Wells Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Fulton,Wells Township,AUDITOR GENERAL,,BOB GOODRICH,CON,1,1,0,2
Fulton,Wells Township,AUDITOR GENERAL,,Under Votes,,0,8,0,8
Fulton,Wells Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Wells Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,11,21,0,32
Fulton,Wells Township,STATE TREASURER,,STACY GARRITY,REP,20,195,0,215
Fulton,Wells Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,1,0,0,1
Fulton,Wells Township,STATE TREASURER,,TROY BOWMAN,CON,2,3,0,5
Fulton,Wells Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,0,0,0
Fulton,Wells Township,STATE TREASURER,,Under Votes,,0,9,0,9
Fulton,Wells Township,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Wells Township,U.S. House,13,BETH FARNHAM,DEM,11,19,0,30
Fulton,Wells Township,U.S. House,13,JOHN JOYCE,REP,23,204,0,227
Fulton,Wells Township,U.S. House,13,Under Votes,,0,5,0,5
Fulton,Wells Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Wells Township,General Assembly,78,JESSE TOPPER,REP,29,210,0,239
Fulton,Wells Township,General Assembly,78,Under Votes,,5,18,0,23
Fulton,Wells Township,General Assembly,78,Over Votes,,0,0,0,0
