candidate,office,district,party,county,precinct,total votes,
John Joyce,US House,13,REP,Cambria,East Conemaugh Boro,137,
Write In,US House,13,,Cambria,East Conemaugh Boro,0,
Susan Boser,US House,15,DEM,Cambria,East Conemaugh Boro,,
Glenn Gt Thompson,US House,15,REP,Cambria,East Conemaugh Boro,,
Write In,US House,15,,Cambria,East Conemaugh Boro,,
Bryan Barbin,State House,71,DEM,Cambria,East Conemaugh Boro,161,
Jim Rigby,State House,71,REP,Cambria,East Conemaugh Boro,127,
Write In,State House,71,,Cambria,East Conemaugh Boro,1,
Frank Burns,State House,72,DEM,Cambria,East Conemaugh Boro,,
Jerry Carnicella,State House,72,REP,Cambria,East Conemaugh Boro,,
Write In,State House,72,,Cambria,East Conemaugh Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,East Conemaugh Boro,,
Write In,State House,73,,Cambria,East Conemaugh Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,East Taylor Twp 1,269,
Lou Barletta,U.S. Senate,,REP,Cambria,East Taylor Twp 1,367,
Neal Gale,U.S. Senate,,GR,Cambria,East Taylor Twp 1,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,East Taylor Twp 1,5,
Write In,U.S. Senate,,,Cambria,East Taylor Twp 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,East Taylor Twp 1,261,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,East Taylor Twp 1,373,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,East Taylor Twp 1,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,East Taylor Twp 1,8,
Write In,Governor & Lieutenant Governor,,,Cambria,East Taylor Twp 1,0,
Brent Ottaway,US House,13,DEM,Cambria,East Taylor Twp 1,,
John Joyce,US House,13,REP,Cambria,East Taylor Twp 1,,
Write In,US House,13,,Cambria,East Taylor Twp 1,,
Susan Boser,US House,15,DEM,Cambria,East Taylor Twp 1,233,
Glenn Gt Thompson,US House,15,REP,Cambria,East Taylor Twp 1,406,
Write In,US House,15,,Cambria,East Taylor Twp 1,0,
Bryan Barbin,State House,71,DEM,Cambria,East Taylor Twp 1,,
Jim Rigby,State House,71,REP,Cambria,East Taylor Twp 1,,
Write In,State House,71,,Cambria,East Taylor Twp 1,,
Frank Burns,State House,72,DEM,Cambria,East Taylor Twp 1,377,
Jerry Carnicella,State House,72,REP,Cambria,East Taylor Twp 1,268,
Write In,State House,72,,Cambria,East Taylor Twp 1,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,East Taylor Twp 1,,
Write In,State House,73,,Cambria,East Taylor Twp 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,East Taylor Twp 2,141,
Lou Barletta,U.S. Senate,,REP,Cambria,East Taylor Twp 2,174,
Neal Gale,U.S. Senate,,GR,Cambria,East Taylor Twp 2,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,East Taylor Twp 2,4,
Write In,U.S. Senate,,,Cambria,East Taylor Twp 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,East Taylor Twp 2,147,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,East Taylor Twp 2,174,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,East Taylor Twp 2,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,East Taylor Twp 2,4,
Write In,Governor & Lieutenant Governor,,,Cambria,East Taylor Twp 2,0,
Brent Ottaway,US House,13,DEM,Cambria,East Taylor Twp 2,110,
John Joyce,US House,13,REP,Cambria,East Taylor Twp 2,209,
Write In,US House,13,,Cambria,East Taylor Twp 2,0,
Susan Boser,US House,15,DEM,Cambria,East Taylor Twp 2,,
Glenn Gt Thompson,US House,15,REP,Cambria,East Taylor Twp 2,,
Write In,US House,15,,Cambria,East Taylor Twp 2,,
Bryan Barbin,State House,71,DEM,Cambria,East Taylor Twp 2,,
Jim Rigby,State House,71,REP,Cambria,East Taylor Twp 2,,
Write In,State House,71,,Cambria,East Taylor Twp 2,,
Frank Burns,State House,72,DEM,Cambria,East Taylor Twp 2,194,
Jerry Carnicella,State House,72,REP,Cambria,East Taylor Twp 2,131,
Write In,State House,72,,Cambria,East Taylor Twp 2,2,
Tommy Sankey,State House,73,DEM/REP,Cambria,East Taylor Twp 2,,
Write In,State House,73,,Cambria,East Taylor Twp 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Ebensburg Boro - Center,199,
Lou Barletta,U.S. Senate,,REP,Cambria,Ebensburg Boro - Center,196,
Neal Gale,U.S. Senate,,GR,Cambria,Ebensburg Boro - Center,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Ebensburg Boro - Center,4,
Write In,U.S. Senate,,,Cambria,Ebensburg Boro - Center,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Ebensburg Boro - Center,201,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Ebensburg Boro - Center,197,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Ebensburg Boro - Center,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Ebensburg Boro - Center,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Ebensburg Boro - Center,0,
Brent Ottaway,US House,13,DEM,Cambria,Ebensburg Boro - Center,,
John Joyce,US House,13,REP,Cambria,Ebensburg Boro - Center,,
Write In,US House,13,,Cambria,Ebensburg Boro - Center,,
Susan Boser,US House,15,DEM,Cambria,Ebensburg Boro - Center,184,
Glenn Gt Thompson,US House,15,REP,Cambria,Ebensburg Boro - Center,217,
Write In,US House,15,,Cambria,Ebensburg Boro - Center,0,
Bryan Barbin,State House,71,DEM,Cambria,Ebensburg Boro - Center,,
Jim Rigby,State House,71,REP,Cambria,Ebensburg Boro - Center,,
Write In,State House,71,,Cambria,Ebensburg Boro - Center,,
Frank Burns,State House,72,DEM,Cambria,Ebensburg Boro - Center,252,
Jerry Carnicella,State House,72,REP,Cambria,Ebensburg Boro - Center,148,
Write In,State House,72,,Cambria,Ebensburg Boro - Center,4,
Tommy Sankey,State House,73,DEM/REP,Cambria,Ebensburg Boro - Center,,
Write In,State House,73,,Cambria,Ebensburg Boro - Center,,
Bob Casey,U.S. Senate,,DEM,Cambria,Ebensburg Boro - East,240,
Lou Barletta,U.S. Senate,,REP,Cambria,Ebensburg Boro - East,211,
Neal Gale,U.S. Senate,,GR,Cambria,Ebensburg Boro - East,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Ebensburg Boro - East,8,
Write In,U.S. Senate,,,Cambria,Ebensburg Boro - East,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Ebensburg Boro - East,254,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Ebensburg Boro - East,204,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Ebensburg Boro - East,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Ebensburg Boro - East,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Ebensburg Boro - East,0,
Brent Ottaway,US House,13,DEM,Cambria,Ebensburg Boro - East,,
John Joyce,US House,13,REP,Cambria,Ebensburg Boro - East,,
Write In,US House,13,,Cambria,Ebensburg Boro - East,,
Susan Boser,US House,15,DEM,Cambria,Ebensburg Boro - East,223,
Glenn Gt Thompson,US House,15,REP,Cambria,Ebensburg Boro - East,234,
Write In,US House,15,,Cambria,Ebensburg Boro - East,0,
Bryan Barbin,State House,71,DEM,Cambria,Ebensburg Boro - East,,
Jim Rigby,State House,71,REP,Cambria,Ebensburg Boro - East,,
Write In,State House,71,,Cambria,Ebensburg Boro - East,,
Frank Burns,State House,72,DEM,Cambria,Ebensburg Boro - East,300,
Jerry Carnicella,State House,72,REP,Cambria,Ebensburg Boro - East,161,
Write In,State House,72,,Cambria,Ebensburg Boro - East,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Ebensburg Boro - East,,
Write In,State House,73,,Cambria,Ebensburg Boro - East,,
Bob Casey,U.S. Senate,,DEM,Cambria,Ebensburg Boro - West,293,
Lou Barletta,U.S. Senate,,REP,Cambria,Ebensburg Boro - West,267,
Neal Gale,U.S. Senate,,GR,Cambria,Ebensburg Boro - West,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Ebensburg Boro - West,2,
Write In,U.S. Senate,,,Cambria,Ebensburg Boro - West,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Ebensburg Boro - West,291,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Ebensburg Boro - West,267,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Ebensburg Boro - West,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Ebensburg Boro - West,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Ebensburg Boro - West,0,
Brent Ottaway,US House,13,DEM,Cambria,Ebensburg Boro - West,,
John Joyce,US House,13,REP,Cambria,Ebensburg Boro - West,,
Write In,US House,13,,Cambria,Ebensburg Boro - West,,
Susan Boser,US House,15,DEM,Cambria,Ebensburg Boro - West,249,
Glenn Gt Thompson,US House,15,REP,Cambria,Ebensburg Boro - West,307,
Write In,US House,15,,Cambria,Ebensburg Boro - West,0,
Bryan Barbin,State House,71,DEM,Cambria,Ebensburg Boro - West,,
Jim Rigby,State House,71,REP,Cambria,Ebensburg Boro - West,,
Write In,State House,71,,Cambria,Ebensburg Boro - West,,
Frank Burns,State House,72,DEM,Cambria,Ebensburg Boro - West,351,
Jerry Carnicella,State House,72,REP,Cambria,Ebensburg Boro - West,201,
Write In,State House,72,,Cambria,Ebensburg Boro - West,7,
Tommy Sankey,State House,73,DEM/REP,Cambria,Ebensburg Boro - West,,
Write In,State House,73,,Cambria,Ebensburg Boro - West,,
Bob Casey,U.S. Senate,,DEM,Cambria,Ehrenfeld Boro,42,
Lou Barletta,U.S. Senate,,REP,Cambria,Ehrenfeld Boro,27,
Neal Gale,U.S. Senate,,GR,Cambria,Ehrenfeld Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Ehrenfeld Boro,0,
Write In,U.S. Senate,,,Cambria,Ehrenfeld Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Ehrenfeld Boro,37,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Ehrenfeld Boro,32,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Ehrenfeld Boro,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Ehrenfeld Boro,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Ehrenfeld Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Ehrenfeld Boro,,
John Joyce,US House,13,REP,Cambria,Ehrenfeld Boro,,
Write In,US House,13,,Cambria,Ehrenfeld Boro,,
Susan Boser,US House,15,DEM,Cambria,Ehrenfeld Boro,34,
Glenn Gt Thompson,US House,15,REP,Cambria,Ehrenfeld Boro,33,
Write In,US House,15,,Cambria,Ehrenfeld Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Ehrenfeld Boro,45,
Jim Rigby,State House,71,REP,Cambria,Ehrenfeld Boro,24,
Write In,State House,71,,Cambria,Ehrenfeld Boro,0,
Frank Burns,State House,72,DEM,Cambria,Ehrenfeld Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Ehrenfeld Boro,,
Write In,State House,72,,Cambria,Ehrenfeld Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Ehrenfeld Boro,,
Write In,State House,73,,Cambria,Ehrenfeld Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Elder Twp,137,
Lou Barletta,U.S. Senate,,REP,Cambria,Elder Twp,174,
Neal Gale,U.S. Senate,,GR,Cambria,Elder Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Elder Twp,2,
Write In,U.S. Senate,,,Cambria,Elder Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Elder Twp,128,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Elder Twp,188,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Elder Twp,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Elder Twp,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Elder Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Elder Twp,,
John Joyce,US House,13,REP,Cambria,Elder Twp,,
Write In,US House,13,,Cambria,Elder Twp,,
Susan Boser,US House,15,DEM,Cambria,Elder Twp,121,
Glenn Gt Thompson,US House,15,REP,Cambria,Elder Twp,191,
Write In,US House,15,,Cambria,Elder Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Elder Twp,,
Jim Rigby,State House,71,REP,Cambria,Elder Twp,,
Write In,State House,71,,Cambria,Elder Twp,,
Frank Burns,State House,72,DEM,Cambria,Elder Twp,155,
Jerry Carnicella,State House,72,REP,Cambria,Elder Twp,159,
Write In,State House,72,,Cambria,Elder Twp,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Elder Twp,,
Write In,State House,73,,Cambria,Elder Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Ferndale Boro,251,
Lou Barletta,U.S. Senate,,REP,Cambria,Ferndale Boro,288,
Neal Gale,U.S. Senate,,GR,Cambria,Ferndale Boro,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Ferndale Boro,10,
Write In,U.S. Senate,,,Cambria,Ferndale Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Ferndale Boro,246,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Ferndale Boro,301,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Ferndale Boro,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Ferndale Boro,6,
Write In,Governor & Lieutenant Governor,,,Cambria,Ferndale Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Ferndale Boro,217,
John Joyce,US House,13,REP,Cambria,Ferndale Boro,335,
Write In,US House,13,,Cambria,Ferndale Boro,0,
Susan Boser,US House,15,DEM,Cambria,Ferndale Boro,,
Glenn Gt Thompson,US House,15,REP,Cambria,Ferndale Boro,,
Write In,US House,15,,Cambria,Ferndale Boro,,
Bryan Barbin,State House,71,DEM,Cambria,Ferndale Boro,192,
Jim Rigby,State House,71,REP,Cambria,Ferndale Boro,361,
Write In,State House,71,,Cambria,Ferndale Boro,2,
Frank Burns,State House,72,DEM,Cambria,Ferndale Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Ferndale Boro,,
Write In,State House,72,,Cambria,Ferndale Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Ferndale Boro,,
Write In,State House,73,,Cambria,Ferndale Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Franklin Boro,73,
Lou Barletta,U.S. Senate,,REP,Cambria,Franklin Boro,31,
Neal Gale,U.S. Senate,,GR,Cambria,Franklin Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Franklin Boro,1,
Write In,U.S. Senate,,,Cambria,Franklin Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Franklin Boro,71,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Franklin Boro,33,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Franklin Boro,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Franklin Boro,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Franklin Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Franklin Boro,66,
John Joyce,US House,13,REP,Cambria,Franklin Boro,38,
Write In,US House,13,,Cambria,Franklin Boro,0,
Susan Boser,US House,15,DEM,Cambria,Franklin Boro,,
Glenn Gt Thompson,US House,15,REP,Cambria,Franklin Boro,,
Write In,US House,15,,Cambria,Franklin Boro,,
Bryan Barbin,State House,71,DEM,Cambria,Franklin Boro,73,
Jim Rigby,State House,71,REP,Cambria,Franklin Boro,33,
Write In,State House,71,,Cambria,Franklin Boro,0,
Frank Burns,State House,72,DEM,Cambria,Franklin Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Franklin Boro,,
Write In,State House,72,,Cambria,Franklin Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Franklin Boro,,
Write In,State House,73,,Cambria,Franklin Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Gallitzin Boro,220,
Lou Barletta,U.S. Senate,,REP,Cambria,Gallitzin Boro,266,
Neal Gale,U.S. Senate,,GR,Cambria,Gallitzin Boro,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Gallitzin Boro,8,
Write In,U.S. Senate,,,Cambria,Gallitzin Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Gallitzin Boro,205,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Gallitzin Boro,288,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Gallitzin Boro,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Gallitzin Boro,8,
Write In,Governor & Lieutenant Governor,,,Cambria,Gallitzin Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Gallitzin Boro,,
John Joyce,US House,13,REP,Cambria,Gallitzin Boro,,
Write In,US House,13,,Cambria,Gallitzin Boro,,
Susan Boser,US House,15,DEM,Cambria,Gallitzin Boro,213,
Glenn Gt Thompson,US House,15,REP,Cambria,Gallitzin Boro,287,
Write In,US House,15,,Cambria,Gallitzin Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Gallitzin Boro,,
Jim Rigby,State House,71,REP,Cambria,Gallitzin Boro,,
Write In,State House,71,,Cambria,Gallitzin Boro,,
Frank Burns,State House,72,DEM,Cambria,Gallitzin Boro,272,
Jerry Carnicella,State House,72,REP,Cambria,Gallitzin Boro,228,
Write In,State House,72,,Cambria,Gallitzin Boro,2,
Tommy Sankey,State House,73,DEM/REP,Cambria,Gallitzin Boro,,
Write In,State House,73,,Cambria,Gallitzin Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Gallitzin Twp,166,
Lou Barletta,U.S. Senate,,REP,Cambria,Gallitzin Twp,352,
Neal Gale,U.S. Senate,,GR,Cambria,Gallitzin Twp,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Gallitzin Twp,5,
Write In,U.S. Senate,,,Cambria,Gallitzin Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Gallitzin Twp,167,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Gallitzin Twp,358,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Gallitzin Twp,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Gallitzin Twp,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Gallitzin Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Gallitzin Twp,,
John Joyce,US House,13,REP,Cambria,Gallitzin Twp,,
Write In,US House,13,,Cambria,Gallitzin Twp,,
Susan Boser,US House,15,DEM,Cambria,Gallitzin Twp,150,
Glenn Gt Thompson,US House,15,REP,Cambria,Gallitzin Twp,370,
Write In,US House,15,,Cambria,Gallitzin Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Gallitzin Twp,,
Jim Rigby,State House,71,REP,Cambria,Gallitzin Twp,,
Write In,State House,71,,Cambria,Gallitzin Twp,,
Frank Burns,State House,72,DEM,Cambria,Gallitzin Twp,214,
Jerry Carnicella,State House,72,REP,Cambria,Gallitzin Twp,312,
Write In,State House,72,,Cambria,Gallitzin Twp,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Gallitzin Twp,,
Write In,State House,73,,Cambria,Gallitzin Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Geistown Boro 1,188,
Lou Barletta,U.S. Senate,,REP,Cambria,Geistown Boro 1,242,
Neal Gale,U.S. Senate,,GR,Cambria,Geistown Boro 1,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Geistown Boro 1,6,
Write In,U.S. Senate,,,Cambria,Geistown Boro 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Geistown Boro 1,196,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Geistown Boro 1,240,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Geistown Boro 1,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Geistown Boro 1,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Geistown Boro 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Geistown Boro 1,,
John Joyce,US House,13,REP,Cambria,Geistown Boro 1,,
Write In,US House,13,,Cambria,Geistown Boro 1,,
Susan Boser,US House,15,DEM,Cambria,Geistown Boro 1,172,
Glenn Gt Thompson,US House,15,REP,Cambria,Geistown Boro 1,260,
Write In,US House,15,,Cambria,Geistown Boro 1,0,
Bryan Barbin,State House,71,DEM,Cambria,Geistown Boro 1,198,
Jim Rigby,State House,71,REP,Cambria,Geistown Boro 1,240,
Write In,State House,71,,Cambria,Geistown Boro 1,0,
Frank Burns,State House,72,DEM,Cambria,Geistown Boro 1,,
Jerry Carnicella,State House,72,REP,Cambria,Geistown Boro 1,,
Write In,State House,72,,Cambria,Geistown Boro 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Geistown Boro 1,,
Write In,State House,73,,Cambria,Geistown Boro 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Geistown Boro 2,306,
Lou Barletta,U.S. Senate,,REP,Cambria,Geistown Boro 2,353,
Neal Gale,U.S. Senate,,GR,Cambria,Geistown Boro 2,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Geistown Boro 2,5,
Write In,U.S. Senate,,,Cambria,Geistown Boro 2,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Geistown Boro 2,305,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Geistown Boro 2,350,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Geistown Boro 2,5,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Geistown Boro 2,8,
Write In,Governor & Lieutenant Governor,,,Cambria,Geistown Boro 2,2,
Brent Ottaway,US House,13,DEM,Cambria,Geistown Boro 2,,
John Joyce,US House,13,REP,Cambria,Geistown Boro 2,,
Write In,US House,13,,Cambria,Geistown Boro 2,,
Susan Boser,US House,15,DEM,Cambria,Geistown Boro 2,252,
Glenn Gt Thompson,US House,15,REP,Cambria,Geistown Boro 2,413,
Write In,US House,15,,Cambria,Geistown Boro 2,1,
Bryan Barbin,State House,71,DEM,Cambria,Geistown Boro 2,316,
Jim Rigby,State House,71,REP,Cambria,Geistown Boro 2,357,
Write In,State House,71,,Cambria,Geistown Boro 2,0,
Frank Burns,State House,72,DEM,Cambria,Geistown Boro 2,,
Jerry Carnicella,State House,72,REP,Cambria,Geistown Boro 2,,
Write In,State House,72,,Cambria,Geistown Boro 2,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Geistown Boro 2,,
Write In,State House,73,,Cambria,Geistown Boro 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Hastings Boro,176,
Lou Barletta,U.S. Senate,,REP,Cambria,Hastings Boro,224,
Neal Gale,U.S. Senate,,GR,Cambria,Hastings Boro,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Hastings Boro,6,
Write In,U.S. Senate,,,Cambria,Hastings Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Hastings Boro,185,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Hastings Boro,217,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Hastings Boro,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Hastings Boro,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Hastings Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Hastings Boro,,
John Joyce,US House,13,REP,Cambria,Hastings Boro,,
Write In,US House,13,,Cambria,Hastings Boro,,
Susan Boser,US House,15,DEM,Cambria,Hastings Boro,156,
Glenn Gt Thompson,US House,15,REP,Cambria,Hastings Boro,250,
Write In,US House,15,,Cambria,Hastings Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Hastings Boro,,
Jim Rigby,State House,71,REP,Cambria,Hastings Boro,,
Write In,State House,71,,Cambria,Hastings Boro,,
Frank Burns,State House,72,DEM,Cambria,Hastings Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Hastings Boro,,
Write In,State House,72,,Cambria,Hastings Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Hastings Boro,396,
Write In,State House,73,,Cambria,Hastings Boro,1,
Bob Casey,U.S. Senate,,DEM,Cambria,Jackson Twp 1,135,
Lou Barletta,U.S. Senate,,REP,Cambria,Jackson Twp 1,199,
Neal Gale,U.S. Senate,,GR,Cambria,Jackson Twp 1,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Jackson Twp 1,4,
Write In,U.S. Senate,,,Cambria,Jackson Twp 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Jackson Twp 1,132,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Jackson Twp 1,205,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Jackson Twp 1,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Jackson Twp 1,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Jackson Twp 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Jackson Twp 1,,
John Joyce,US House,13,REP,Cambria,Jackson Twp 1,,
Write In,US House,13,,Cambria,Jackson Twp 1,,
Susan Boser,US House,15,DEM,Cambria,Jackson Twp 1,114,
Glenn Gt Thompson,US House,15,REP,Cambria,Jackson Twp 1,228,
Write In,US House,15,,Cambria,Jackson Twp 1,0,
Bryan Barbin,State House,71,DEM,Cambria,Jackson Twp 1,,
Jim Rigby,State House,71,REP,Cambria,Jackson Twp 1,,
Write In,State House,71,,Cambria,Jackson Twp 1,,
Frank Burns,State House,72,DEM,Cambria,Jackson Twp 1,183,
Jerry Carnicella,State House,72,REP,Cambria,Jackson Twp 1,151,
Write In,State House,72,,Cambria,Jackson Twp 1,2,
Tommy Sankey,State House,73,DEM/REP,Cambria,Jackson Twp 1,,
Write In,State House,73,,Cambria,Jackson Twp 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Jackson Twp - Vinco,270,
Lou Barletta,U.S. Senate,,REP,Cambria,Jackson Twp - Vinco,454,
Neal Gale,U.S. Senate,,GR,Cambria,Jackson Twp - Vinco,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Jackson Twp - Vinco,6,
Write In,U.S. Senate,,,Cambria,Jackson Twp - Vinco,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Jackson Twp - Vinco,269,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Jackson Twp - Vinco,453,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Jackson Twp - Vinco,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Jackson Twp - Vinco,7,
Write In,Governor & Lieutenant Governor,,,Cambria,Jackson Twp - Vinco,1,
Brent Ottaway,US House,13,DEM,Cambria,Jackson Twp - Vinco,,
