county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Perry,0004 CARROLL TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN,2,1,1,0
Perry,0004 CARROLL TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,9,9,0,0
Perry,0004 CARROLL TOWNSHIP,STRAIGHT PARTY,,,Over Votes,0,0,0,0
Perry,0004 CARROLL TOWNSHIP,STRAIGHT PARTY,,,Under Votes,857,836,21,0
Perry,0004 CARROLL TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,558,537,21,0
Perry,0004 CARROLL TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,1404,1364,40,0
Perry,0004 CARROLL TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,11,9,2,0
Perry,0004 CARROLL TOWNSHIP,U.S. Senate,,LIB,DALE R. KERNS JR,21,19,2,0
Perry,0004 CARROLL TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Perry,0004 CARROLL TOWNSHIP,U.S. Senate,,,Over Votes,0,0,0,0
Perry,0004 CARROLL TOWNSHIP,U.S. Senate,,,Under Votes,13,13,0,0
Perry,0004 CARROLL TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,DEM,WOLF / FETTERMAN,645,621,24,0
Perry,0004 CARROLL TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,REP,WAGNER / BARTOS,1309,1272,37,0
Perry,0004 CARROLL TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,GRN,GLOVER / BOWSER-BOSTICK,18,16,2,0
Perry,0004 CARROLL TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,LIB,KRAWCHUK / SMITH,27,25,2,0
Perry,0004 CARROLL TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Write-ins,0,0,0,0
Perry,0004 CARROLL TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Over Votes,0,0,0,0
Perry,0004 CARROLL TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Under Votes,8,8,0,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,DEM,MARC FRIEDENBERG,492,472,20,0
Perry,0004 CARROLL TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,REP,TOM MARINO,1492,1448,44,0
