candidate,office,district,party,county,precinct,election_day,absentee,provisional,emergency,votes
,Ballots Cast,,,Bradford,WEST BURLINGTON TOWNSHIP,188,11,0,0,199
,Straight Party,,DEM,Bradford,WEST BURLINGTON TOWNSHIP,20,3,0,0,23
,Straight Party,,REP,Bradford,WEST BURLINGTON TOWNSHIP,72,6,0,0,78
,Straight Party,,GRN,Bradford,WEST BURLINGTON TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,WEST BURLINGTON TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,WEST BURLINGTON TOWNSHIP,61,3,0,0,64
Lou Barletta,U.S. Senate,,REP,Bradford,WEST BURLINGTON TOWNSHIP,120,7,0,0,127
Neal Gale,U.S. Senate,,GRN,Bradford,WEST BURLINGTON TOWNSHIP,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,WEST BURLINGTON TOWNSHIP,1,0,,0,1
Write In Votes,U.S. Senate,,,Bradford,WEST BURLINGTON TOWNSHIP,2,0,0,0,2
Wolf/Fetterman,Governor,,DEM,Bradford,WEST BURLINGTON TOWNSHIP,57,3,0,0,60
Wagner/Bartos,Governor,,REP,Bradford,WEST BURLINGTON TOWNSHIP,129,7,0,0,136
Glover/Bostick,Governor,,GRN,Bradford,WEST BURLINGTON TOWNSHIP,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,WEST BURLINGTON TOWNSHIP,0,0,0,0,0
Write In Votes,Governor,,,Bradford,WEST BURLINGTON TOWNSHIP,0,0,0,,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,WEST BURLINGTON TOWNSHIP,45,3,0,0,48
Tom Marino,U.S. House,12,REP,Bradford,WEST BURLINGTON TOWNSHIP,136,8,0,0,144
Write In Votes,U.S. House,12,,Bradford,WEST BURLINGTON TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,WEST BURLINGTON TOWNSHIP,31,3,0,0,34
Clint Owlet,State House,68,REP,Bradford,WEST BURLINGTON TOWNSHIP,154,8,0,0,162
Write In Votes,State House,68,,Bradford,WEST BURLINGTON TOWNSHIP,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,WEST BURLINGTON TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,WEST BURLINGTON TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,WEST BURLINGTON TOWNSHIP,,,,,
,Registered Voters,,,Bradford,CANTON BOROUGH,915,915,915,915,915
,Ballots Cast,,,Bradford,CANTON BOROUGH,432,10,1,0,443
,Straight Party,,DEM,Bradford,CANTON BOROUGH,51,1,0,0,52
,Straight Party,,REP,Bradford,CANTON BOROUGH,181,3,0,0,184
,Straight Party,,GRN,Bradford,CANTON BOROUGH,1,0,0,0,1
,Straight Party,,LIB,Bradford,CANTON BOROUGH,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,CANTON BOROUGH,154,3,0,0,157
Lou Barletta,U.S. Senate,,REP,Bradford,CANTON BOROUGH,265,7,1,0,273
Neal Gale,U.S. Senate,,GRN,Bradford,CANTON BOROUGH,3,0,0,0,3
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,CANTON BOROUGH,4,0,0,0,4
Write In Votes,U.S. Senate,,,Bradford,CANTON BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,CANTON BOROUGH,144,3,0,0,147
Wagner/Bartos,Governor,,REP,Bradford,CANTON BOROUGH,270,7,1,0,278
Glover/Bostick,Governor,,GRN,Bradford,CANTON BOROUGH,4,0,0,0,4
Krawchuk /Smith,Governor,,LIB,Bradford,CANTON BOROUGH,6,0,0,0,6
Write In Votes,Governor,,,Bradford,CANTON BOROUGH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,CANTON BOROUGH,116,2,0,0,118
Tom Marino,U.S. House,12,REP,Bradford,CANTON BOROUGH,307,8,1,0,316
Write In Votes,U.S. House,12,,Bradford,CANTON BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,CANTON BOROUGH,101,3,0,0,104
Clint Owlet,State House,68,REP,Bradford,CANTON BOROUGH,327,7,1,0,335
Write In Votes,State House,68,,Bradford,CANTON BOROUGH,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,CANTON BOROUGH,,,,,
Tina Pickett,State House,110,REP,Bradford,CANTON BOROUGH,,,,,
Write In Votes,State House,110,,Bradford,CANTON BOROUGH,,,,,
,Registered Voters,,,Bradford,CANTON TOWNSHIP,1114,1114,1114,1114,1114
,Ballots Cast,,,Bradford,CANTON TOWNSHIP,603,21,3,0,627
,Straight Party,,DEM,Bradford,CANTON TOWNSHIP,49,8,0,0,57
,Straight Party,,REP,Bradford,CANTON TOWNSHIP,316,7,1,0,324
,Straight Party,,GRN,Bradford,CANTON TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,CANTON TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,CANTON TOWNSHIP,131,9,1,0,141
Lou Barletta,U.S. Senate,,REP,Bradford,CANTON TOWNSHIP,455,12,2,0,469
Neal Gale,U.S. Senate,,GRN,Bradford,CANTON TOWNSHIP,2,0,0,0,2
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,CANTON TOWNSHIP,6,0,0,0,6
Write In Votes,U.S. Senate,,,Bradford,CANTON TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,CANTON TOWNSHIP,135,9,0,0,144
Wagner/Bartos,Governor,,REP,Bradford,CANTON TOWNSHIP,453,12,3,0,468
Glover/Bostick,Governor,,GRN,Bradford,CANTON TOWNSHIP,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,CANTON TOWNSHIP,5,0,0,0,5
Write In Votes,Governor,,,Bradford,CANTON TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,CANTON TOWNSHIP,91,8,0,0,99
Tom Marino,U.S. House,12,REP,Bradford,CANTON TOWNSHIP,490,13,3,0,506
Write In Votes,U.S. House,12,,Bradford,CANTON TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,CANTON TOWNSHIP,75,8,0,0,83
Clint Owlet,State House,68,REP,Bradford,CANTON TOWNSHIP,517,13,3,0,533
Write In Votes,State House,68,,Bradford,CANTON TOWNSHIP,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,CANTON TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,CANTON TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,CANTON TOWNSHIP,,,,,
,Registered Voters,,,Bradford,COLUMBIA TOWNSHIP,691,691,691,691,691
,Ballots Cast,,,Bradford,COLUMBIA TOWNSHIP,398,13,0,0,411
,Straight Party,,DEM,Bradford,COLUMBIA TOWNSHIP,36,1,0,0,37
,Straight Party,,REP,Bradford,COLUMBIA TOWNSHIP,171,3,0,0,174
,Straight Party,,GRN,Bradford,COLUMBIA TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,COLUMBIA TOWNSHIP,2,0,0,0,2
Bob Casey Jr,U.S. Senate,,DEM,Bradford,COLUMBIA TOWNSHIP,122,7,0,0,129
Lou Barletta,U.S. Senate,,REP,Bradford,COLUMBIA TOWNSHIP,259,5,0,0,264
Neal Gale,U.S. Senate,,GRN,Bradford,COLUMBIA TOWNSHIP,5,0,0,0,5
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,COLUMBIA TOWNSHIP,3,1,0,0,4
Write In Votes,U.S. Senate,,,Bradford,COLUMBIA TOWNSHIP,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,COLUMBIA TOWNSHIP,124,4,0,0,128
Wagner/Bartos,Governor,,REP,Bradford,COLUMBIA TOWNSHIP,258,8,0,0,266
Glover/Bostick,Governor,,GRN,Bradford,COLUMBIA TOWNSHIP,5,1,0,0,6
Krawchuk /Smith,Governor,,LIB,Bradford,COLUMBIA TOWNSHIP,7,0,0,0,7
Write In Votes,Governor,,,Bradford,COLUMBIA TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,COLUMBIA TOWNSHIP,92,5,0,0,97
Tom Marino,U.S. House,12,REP,Bradford,COLUMBIA TOWNSHIP,292,7,0,0,299
Write In Votes,U.S. House,12,,Bradford,COLUMBIA TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,COLUMBIA TOWNSHIP,71,5,0,0,76
Clint Owlet,State House,68,REP,Bradford,COLUMBIA TOWNSHIP,320,8,0,0,328
Write In Votes,State House,68,,Bradford,COLUMBIA TOWNSHIP,0,0,0,,0
Donna Iannone,State House,110,DEM,Bradford,COLUMBIA TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,COLUMBIA TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,COLUMBIA TOWNSHIP,,,,,
,Registered Voters,,,Bradford,FRANKLIN TOWNSHIP,383,383,383,383,383
,Ballots Cast,,,Bradford,FRANKLIN TOWNSHIP,200,10,0,0,210
,Straight Party,,DEM,Bradford,FRANKLIN TOWNSHIP,14,2,0,0,16
,Straight Party,,REP,Bradford,FRANKLIN TOWNSHIP,93,5,0,0,98
,Straight Party,,GRN,Bradford,FRANKLIN TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,FRANKLIN TOWNSHIP,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,FRANKLIN TOWNSHIP,53,3,0,0,56
Lou Barletta,U.S. Senate,,REP,Bradford,FRANKLIN TOWNSHIP,144,7,0,0,151
Neal Gale,U.S. Senate,,GRN,Bradford,FRANKLIN TOWNSHIP,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,FRANKLIN TOWNSHIP,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,FRANKLIN TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,FRANKLIN TOWNSHIP,51,2,0,0,53
Wagner/Bartos,Governor,,REP,Bradford,FRANKLIN TOWNSHIP,148,8,0,0,156
Glover/Bostick,Governor,,GRN,Bradford,FRANKLIN TOWNSHIP,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,FRANKLIN TOWNSHIP,1,0,0,0,1
Write In Votes,Governor,,,Bradford,FRANKLIN TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,FRANKLIN TOWNSHIP,43,4,0,0,47
Tom Marino,U.S. House,12,REP,Bradford,FRANKLIN TOWNSHIP,148,6,0,0,154
Write In Votes,U.S. House,12,,Bradford,FRANKLIN TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,FRANKLIN TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,FRANKLIN TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,FRANKLIN TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,FRANKLIN TOWNSHIP,45,2,0,0,47
Tina Pickett,State House,110,REP,Bradford,FRANKLIN TOWNSHIP,150,8,0,0,158
Write In Votes,State House,110,,Bradford,FRANKLIN TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,GRANVILLE TOWNSHIP,526,526,526,526,526
,Ballots Cast,,,Bradford,GRANVILLE TOWNSHIP,293,13,0,0,306
,Straight Party,,DEM,Bradford,GRANVILLE TOWNSHIP,29,2,0,0,31
,Straight Party,,REP,Bradford,GRANVILLE TOWNSHIP,136,5,0,0,141
,Straight Party,,GRN,Bradford,GRANVILLE TOWNSHIP,1,0,0,0,1
,Straight Party,,LIB,Bradford,GRANVILLE TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,GRANVILLE TOWNSHIP,88,5,0,0,93
Lou Barletta,U.S. Senate,,REP,Bradford,GRANVILLE TOWNSHIP,195,8,0,0,203
Neal Gale,U.S. Senate,,GRN,Bradford,GRANVILLE TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,GRANVILLE TOWNSHIP,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,GRANVILLE TOWNSHIP,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,GRANVILLE TOWNSHIP,85,5,0,0,90
Wagner/Bartos,Governor,,REP,Bradford,GRANVILLE TOWNSHIP,199,8,0,0,207
Glover/Bostick,Governor,,GRN,Bradford,GRANVILLE TOWNSHIP,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,GRANVILLE TOWNSHIP,2,0,0,0,2
Write In Votes,Governor,,,Bradford,GRANVILLE TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,GRANVILLE TOWNSHIP,66,3,0,0,69
Tom Marino,U.S. House,12,REP,Bradford,GRANVILLE TOWNSHIP,207,10,0,0,217
Write In Votes,U.S. House,12,,Bradford,GRANVILLE TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,GRANVILLE TOWNSHIP,58,4,0,0,62
Clint Owlet,State House,68,REP,Bradford,GRANVILLE TOWNSHIP,228,9,0,0,237
Write In Votes,State House,68,,Bradford,GRANVILLE TOWNSHIP,2,0,0,0,2
Donna Iannone,State House,110,DEM,Bradford,GRANVILLE TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,GRANVILLE TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,GRANVILLE TOWNSHIP,,,,,
,Registered Voters,,,Bradford,HERRICK TOWNSHIP,457,457,457,457,457
,Ballots Cast,,,Bradford,HERRICK TOWNSHIP,289,8,0,0,297
,Straight Party,,DEM,Bradford,HERRICK TOWNSHIP,18,1,0,0,19
,Straight Party,,REP,Bradford,HERRICK TOWNSHIP,125,4,0,0,129
,Straight Party,,GRN,Bradford,HERRICK TOWNSHIP,1,0,0,0,1
,Straight Party,,LIB,Bradford,HERRICK TOWNSHIP,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,HERRICK TOWNSHIP,75,2,0,0,77
Lou Barletta,U.S. Senate,,REP,Bradford,HERRICK TOWNSHIP,204,6,0,0,210
Neal Gale,U.S. Senate,,GRN,Bradford,HERRICK TOWNSHIP,3,0,0,0,3
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,HERRICK TOWNSHIP,2,0,0,0,2
Write In Votes,U.S. Senate,,,Bradford,HERRICK TOWNSHIP,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,HERRICK TOWNSHIP,74,2,0,0,76
Wagner/Bartos,Governor,,REP,Bradford,HERRICK TOWNSHIP,209,6,0,0,215
Glover/Bostick,Governor,,GRN,Bradford,HERRICK TOWNSHIP,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,HERRICK TOWNSHIP,4,0,0,0,4
Write In Votes,Governor,,,Bradford,HERRICK TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,HERRICK TOWNSHIP,54,2,0,0,56
Tom Marino,U.S. House,12,REP,Bradford,HERRICK TOWNSHIP,223,6,0,0,229
Write In Votes,U.S. House,12,,Bradford,HERRICK TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,HERRICK TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,HERRICK TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,HERRICK TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,HERRICK TOWNSHIP,56,1,0,0,57
Tina Pickett,State House,110,REP,Bradford,HERRICK TOWNSHIP,227,7,0,0,234
Write In Votes,State House,110,,Bradford,HERRICK TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,LERAYSVILLE BOROUGH,27,0,0,0,27
,Ballots Cast,,,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
,Straight Party,,DEM,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
,Straight Party,,REP,Bradford,LERAYSVILLE BOROUGH,26,1,0,0,27
,Straight Party,,GRN,Bradford,LERAYSVILLE BOROUGH,60,1,0,0,61
,Straight Party,,LIB,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,LERAYSVILLE BOROUGH,26,1,0,0,27
Lou Barletta,U.S. Senate,,REP,Bradford,LERAYSVILLE BOROUGH,60,1,0,0,61
Neal Gale,U.S. Senate,,GRN,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,LERAYSVILLE BOROUGH,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,LERAYSVILLE BOROUGH,28,2,0,0,30
Wagner/Bartos,Governor,,REP,Bradford,LERAYSVILLE BOROUGH,58,0,0,0,58
Glover/Bostick,Governor,,GRN,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,LERAYSVILLE BOROUGH,2,0,0,0,2
Write In Votes,Governor,,,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,LERAYSVILLE BOROUGH,21,1,0,0,22
Tom Marino,U.S. House,12,REP,Bradford,LERAYSVILLE BOROUGH,64,1,0,0,65
Write In Votes,U.S. House,12,,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,LERAYSVILLE BOROUGH,,,,,
Clint Owlet,State House,68,REP,Bradford,LERAYSVILLE BOROUGH,,,,,
Write In Votes,State House,68,,Bradford,LERAYSVILLE BOROUGH,,,,,
Donna Iannone,State House,110,DEM,Bradford,LERAYSVILLE BOROUGH,23,2,0,0,25
Tina Pickett,State House,110,REP,Bradford,LERAYSVILLE BOROUGH,64,0,0,0,64
Write In Votes,State House,110,,Bradford,LERAYSVILLE BOROUGH,0,0,0,0,0
,Registered Voters,,,Bradford,LEROY TOWNSHIP,403,403,403,403,403
,Ballots Cast,,,Bradford,LEROY TOWNSHIP,251,10,0,0,261
,Straight Party,,DEM,Bradford,LEROY TOWNSHIP,23,4,0,0,27
,Straight Party,,REP,Bradford,LEROY TOWNSHIP,117,3,0,0,120
,Straight Party,,GRN,Bradford,LEROY TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,LEROY TOWNSHIP,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,LEROY TOWNSHIP,68,5,0,0,73
Lou Barletta,U.S. Senate,,REP,Bradford,LEROY TOWNSHIP,174,5,0,0,179
Neal Gale,U.S. Senate,,GRN,Bradford,LEROY TOWNSHIP,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,LEROY TOWNSHIP,5,0,0,0,5
Write In Votes,U.S. Senate,,,Bradford,LEROY TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,LEROY TOWNSHIP,63,5,0,0,68
Wagner/Bartos,Governor,,REP,Bradford,LEROY TOWNSHIP,181,5,0,0,186
Glover/Bostick,Governor,,GRN,Bradford,LEROY TOWNSHIP,3,0,0,0,3
Krawchuk /Smith,Governor,,LIB,Bradford,LEROY TOWNSHIP,2,0,0,0,2
Write In Votes,Governor,,,Bradford,LEROY TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,LEROY TOWNSHIP,52,4,0,0,56
Tom Marino,U.S. House,12,REP,Bradford,LEROY TOWNSHIP,193,6,0,0,199
Write In Votes,U.S. House,12,,Bradford,LEROY TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,LEROY TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,LEROY TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,LEROY TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,LEROY TOWNSHIP,57,4,0,0,61
Tina Pickett,State House,110,REP,Bradford,LEROY TOWNSHIP,191,6,0,0,197
Write In Votes,State House,110,,Bradford,LEROY TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,LITCHFIELD TOWNSHIP,837,837,837,837,837
,Ballots Cast,,,Bradford,LITCHFIELD TOWNSHIP,497,20,0,0,517
,Straight Party,,DEM,Bradford,LITCHFIELD TOWNSHIP,58,3,0,0,61
,Straight Party,,REP,Bradford,LITCHFIELD TOWNSHIP,230,8,0,0,238
,Straight Party,,GRN,Bradford,LITCHFIELD TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,LITCHFIELD TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,LITCHFIELD TOWNSHIP,129,7,0,0,136
Lou Barletta,U.S. Senate,,REP,Bradford,LITCHFIELD TOWNSHIP,350,13,0,0,363
Neal Gale,U.S. Senate,,GRN,Bradford,LITCHFIELD TOWNSHIP,4,0,0,0,4
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,LITCHFIELD TOWNSHIP,4,0,0,0,4
Write In Votes,U.S. Senate,,,Bradford,LITCHFIELD TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,LITCHFIELD TOWNSHIP,138,7,0,0,145
Wagner/Bartos,Governor,,REP,Bradford,LITCHFIELD TOWNSHIP,344,13,0,0,357
Glover/Bostick,Governor,,GRN,Bradford,LITCHFIELD TOWNSHIP,2,0,0,0,2
Krawchuk /Smith,Governor,,LIB,Bradford,LITCHFIELD TOWNSHIP,8,0,0,0,8
Write In Votes,Governor,,,Bradford,LITCHFIELD TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,LITCHFIELD TOWNSHIP,101,4,0,0,105
Tom Marino,U.S. House,12,REP,Bradford,LITCHFIELD TOWNSHIP,389,16,0,0,405
Write In Votes,U.S. House,12,,Bradford,LITCHFIELD TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,LITCHFIELD TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,LITCHFIELD TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,LITCHFIELD TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,LITCHFIELD TOWNSHIP,99,4,0,0,103
Tina Pickett,State House,110,REP,Bradford,LITCHFIELD TOWNSHIP,395,16,0,0,411
Write In Votes,State House,110,,Bradford,LITCHFIELD TOWNSHIP,1,0,0,0,1
,Registered Voters,,,Bradford,MONROE BOROUGH,286,286,286,286,286
,Ballots Cast,,,Bradford,MONROE BOROUGH,169,5,0,0,174
,Straight Party,,DEM,Bradford,MONROE BOROUGH,22,0,0,0,22
,Straight Party,,REP,Bradford,MONROE BOROUGH,52,3,0,0,55
,Straight Party,,GRN,Bradford,MONROE BOROUGH,0,0,0,0,0
,Straight Party,,LIB,Bradford,MONROE BOROUGH,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,MONROE BOROUGH,62,1,0,0,63
Lou Barletta,U.S. Senate,,REP,Bradford,MONROE BOROUGH,102,4,0,0,106
Neal Gale,U.S. Senate,,GRN,Bradford,MONROE BOROUGH,2,0,0,0,2
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,MONROE BOROUGH,2,0,0,0,2
Write In Votes,U.S. Senate,,,Bradford,MONROE BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,MONROE BOROUGH,72,1,0,0,73
Wagner/Bartos,Governor,,REP,Bradford,MONROE BOROUGH,93,4,0,0,97
Glover/Bostick,Governor,,GRN,Bradford,MONROE BOROUGH,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,MONROE BOROUGH,3,0,0,0,3
Write In Votes,Governor,,,Bradford,MONROE BOROUGH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,MONROE BOROUGH,50,1,0,0,51
Tom Marino,U.S. House,12,REP,Bradford,MONROE BOROUGH,114,1,0,0,118
Write In Votes,U.S. House,12,,Bradford,MONROE BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,MONROE BOROUGH,,,,,
Clint Owlet,State House,68,REP,Bradford,MONROE BOROUGH,,,,,
Write In Votes,State House,68,,Bradford,MONROE BOROUGH,,,,,
Donna Iannone,State House,110,DEM,Bradford,MONROE BOROUGH,64,1,0,0,65
Tina Pickett,State House,110,REP,Bradford,MONROE BOROUGH,102,4,0,0,106
Write In Votes,State House,110,,Bradford,MONROE BOROUGH,1,0,0,0,1
,Registered Voters,,,Bradford,MONROE TOWNSHIP,671,671,671,671,671
,Ballots Cast,,,Bradford,MONROE TOWNSHIP,333,19,0,0,352
,Straight Party,,DEM,Bradford,MONROE TOWNSHIP,29,5,0,0,34
,Straight Party,,REP,Bradford,MONROE TOWNSHIP,144,11,0,0,155
,Straight Party,,GRN,Bradford,MONROE TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,MONROE TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,MONROE TOWNSHIP,103,5,0,0,108
Lou Barletta,U.S. Senate,,REP,Bradford,MONROE TOWNSHIP,222,14,0,0,236
Neal Gale,U.S. Senate,,GRN,Bradford,MONROE TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,MONROE TOWNSHIP,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,MONROE TOWNSHIP,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,MONROE TOWNSHIP,90,4,0,0,94
Wagner/Bartos,Governor,,REP,Bradford,MONROE TOWNSHIP,228,15,0,0,243
Glover/Bostick,Governor,,GRN,Bradford,MONROE TOWNSHIP,4,0,0,0,4
Krawchuk /Smith,Governor,,LIB,Bradford,MONROE TOWNSHIP,6,0,0,0,6
Write In Votes,Governor,,,Bradford,MONROE TOWNSHIP,1,0,0,0,1
Marc Friedenberg,U.S. House,12,DEM,Bradford,MONROE TOWNSHIP,78,5,0,0,83
Tom Marino,U.S. House,12,REP,Bradford,MONROE TOWNSHIP,245,14,0,0,259
Write In Votes,U.S. House,12,,Bradford,MONROE TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,MONROE TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,MONROE TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,MONROE TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,MONROE TOWNSHIP,99,5,0,0,104
Tina Pickett,State House,110,REP,Bradford,MONROE TOWNSHIP,229,14,0,0,243
Write In Votes,State House,110,,Bradford,MONROE TOWNSHIP,2,0,0,0,2
,Registered Voters,,,Bradford,NEW ALBANY BOROUGH,135,135,135,135,135
,Ballots Cast,,,Bradford,NEW ALBANY BOROUGH,66,1,0,0,67
,Straight Party,,DEM,Bradford,NEW ALBANY BOROUGH,7,0,0,0,7
,Straight Party,,REP,Bradford,NEW ALBANY BOROUGH,25,1,0,0,26
,Straight Party,,GRN,Bradford,NEW ALBANY BOROUGH,0,0,0,0,0
,Straight Party,,LIB,Bradford,NEW ALBANY BOROUGH,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,NEW ALBANY BOROUGH,22,0,0,0,22
Lou Barletta,U.S. Senate,,REP,Bradford,NEW ALBANY BOROUGH,42,1,0,0,43
