candidate,office,district,party,county,precinct,votes,election_night,absentee
WRITE-IN,U.S. House,16.0,,Lawrence,0012 NEW CASTLE W4 D3,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0012 NEW CASTLE W4 D3,309,290.0,19.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0012 NEW CASTLE W4 D3,157,154.0,3.0
WRITE-IN,State House,9.0,,Lawrence,0012 NEW CASTLE W4 D3,0,0.0,0.0
,Registered Voters,,,Lawrence,0013 NEW CASTLE W5 D1,738,,
,Ballots Cast,,,Lawrence,0013 NEW CASTLE W5 D1,291,266.0,24.0
,Straight Party,,DEM,Lawrence,0013 NEW CASTLE W5 D1,147,141.0,5.0
,Straight Party,,REP,Lawrence,0013 NEW CASTLE W5 D1,40,37.0,3.0
,Straight Party,,GRN,Lawrence,0013 NEW CASTLE W5 D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0013 NEW CASTLE W5 D1,2,2.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0013 NEW CASTLE W5 D1,210,195.0,14.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0013 NEW CASTLE W5 D1,75,66.0,9.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0013 NEW CASTLE W5 D1,1,0.0,1.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0013 NEW CASTLE W5 D1,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0013 NEW CASTLE W5 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0013 NEW CASTLE W5 D1,211,196.0,14.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0013 NEW CASTLE W5 D1,72,64.0,8.0
PAUL GLOVER,Governor,,GRN,Lawrence,0013 NEW CASTLE W5 D1,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0013 NEW CASTLE W5 D1,2,0.0,2.0
WRITE-IN,Governor,,,Lawrence,0013 NEW CASTLE W5 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0013 NEW CASTLE W5 D1,199,187.0,11.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0013 NEW CASTLE W5 D1,80,68.0,12.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0013 NEW CASTLE W5 D1,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0013 NEW CASTLE W5 D1,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0013 NEW CASTLE W5 D1,235,218.0,16.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0013 NEW CASTLE W5 D1,51,44.0,7.0
WRITE-IN,State House,9.0,,Lawrence,0013 NEW CASTLE W5 D1,2,2.0,0.0
,Registered Voters,,,Lawrence,0014 NEW CASTLE W5 D2,532,,
,Ballots Cast,,,Lawrence,0014 NEW CASTLE W5 D2,316,303.0,13.0
,Straight Party,,DEM,Lawrence,0014 NEW CASTLE W5 D2,121,116.0,5.0
,Straight Party,,REP,Lawrence,0014 NEW CASTLE W5 D2,69,67.0,2.0
,Straight Party,,GRN,Lawrence,0014 NEW CASTLE W5 D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0014 NEW CASTLE W5 D2,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0014 NEW CASTLE W5 D2,185,177.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0014 NEW CASTLE W5 D2,124,120.0,4.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0014 NEW CASTLE W5 D2,2,1.0,1.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0014 NEW CASTLE W5 D2,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0014 NEW CASTLE W5 D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0014 NEW CASTLE W5 D2,191,183.0,8.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0014 NEW CASTLE W5 D2,118,114.0,4.0
PAUL GLOVER,Governor,,GRN,Lawrence,0014 NEW CASTLE W5 D2,2,2.0,2.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0014 NEW CASTLE W5 D2,2,1.0,1.0
WRITE-IN,Governor,,,Lawrence,0014 NEW CASTLE W5 D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0014 NEW CASTLE W5 D2,184,177.0,7.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0014 NEW CASTLE W5 D2,125,119.0,6.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0014 NEW CASTLE W5 D2,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0014 NEW CASTLE W5 D2,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0014 NEW CASTLE W5 D2,209,201.0,8.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0014 NEW CASTLE W5 D2,103,98.0,5.0
WRITE-IN,State House,9.0,,Lawrence,0014 NEW CASTLE W5 D2,0,0.0,
,Registered Voters,,,Lawrence,0015 NEW CASTLE W6 D1,637,,
,Ballots Cast,,,Lawrence,0015 NEW CASTLE W6 D1,245,243.0,1.0
,Straight Party,,DEM,Lawrence,0015 NEW CASTLE W6 D1,188,188.0,0.0
,Straight Party,,REP,Lawrence,0015 NEW CASTLE W6 D1,20,20.0,0.0
,Straight Party,,GRN,Lawrence,0015 NEW CASTLE W6 D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0015 NEW CASTLE W6 D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0015 NEW CASTLE W6 D1,210,208.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0015 NEW CASTLE W6 D1,30,30.0,0.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0015 NEW CASTLE W6 D1,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0015 NEW CASTLE W6 D1,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0015 NEW CASTLE W6 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0015 NEW CASTLE W6 D1,210,208.0,1.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0015 NEW CASTLE W6 D1,32,32.0,0.0
PAUL GLOVER,Governor,,GRN,Lawrence,0015 NEW CASTLE W6 D1,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0015 NEW CASTLE W6 D1,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0015 NEW CASTLE W6 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0015 NEW CASTLE W6 D1,209,208.0,0.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0015 NEW CASTLE W6 D1,31,31.0,0.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0015 NEW CASTLE W6 D1,3,2.0,1.0
WRITE-IN,U.S. House,16.0,,Lawrence,0015 NEW CASTLE W6 D1,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0015 NEW CASTLE W6 D1,222,220.0,1.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0015 NEW CASTLE W6 D1,23,23.0,0.0
WRITE-IN,State House,9.0,,Lawrence,0015 NEW CASTLE W6 D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0016 NEW CASTLE W7 D1,893,,
,Ballots Cast,,,Lawrence,0016 NEW CASTLE W7 D1,428,400.0,28.0
,Straight Party,,DEM,Lawrence,0016 NEW CASTLE W7 D1,147,136.0,11.0
,Straight Party,,REP,Lawrence,0016 NEW CASTLE W7 D1,109,102.0,7.0
,Straight Party,,GRN,Lawrence,0016 NEW CASTLE W7 D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0016 NEW CASTLE W7 D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0016 NEW CASTLE W7 D1,238,222.0,16.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0016 NEW CASTLE W7 D1,181,169.0,12.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0016 NEW CASTLE W7 D1,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0016 NEW CASTLE W7 D1,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0016 NEW CASTLE W7 D1,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0016 NEW CASTLE W7 D1,251,235.0,16.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0016 NEW CASTLE W7 D1,170,159.0,11.0
PAUL GLOVER,Governor,,GRN,Lawrence,0016 NEW CASTLE W7 D1,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0016 NEW CASTLE W7 D1,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0016 NEW CASTLE W7 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0016 NEW CASTLE W7 D1,230,215.0,15.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0016 NEW CASTLE W7 D1,192,179.0,13.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0016 NEW CASTLE W7 D1,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0016 NEW CASTLE W7 D1,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0016 NEW CASTLE W7 D1,269,250.0,19.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0016 NEW CASTLE W7 D1,156,147.0,9.0
WRITE-IN,State House,9.0,,Lawrence,0016 NEW CASTLE W7 D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0017 NEW CASTLE W8 D1,585,,
,Ballots Cast,,,Lawrence,0017 NEW CASTLE W8 D1,248,234.0,13.0
,Straight Party,,DEM,Lawrence,0017 NEW CASTLE W8 D1,110,107.0,3.0
,Straight Party,,REP,Lawrence,0017 NEW CASTLE W8 D1,65,63.0,2.0
,Straight Party,,GRN,Lawrence,0017 NEW CASTLE W8 D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0017 NEW CASTLE W8 D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0017 NEW CASTLE W8 D1,154,144.0,10.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0017 NEW CASTLE W8 D1,87,84.0,2.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0017 NEW CASTLE W8 D1,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0017 NEW CASTLE W8 D1,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0017 NEW CASTLE W8 D1,2,2.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0017 NEW CASTLE W8 D1,154,145.0,9.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0017 NEW CASTLE W8 D1,89,84.0,4.0
PAUL GLOVER,Governor,,GRN,Lawrence,0017 NEW CASTLE W8 D1,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0017 NEW CASTLE W8 D1,1,1.0,0.0
WRITE-IN,Governor,,,Lawrence,0017 NEW CASTLE W8 D1,2,2.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0017 NEW CASTLE W8 D1,154,147.0,6.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0017 NEW CASTLE W8 D1,88,83.0,5.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0017 NEW CASTLE W8 D1,2,1.0,1.0
WRITE-IN,U.S. House,16.0,,Lawrence,0017 NEW CASTLE W8 D1,2,2.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0017 NEW CASTLE W8 D1,169,159.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0017 NEW CASTLE W8 D1,77,74.0,2.0
WRITE-IN,State House,9.0,,Lawrence,0017 NEW CASTLE W8 D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0018 BESSEMER BORO,684,,
,Ballots Cast,,,Lawrence,0018 BESSEMER BORO,408,393.0,15.0
,Straight Party,,DEM,Lawrence,0018 BESSEMER BORO,109,98.0,5.0
,Straight Party,,REP,Lawrence,0018 BESSEMER BORO,130,125.0,5.0
,Straight Party,,GRN,Lawrence,0018 BESSEMER BORO,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0018 BESSEMER BORO,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0018 BESSEMER BORO,190,183.0,7.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0018 BESSEMER BORO,207,199.0,8.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0018 BESSEMER BORO,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0018 BESSEMER BORO,6,6.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0018 BESSEMER BORO,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0018 BESSEMER BORO,185,178.0,7.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0018 BESSEMER BORO,212,204.0,8.0
PAUL GLOVER,Governor,,GRN,Lawrence,0018 BESSEMER BORO,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0018 BESSEMER BORO,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0018 BESSEMER BORO,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0018 BESSEMER BORO,182,176.0,6.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0018 BESSEMER BORO,217,208.0,9.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0018 BESSEMER BORO,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0018 BESSEMER BORO,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0018 BESSEMER BORO,233,223.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0018 BESSEMER BORO,171,166.0,5.0
WRITE-IN,State House,9.0,,Lawrence,0018 BESSEMER BORO,0,0.0,0.0
,Registered Voters,,,Lawrence,0019 ELLPORT BORO,704,,
,Ballots Cast,,,Lawrence,0019 ELLPORT BORO,428,409.0,19.0
,Straight Party,,DEM,Lawrence,0019 ELLPORT BORO,76,71.0,5.0
,Straight Party,,REP,Lawrence,0019 ELLPORT BORO,123,116.0,7.0
,Straight Party,,GRN,Lawrence,0019 ELLPORT BORO,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0019 ELLPORT BORO,3,3.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0019 ELLPORT BORO,204,195.0,9.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0019 ELLPORT BORO,203,194.0,9.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0019 ELLPORT BORO,4,4.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0019 ELLPORT BORO,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0019 ELLPORT BORO,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0019 ELLPORT BORO,223,213.0,10.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0019 ELLPORT BORO,189,180.0,9.0
PAUL GLOVER,Governor,,GRN,Lawrence,0019 ELLPORT BORO,5,5.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0019 ELLPORT BORO,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0019 ELLPORT BORO,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0019 ELLPORT BORO,182,172.0,10.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0019 ELLPORT BORO,229,220.0,9.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0019 ELLPORT BORO,7,7.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0019 ELLPORT BORO,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0019 ELLPORT BORO,327,310.0,17.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0019 ELLPORT BORO,92,90.0,2.0
WRITE-IN,State House,10.0,,Lawrence,0019 ELLPORT BORO,2,2.0,0.0
,Registered Voters,,,Lawrence,0020 ELLWOOD CITY BORO W1 D1,592,,
,Ballots Cast,,,Lawrence,0020 ELLWOOD CITY BORO W1 D1,304,298.0,6.0
,Straight Party,,DEM,Lawrence,0020 ELLWOOD CITY BORO W1 D1,58,58.0,0.0
,Straight Party,,REP,Lawrence,0020 ELLWOOD CITY BORO W1 D1,85,85.0,0.0
,Straight Party,,GRN,Lawrence,0020 ELLWOOD CITY BORO W1 D1,2,2.0,0.0
,Straight Party,,LIB,Lawrence,0020 ELLWOOD CITY BORO W1 D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0020 ELLWOOD CITY BORO W1 D1,162,157.0,5.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0020 ELLWOOD CITY BORO W1 D1,132,131.0,1.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0020 ELLWOOD CITY BORO W1 D1,5,5.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0020 ELLWOOD CITY BORO W1 D1,0,0.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0020 ELLWOOD CITY BORO W1 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0020 ELLWOOD CITY BORO W1 D1,169,164.0,5.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0020 ELLWOOD CITY BORO W1 D1,129,128.0,1.0
PAUL GLOVER,Governor,,GRN,Lawrence,0020 ELLWOOD CITY BORO W1 D1,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0020 ELLWOOD CITY BORO W1 D1,1,1.0,0.0
WRITE-IN,Governor,,,Lawrence,0020 ELLWOOD CITY BORO W1 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0020 ELLWOOD CITY BORO W1 D1,164,159.0,5.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0020 ELLWOOD CITY BORO W1 D1,136,135.0,1.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0020 ELLWOOD CITY BORO W1 D1,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0020 ELLWOOD CITY BORO W1 D1,1,1.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0020 ELLWOOD CITY BORO W1 D1,194,193.0,1.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0020 ELLWOOD CITY BORO W1 D1,100,95.0,5.0
WRITE-IN,State House,10.0,,Lawrence,0020 ELLWOOD CITY BORO W1 D1,3,3.0,0.0
,Registered Voters,,,Lawrence,0021 ELLWOOD CITY BORO W2 D1,550,,
,Ballots Cast,,,Lawrence,0021 ELLWOOD CITY BORO W2 D1,299,293.0,6.0
,Straight Party,,DEM,Lawrence,0021 ELLWOOD CITY BORO W2 D1,70,67.0,3.0
,Straight Party,,REP,Lawrence,0021 ELLWOOD CITY BORO W2 D1,82,81.0,1.0
,Straight Party,,GRN,Lawrence,0021 ELLWOOD CITY BORO W2 D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0021 ELLWOOD CITY BORO W2 D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0021 ELLWOOD CITY BORO W2 D1,163,158.0,5.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0021 ELLWOOD CITY BORO W2 D1,125,124.0,1.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0021 ELLWOOD CITY BORO W2 D1,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0021 ELLWOOD CITY BORO W2 D1,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0021 ELLWOOD CITY BORO W2 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0021 ELLWOOD CITY BORO W2 D1,166,162.0,4.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0021 ELLWOOD CITY BORO W2 D1,126,124.0,2.0
PAUL GLOVER,Governor,,GRN,Lawrence,0021 ELLWOOD CITY BORO W2 D1,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0021 ELLWOOD CITY BORO W2 D1,1,1.0,0.0
WRITE-IN,Governor,,,Lawrence,0021 ELLWOOD CITY BORO W2 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0021 ELLWOOD CITY BORO W2 D1,150,146.0,4.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0021 ELLWOOD CITY BORO W2 D1,138,136.0,2.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0021 ELLWOOD CITY BORO W2 D1,8,8.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0021 ELLWOOD CITY BORO W2 D1,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0021 ELLWOOD CITY BORO W2 D1,231,226.0,5.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0021 ELLWOOD CITY BORO W2 D1,62,61.0,1.0
WRITE-IN,State House,10.0,,Lawrence,0021 ELLWOOD CITY BORO W2 D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0022 ELLWOOD CITY BORO W3 D1,521,,
,Ballots Cast,,,Lawrence,0022 ELLWOOD CITY BORO W3 D1,311,302.0,9.0
,Straight Party,,DEM,Lawrence,0022 ELLWOOD CITY BORO W3 D1,59,57.0,2.0
,Straight Party,,REP,Lawrence,0022 ELLWOOD CITY BORO W3 D1,66,64.0,2.0
,Straight Party,,GRN,Lawrence,0022 ELLWOOD CITY BORO W3 D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0022 ELLWOOD CITY BORO W3 D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0022 ELLWOOD CITY BORO W3 D1,172,167.0,5.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0022 ELLWOOD CITY BORO W3 D1,126,122.0,4.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0022 ELLWOOD CITY BORO W3 D1,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0022 ELLWOOD CITY BORO W3 D1,7,7.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0022 ELLWOOD CITY BORO W3 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0022 ELLWOOD CITY BORO W3 D1,188,181.0,7.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0022 ELLWOOD CITY BORO W3 D1,115,113.0,2.0
PAUL GLOVER,Governor,,GRN,Lawrence,0022 ELLWOOD CITY BORO W3 D1,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0022 ELLWOOD CITY BORO W3 D1,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0022 ELLWOOD CITY BORO W3 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0022 ELLWOOD CITY BORO W3 D1,168,163.0,5.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0022 ELLWOOD CITY BORO W3 D1,129,125.0,4.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0022 ELLWOOD CITY BORO W3 D1,8,8.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0022 ELLWOOD CITY BORO W3 D1,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0022 ELLWOOD CITY BORO W3 D1,207,202.0,5.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0022 ELLWOOD CITY BORO W3 D1,94,92.0,2.0
WRITE-IN,State House,10.0,,Lawrence,0022 ELLWOOD CITY BORO W3 D1,2,1.0,1.0
,Registered Voters,,,Lawrence,0023 ELLWOOD CITY BORO W4 D1,584,,
,Ballots Cast,,,Lawrence,0023 ELLWOOD CITY BORO W4 D1,359,254.0,4.0
,Straight Party,,DEM,Lawrence,0023 ELLWOOD CITY BORO W4 D1,66,65.0,0.0
,Straight Party,,REP,Lawrence,0023 ELLWOOD CITY BORO W4 D1,86,86.0,0.0
,Straight Party,,GRN,Lawrence,0023 ELLWOOD CITY BORO W4 D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0023 ELLWOOD CITY BORO W4 D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0023 ELLWOOD CITY BORO W4 D1,192,188.0,3.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0023 ELLWOOD CITY BORO W4 D1,163,162.0,1.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0023 ELLWOOD CITY BORO W4 D1,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0023 ELLWOOD CITY BORO W4 D1,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0023 ELLWOOD CITY BORO W4 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0023 ELLWOOD CITY BORO W4 D1,200,196.0,3.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0023 ELLWOOD CITY BORO W4 D1,153,152.0,1.0
PAUL GLOVER,Governor,,GRN,Lawrence,0023 ELLWOOD CITY BORO W4 D1,0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0023 ELLWOOD CITY BORO W4 D1,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0023 ELLWOOD CITY BORO W4 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0023 ELLWOOD CITY BORO W4 D1,175,172.0,2.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0023 ELLWOOD CITY BORO W4 D1,179,177.0,2.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0023 ELLWOOD CITY BORO W4 D1,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0023 ELLWOOD CITY BORO W4 D1,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0023 ELLWOOD CITY BORO W4 D1,268,264.0,3.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0023 ELLWOOD CITY BORO W4 D1,85,85.0,0.0
WRITE-IN,State House,10.0,,Lawrence,0023 ELLWOOD CITY BORO W4 D1,1,1.0,0.0
,Registered Voters,,,Lawrence,0024 ELLWOOD CITY BORO W4 D2,606,,
,Ballots Cast,,,Lawrence,0024 ELLWOOD CITY BORO W4 D2,378,361.0,17.0
,Straight Party,,DEM,Lawrence,0024 ELLWOOD CITY BORO W4 D2,64,59.0,5.0
,Straight Party,,REP,Lawrence,0024 ELLWOOD CITY BORO W4 D2,92,86.0,6.0
,Straight Party,,GRN,Lawrence,0024 ELLWOOD CITY BORO W4 D2,2,2.0,0.0
,Straight Party,,LIB,Lawrence,0024 ELLWOOD CITY BORO W4 D2,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0024 ELLWOOD CITY BORO W4 D2,204,196.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0024 ELLWOOD CITY BORO W4 D2,162,153.0,9.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0024 ELLWOOD CITY BORO W4 D2,2,2.0,0.0
