candidate,office,district,party,county,precinct,votes,election_day,absentee,provisional
,Registered Voters,,,Venango,Franklin 2,1338,,,
,Ballots Cast,,,Venango,Franklin 2,788,748.0,40.0,0.0
,Straight Party,,DEM,Venango,Franklin 2,147,132.0,15.0,0.0
,Straight Party,,REP,Venango,Franklin 2,256,247.0,9.0,0.0
,Straight Party,,GRN,Venango,Franklin 2,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Franklin 2,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Franklin 2,340,314.0,26.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Franklin 2,432,420.0,12.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Franklin 2,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Franklin 2,5,4.0,1.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Franklin 2,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Franklin 2,357,333.0,24.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Franklin 2,412,397.0,15.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Franklin 2,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Franklin 2,12,12.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Franklin 2,2,2.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Franklin 2,302,281.0,21.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Franklin 2,471,454.0,17.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Franklin 2,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Franklin 2,307,288.0,19.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Franklin 2,477,457.0,20.0,0.0
WRITE-IN,State House,64.0,,Venango,Franklin 2,1,1.0,0.0,0.0
,Registered Voters,,,Venango,Franklin 3,968,,,
,Ballots Cast,,,Venango,Franklin 3,464,436.0,27.0,1.0
,Straight Party,,DEM,Venango,Franklin 3,131,123.0,8.0,0.0
,Straight Party,,REP,Venango,Franklin 3,143,135.0,8.0,0.0
,Straight Party,,GRN,Venango,Franklin 3,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Franklin 3,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Franklin 3,224,209.0,14.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Franklin 3,225,212.0,13.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Franklin 3,3,3.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Franklin 3,5,5.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Franklin 3,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Franklin 3,232,217.0,14.0,1.0
SCOTT R WAGNER,Governor,,REP,Venango,Franklin 3,219,207.0,12.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Franklin 3,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Franklin 3,6,6.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Franklin 3,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Franklin 3,200,188.0,12.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Franklin 3,256,240.0,15.0,1.0
WRITE-IN,U.S. House,15.0,,Venango,Franklin 3,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Franklin 3,202,190.0,12.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Franklin 3,259,243.0,15.0,1.0
WRITE-IN,State House,64.0,,Venango,Franklin 3,1,1.0,0.0,0.0
,Registered Voters,,,Venango,Frenchcreek Twp,967,,,
,Ballots Cast,,,Venango,Frenchcreek Twp,610,578.0,32.0,0.0
,Straight Party,,DEM,Venango,Frenchcreek Twp,88,81.0,7.0,0.0
,Straight Party,,REP,Venango,Frenchcreek Twp,210,196.0,14.0,0.0
,Straight Party,,GRN,Venango,Frenchcreek Twp,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Frenchcreek Twp,2,2.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Frenchcreek Twp,244,231.0,13.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Frenchcreek Twp,343,324.0,19.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Frenchcreek Twp,5,5.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Frenchcreek Twp,6,6.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Frenchcreek Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Frenchcreek Twp,261,249.0,12.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Frenchcreek Twp,333,313.0,20.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Frenchcreek Twp,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Frenchcreek Twp,11,11.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Frenchcreek Twp,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Frenchcreek Twp,196,185.0,11.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Frenchcreek Twp,407,386.0,21.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Frenchcreek Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Frenchcreek Twp,202,190.0,12.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Frenchcreek Twp,398,378.0,20.0,0.0
WRITE-IN,State House,64.0,,Venango,Frenchcreek Twp,4,4.0,0.0,0.0
,Registered Voters,,,Venango,Irwin Twp,776,,,
,Ballots Cast,,,Venango,Irwin Twp,488,466.0,22.0,0.0
,Straight Party,,DEM,Venango,Irwin Twp,45,40.0,5.0,0.0
,Straight Party,,REP,Venango,Irwin Twp,244,233.0,11.0,0.0
,Straight Party,,GRN,Venango,Irwin Twp,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Irwin Twp,2,2.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Irwin Twp,125,118.0,7.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Irwin Twp,346,332.0,14.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Irwin Twp,5,4.0,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Irwin Twp,9,9.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Irwin Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Irwin Twp,131,124.0,7.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Irwin Twp,340,326.0,14.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Irwin Twp,2,1.0,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Irwin Twp,9,9.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Irwin Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Irwin Twp,99,92.0,7.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Irwin Twp,378,363.0,15.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Irwin Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Irwin Twp,105,98.0,7.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Irwin Twp,375,360.0,15.0,0.0
WRITE-IN,State House,64.0,,Venango,Irwin Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Jackson Twp,632,,,
,Ballots Cast,,,Venango,Jackson Twp,385,364.0,20.0,1.0
,Straight Party,,DEM,Venango,Jackson Twp,40,36.0,4.0,0.0
,Straight Party,,REP,Venango,Jackson Twp,194,184.0,9.0,1.0
,Straight Party,,GRN,Venango,Jackson Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Jackson Twp,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Jackson Twp,81,76.0,5.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Jackson Twp,288,274.0,13.0,10.0
NEAL GALE,U.S. Senate,,GRN,Venango,Jackson Twp,0,0.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Jackson Twp,10,8.0,2.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Jackson Twp,1,1.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Jackson Twp,99,93.0,6.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Jackson Twp,272,259.0,12.0,1.0
PAUL GLOVER,Governor,,GRN,Venango,Jackson Twp,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Jackson Twp,10,8.0,2.0,0.0
WRITE-IN,Governor,,,Venango,Jackson Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Jackson Twp,65,61.0,4.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Jackson Twp,317,300.0,16.0,1.0
WRITE-IN,U.S. House,15.0,,Venango,Jackson Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Jackson Twp,68,64.0,4.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Jackson Twp,314,297.0,16.0,1.0
WRITE-IN,State House,64.0,,Venango,Jackson Twp,2,2.0,0.0,0.0
,Registered Voters,,,Venango,Mineral Twp,336,,,
,Ballots Cast,,,Venango,Mineral Twp,235,227.0,8.0,0.0
,Straight Party,,DEM,Venango,Mineral Twp,32,31.0,1.0,0.0
,Straight Party,,REP,Venango,Mineral Twp,88,83.0,5.0,0.0
,Straight Party,,GRN,Venango,Mineral Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Mineral Twp,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Mineral Twp,72,71.0,1.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Mineral Twp,157,150.0,7.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Mineral Twp,1,1.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Mineral Twp,2,2.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Mineral Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Mineral Twp,84,83.0,1.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Mineral Twp,143,136.0,7.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Mineral Twp,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Mineral Twp,2,2.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Mineral Twp,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Mineral Twp,57,56.0,1.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Mineral Twp,171,164.0,7.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Mineral Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Mineral Twp,63,62.0,1.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Mineral Twp,170,163.0,7.0,0.0
WRITE-IN,State House,64.0,,Venango,Mineral Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Oakland Twp,947,,,
,Ballots Cast,,,Venango,Oakland Twp,650,637.0,13.0,0.0
,Straight Party,,DEM,Venango,Oakland Twp,78,76.0,2.0,0.0
,Straight Party,,REP,Venango,Oakland Twp,237,232.0,5.0,0.0
,Straight Party,,GRN,Venango,Oakland Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Oakland Twp,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oakland Twp,197,194.0,3.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oakland Twp,430,420.0,10.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oakland Twp,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oakland Twp,5,5.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oakland Twp,1,1.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oakland Twp,208,203.0,5.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Oakland Twp,427,419.0,8.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Oakland Twp,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Oakland Twp,6,6.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Oakland Twp,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oakland Twp,160,156.0,4.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oakland Twp,474,465.0,9.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Oakland Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oakland Twp,186,182.0,4.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Oakland Twp,459,450.0,9.0,0.0
WRITE-IN,State House,64.0,,Venango,Oakland Twp,2,2.0,0.0,0.0
,Registered Voters,,,Venango,Oil City 1,1026,,,
,Ballots Cast,,,Venango,Oil City 1,591,557.0,34.0,0.0
,Straight Party,,DEM,Venango,Oil City 1,114,105.0,9.0,0.0
,Straight Party,,REP,Venango,Oil City 1,178,164.0,14.0,0.0
,Straight Party,,GRN,Venango,Oil City 1,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Oil City 1,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oil City 1,269,253.0,16.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oil City 1,299,282.0,17.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oil City 1,5,5.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oil City 1,7,6.0,1.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oil City 1,1,1.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oil City 1,291,276.0,15.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Oil City 1,280,263.0,17.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Oil City 1,5,4.0,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Oil City 1,9,8.0,1.0,0.0
WRITE-IN,Governor,,,Venango,Oil City 1,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oil City 1,234,222.0,12.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oil City 1,351,329.0,22.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Oil City 1,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oil City 1,249,235.0,14.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Oil City 1,337,317.0,20.0,0.0
WRITE-IN,State House,64.0,,Venango,Oil City 1,2,2.0,0.0,0.0
,Registered Voters,,,Venango,Oil City 2,693,,,
,Ballots Cast,,,Venango,Oil City 2,318,310.0,7.0,1.0
,Straight Party,,DEM,Venango,Oil City 2,56,50.0,6.0,0.0
,Straight Party,,REP,Venango,Oil City 2,90,89.0,0.0,1.0
,Straight Party,,GRN,Venango,Oil City 2,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Oil City 2,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oil City 2,145,139.0,6.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oil City 2,156,154.0,1.0,1.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oil City 2,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oil City 2,12,12.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oil City 2,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oil City 2,158,152.0,6.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Oil City 2,148,146.0,1.0,1.0
PAUL GLOVER,Governor,,GRN,Venango,Oil City 2,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Oil City 2,7,7.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Oil City 2,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oil City 2,131,125.0,6.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oil City 2,179,177.0,1.0,1.0
WRITE-IN,U.S. House,15.0,,Venango,Oil City 2,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oil City 2,138,132.0,6.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Oil City 2,176,174.0,1.0,1.0
WRITE-IN,State House,64.0,,Venango,Oil City 2,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Oil City 3,952,,,
,Ballots Cast,,,Venango,Oil City 3,400,381.0,18.0,1.0
,Straight Party,,DEM,Venango,Oil City 3,97,93.0,3.0,1.0
,Straight Party,,REP,Venango,Oil City 3,134,125.0,9.0,0.0
,Straight Party,,GRN,Venango,Oil City 3,2,2.0,0.0,0.0
,Straight Party,,LIB,Venango,Oil City 3,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oil City 3,181,172.0,8.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oil City 3,204,194.0,10.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oil City 3,4,4.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oil City 3,3,3.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oil City 3,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oil City 3,187,178.0,8.0,1.0
SCOTT R WAGNER,Governor,,REP,Venango,Oil City 3,203,193.0,10.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Oil City 3,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Oil City 3,3,3.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Oil City 3,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oil City 3,167,160.0,6.0,1.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oil City 3,223,211.0,12.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Oil City 3,2,2.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oil City 3,177,168.0,8.0,1.0
R. LEE JAMES,State House,64.0,REP,Venango,Oil City 3,218,208.0,10.0,0.0
WRITE-IN,State House,64.0,,Venango,Oil City 3,1,1.0,0.0,0.0
,Registered Voters,,,Venango,Oil City 4,770,,,
,Ballots Cast,,,Venango,Oil City 4,361,350.0,11.0,0.0
,Straight Party,,DEM,Venango,Oil City 4,68,63.0,5.0,0.0
,Straight Party,,REP,Venango,Oil City 4,93,92.0,1.0,0.0
,Straight Party,,GRN,Venango,Oil City 4,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Oil City 4,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oil City 4,181,174.0,7.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oil City 4,167,165.0,2.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oil City 4,4,4.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oil City 4,6,4.0,2.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oil City 4,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oil City 4,191,183.0,8.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Oil City 4,159,158.0,1.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Oil City 4,1,1.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Oil City 4,9,7.0,2.0,0.0
WRITE-IN,Governor,,,Venango,Oil City 4,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oil City 4,168,162.0,6.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oil City 4,189,184.0,5.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Oil City 4,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oil City 4,154,149.0,5.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Oil City 4,201,195.0,6.0,0.0
WRITE-IN,State House,64.0,,Venango,Oil City 4,1,1.0,0.0,0.0
,Registered Voters,,,Venango,Oil City 5,673,,,
,Ballots Cast,,,Venango,Oil City 5,435,413.0,21.0,1.0
,Straight Party,,DEM,Venango,Oil City 5,70,63.0,6.0,1.0
,Straight Party,,REP,Venango,Oil City 5,129,123.0,6.0,0.0
,Straight Party,,GRN,Venango,Oil City 5,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Oil City 5,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oil City 5,190,177.0,12.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oil City 5,229,220.0,9.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oil City 5,6,6.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oil City 5,9,9.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oil City 5,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oil City 5,209,196.0,12.0,1.0
SCOTT R WAGNER,Governor,,REP,Venango,Oil City 5,214,205.0,9.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Oil City 5,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Oil City 5,7,7.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Oil City 5,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oil City 5,172,161.0,10.0,1.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oil City 5,258,247.0,11.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Oil City 5,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oil City 5,176,165.0,10.0,1.0
R. LEE JAMES,State House,64.0,REP,Venango,Oil City 5,250,239.0,11.0,0.0
WRITE-IN,State House,64.0,,Venango,Oil City 5,5,5.0,0.0,0.0
,Registered Voters,,,Venango,Oil City 6,852,,,
,Ballots Cast,,,Venango,Oil City 6,440,418.0,20.0,2.0
,Straight Party,,DEM,Venango,Oil City 6,113,108.0,5.0,0.0
,Straight Party,,REP,Venango,Oil City 6,116,109.0,5.0,2.0
,Straight Party,,GRN,Venango,Oil City 6,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Oil City 6,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oil City 6,225,213.0,12.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oil City 6,204,195.0,7.0,2.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oil City 6,1,1.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oil City 6,5,5.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oil City 6,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oil City 6,222,210.0,12.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Oil City 6,207,197.0,8.0,2.0
PAUL GLOVER,Governor,,GRN,Venango,Oil City 6,1,1.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Oil City 6,4,4.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Oil City 6,2,2.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oil City 6,204,191.0,13.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oil City 6,231,222.0,7.0,2.0
WRITE-IN,U.S. House,15.0,,Venango,Oil City 6,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oil City 6,210,200.0,10.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Oil City 6,225,213.0,10.0,2.0
WRITE-IN,State House,64.0,,Venango,Oil City 6,1,1.0,0.0,0.0
,Registered Voters,,,Venango,Oil City 7,569,,,
,Ballots Cast,,,Venango,Oil City 7,356,340.0,16.0,0.0
,Straight Party,,DEM,Venango,Oil City 7,66,61.0,5.0,0.0
,Straight Party,,REP,Venango,Oil City 7,92,84.0,8.0,0.0
,Straight Party,,GRN,Venango,Oil City 7,2,2.0,0.0,0.0
,Straight Party,,LIB,Venango,Oil City 7,3,3.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oil City 7,182,176.0,6.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oil City 7,165,155.0,10.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oil City 7,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oil City 7,5,5.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oil City 7,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oil City 7,201,194.0,7.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Oil City 7,150,141.0,9.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Oil City 7,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Oil City 7,2,2.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Oil City 7,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Oil City 7,167,161.0,6.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Oil City 7,186,176.0,10.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Oil City 7,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Oil City 7,175,169.0,6.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Oil City 7,179,169.0,10.0,0.0
WRITE-IN,State House,64.0,,Venango,Oil City 7,1,1.0,0.0,0.0
,Registered Voters,,,Venango,Oilcreek Twp,503,,,
,Ballots Cast,,,Venango,Oilcreek Twp,334,327.0,7.0,0.0
,Straight Party,,DEM,Venango,Oilcreek Twp,34,34.0,0.0,0.0
,Straight Party,,REP,Venango,Oilcreek Twp,156,155.0,1.0,0.0
,Straight Party,,GRN,Venango,Oilcreek Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Oilcreek Twp,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Oilcreek Twp,86,86.0,0.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Oilcreek Twp,240,233.0,7.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Oilcreek Twp,0,0.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Oilcreek Twp,2,2.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Oilcreek Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Oilcreek Twp,95,91.0,4.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Oilcreek Twp,230,227.0,3.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Oilcreek Twp,1,1.0,0.0,0.0
