county,precinct,office,district,party,candidate,votes,mail
Northumberland,Marion Heights Borough,State Senate,27,DEM,MICHELLE SIEGEL,97,27
Northumberland,Marion Heights Borough,State Senate,27,REP,JOHN R GORDNER,189,17
Northumberland,Marion Heights Borough,State Senate,27,,Write-ins,0,0
Northumberland,Marion Heights Borough,State House,107,REP,KURT A MASSER,228,33
Northumberland,Marion Heights Borough,State House,107,LIB,RYAN BOURINSKI,49,6
Northumberland,Marion Heights Borough,State House,107,,Write-ins,2,2
Northumberland,Mount Carmel Borough 1,Registered Voters,,,,621,
Northumberland,Mount Carmel Borough 1,Ballots Cast,,,,411,91
Northumberland,Mount Carmel Borough 1,Ballots Cast - Blank,,,,0,0
Northumberland,Mount Carmel Borough 1,President,,DEM,Joseph R. Biden,151,63
Northumberland,Mount Carmel Borough 1,President,,REP,Donald J. Trump,249,27
Northumberland,Mount Carmel Borough 1,President,,LIB,Jo Jorgensen,6,1
Northumberland,Mount Carmel Borough 1,President,,,Write-ins,2,0
Northumberland,Mount Carmel Borough 1,Attorney General,,DEM,JOSH SHAPIRO,177,66
Northumberland,Mount Carmel Borough 1,Attorney General,,REP,HEATHER HEIDELBAUGH,211,23
Northumberland,Mount Carmel Borough 1,Attorney General,,LIB,DANIEL WASSMER,8,0
Northumberland,Mount Carmel Borough 1,Attorney General,,GRN,RICHARD L WEISS,7,2
Northumberland,Mount Carmel Borough 1,Attorney General,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 1,Auditor General,,DEM,NINA AHMAD,144,56
Northumberland,Mount Carmel Borough 1,Auditor General,,REP,TIMOTHY DEFOOR,223,28
Northumberland,Mount Carmel Borough 1,Auditor General,,LIB,JENNIFER MOORE,17,3
Northumberland,Mount Carmel Borough 1,Auditor General,,GRN,OLIVIA FAISON,10,2
Northumberland,Mount Carmel Borough 1,Auditor General,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 1,State Treasurer,,DEM,JOE TORSELLA,155,59
Northumberland,Mount Carmel Borough 1,State Treasurer,,REP,STACY L GARRITY,222,25
Northumberland,Mount Carmel Borough 1,State Treasurer,,LIB,JOE SOLOSKI,11,2
Northumberland,Mount Carmel Borough 1,State Treasurer,,GRN,TIMOTHY RUNKLE,11,4
Northumberland,Mount Carmel Borough 1,State Treasurer,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 1,U.S. House,9,DEM,GARY WEGMAN,149,59
Northumberland,Mount Carmel Borough 1,U.S. House,9,REP,DAN MEUSER,251,32
Northumberland,Mount Carmel Borough 1,U.S. House,9,,Write-ins,1,0
Northumberland,Mount Carmel Borough 1,State Senate,27,DEM,MICHELLE SIEGEL,140,55
Northumberland,Mount Carmel Borough 1,State Senate,27,REP,JOHN R GORDNER,258,36
Northumberland,Mount Carmel Borough 1,State Senate,27,,Write-ins,1,0
Northumberland,Mount Carmel Borough 1,State House,107,REP,KURT A MASSER,303,63
Northumberland,Mount Carmel Borough 1,State House,107,LIB,RYAN BOURINSKI,78,20
Northumberland,Mount Carmel Borough 1,State House,107,,Write-ins,2,1
Northumberland,Mount Carmel Borough 2,Registered Voters,,,,782,
Northumberland,Mount Carmel Borough 2,Ballots Cast,,,,515,125
Northumberland,Mount Carmel Borough 2,Ballots Cast - Blank,,,,0,0
Northumberland,Mount Carmel Borough 2,President,,DEM,Joseph R. Biden,194,71
Northumberland,Mount Carmel Borough 2,President,,REP,Donald J. Trump,306,49
Northumberland,Mount Carmel Borough 2,President,,LIB,Jo Jorgensen,11,4
Northumberland,Mount Carmel Borough 2,President,,,Write-ins,2,0
Northumberland,Mount Carmel Borough 2,Attorney General,,DEM,JOSH SHAPIRO,227,72
Northumberland,Mount Carmel Borough 2,Attorney General,,REP,HEATHER HEIDELBAUGH,256,44
Northumberland,Mount Carmel Borough 2,Attorney General,,LIB,DANIEL WASSMER,15,4
Northumberland,Mount Carmel Borough 2,Attorney General,,GRN,RICHARD L WEISS,7,4
Northumberland,Mount Carmel Borough 2,Attorney General,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 2,Auditor General,,DEM,NINA AHMAD,198,67
Northumberland,Mount Carmel Borough 2,Auditor General,,REP,TIMOTHY DEFOOR,266,42
Northumberland,Mount Carmel Borough 2,Auditor General,,LIB,JENNIFER MOORE,31,10
Northumberland,Mount Carmel Borough 2,Auditor General,,GRN,OLIVIA FAISON,8,4
Northumberland,Mount Carmel Borough 2,Auditor General,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 2,State Treasurer,,DEM,JOE TORSELLA,203,67
Northumberland,Mount Carmel Borough 2,State Treasurer,,REP,STACY L GARRITY,271,47
Northumberland,Mount Carmel Borough 2,State Treasurer,,LIB,JOE SOLOSKI,21,6
Northumberland,Mount Carmel Borough 2,State Treasurer,,GRN,TIMOTHY RUNKLE,7,3
Northumberland,Mount Carmel Borough 2,State Treasurer,,,Write-ins,1,0
Northumberland,Mount Carmel Borough 2,U.S. House,9,DEM,GARY WEGMAN,190,67
Northumberland,Mount Carmel Borough 2,U.S. House,9,REP,DAN MEUSER,312,55
Northumberland,Mount Carmel Borough 2,U.S. House,9,,Write-ins,2,0
Northumberland,Mount Carmel Borough 2,State Senate,27,DEM,MICHELLE SIEGEL,179,61
Northumberland,Mount Carmel Borough 2,State Senate,27,REP,JOHN R GORDNER,320,62
Northumberland,Mount Carmel Borough 2,State Senate,27,,Write-ins,1,0
Northumberland,Mount Carmel Borough 2,State House,107,REP,KURT A MASSER,393,85
Northumberland,Mount Carmel Borough 2,State House,107,LIB,RYAN BOURINSKI,94,32
Northumberland,Mount Carmel Borough 2,State House,107,,Write-ins,2,1
Northumberland,Mount Carmel Borough 3,Registered Voters,,,,1219,
Northumberland,Mount Carmel Borough 3,Ballots Cast,,,,814,170
Northumberland,Mount Carmel Borough 3,Ballots Cast - Blank,,,,2,0
Northumberland,Mount Carmel Borough 3,President,,DEM,Joseph R. Biden,261,83
Northumberland,Mount Carmel Borough 3,President,,REP,Donald J. Trump,533,81
Northumberland,Mount Carmel Borough 3,President,,LIB,Jo Jorgensen,15,5
Northumberland,Mount Carmel Borough 3,President,,,Write-ins,2,1
Northumberland,Mount Carmel Borough 3,Attorney General,,DEM,JOSH SHAPIRO,315,94
Northumberland,Mount Carmel Borough 3,Attorney General,,REP,HEATHER HEIDELBAUGH,450,62
Northumberland,Mount Carmel Borough 3,Attorney General,,LIB,DANIEL WASSMER,26,7
Northumberland,Mount Carmel Borough 3,Attorney General,,GRN,RICHARD L WEISS,9,2
Northumberland,Mount Carmel Borough 3,Attorney General,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 3,Auditor General,,DEM,NINA AHMAD,259,85
Northumberland,Mount Carmel Borough 3,Auditor General,,REP,TIMOTHY DEFOOR,478,66
Northumberland,Mount Carmel Borough 3,Auditor General,,LIB,JENNIFER MOORE,43,10
Northumberland,Mount Carmel Borough 3,Auditor General,,GRN,OLIVIA FAISON,12,4
Northumberland,Mount Carmel Borough 3,Auditor General,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 3,State Treasurer,,DEM,JOE TORSELLA,267,83
Northumberland,Mount Carmel Borough 3,State Treasurer,,REP,STACY L GARRITY,494,72
Northumberland,Mount Carmel Borough 3,State Treasurer,,LIB,JOE SOLOSKI,19,5
Northumberland,Mount Carmel Borough 3,State Treasurer,,GRN,TIMOTHY RUNKLE,12,4
Northumberland,Mount Carmel Borough 3,State Treasurer,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 3,U.S. House,9,DEM,GARY WEGMAN,252,78
Northumberland,Mount Carmel Borough 3,U.S. House,9,REP,DAN MEUSER,541,85
Northumberland,Mount Carmel Borough 3,U.S. House,9,,Write-ins,1,1
Northumberland,Mount Carmel Borough 3,State Senate,27,DEM,MICHELLE SIEGEL,253,79
Northumberland,Mount Carmel Borough 3,State Senate,27,REP,JOHN R GORDNER,546,88
Northumberland,Mount Carmel Borough 3,State Senate,27,,Write-ins,0,0
Northumberland,Mount Carmel Borough 3,State House,107,REP,KURT A MASSER,605,116
Northumberland,Mount Carmel Borough 3,State House,107,LIB,RYAN BOURINSKI,173,45
Northumberland,Mount Carmel Borough 3,State House,107,,Write-ins,5,2
Northumberland,Mount Carmel Borough 4,Registered Voters,,,,963,
Northumberland,Mount Carmel Borough 4,Ballots Cast,,,,624,165
Northumberland,Mount Carmel Borough 4,Ballots Cast - Blank,,,,0,0
Northumberland,Mount Carmel Borough 4,President,,DEM,Joseph R. Biden,252,113
Northumberland,Mount Carmel Borough 4,President,,REP,Donald J. Trump,356,50
Northumberland,Mount Carmel Borough 4,President,,LIB,Jo Jorgensen,7,0
Northumberland,Mount Carmel Borough 4,President,,,Write-ins,4,1
Northumberland,Mount Carmel Borough 4,Attorney General,,DEM,JOSH SHAPIRO,287,114
Northumberland,Mount Carmel Borough 4,Attorney General,,REP,HEATHER HEIDELBAUGH,305,44
Northumberland,Mount Carmel Borough 4,Attorney General,,LIB,DANIEL WASSMER,12,1
Northumberland,Mount Carmel Borough 4,Attorney General,,GRN,RICHARD L WEISS,6,2
Northumberland,Mount Carmel Borough 4,Attorney General,,,Write-ins,1,0
Northumberland,Mount Carmel Borough 4,Auditor General,,DEM,NINA AHMAD,242,107
Northumberland,Mount Carmel Borough 4,Auditor General,,REP,TIMOTHY DEFOOR,317,49
Northumberland,Mount Carmel Borough 4,Auditor General,,LIB,JENNIFER MOORE,36,3
Northumberland,Mount Carmel Borough 4,Auditor General,,GRN,OLIVIA FAISON,7,2
Northumberland,Mount Carmel Borough 4,Auditor General,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 4,State Treasurer,,DEM,JOE TORSELLA,263,112
Northumberland,Mount Carmel Borough 4,State Treasurer,,REP,STACY L GARRITY,319,47
Northumberland,Mount Carmel Borough 4,State Treasurer,,LIB,JOE SOLOSKI,15,0
Northumberland,Mount Carmel Borough 4,State Treasurer,,GRN,TIMOTHY RUNKLE,8,2
Northumberland,Mount Carmel Borough 4,State Treasurer,,,Write-ins,0,0
Northumberland,Mount Carmel Borough 4,U.S. House,9,DEM,GARY WEGMAN,247,108
Northumberland,Mount Carmel Borough 4,U.S. House,9,REP,DAN MEUSER,358,53
Northumberland,Mount Carmel Borough 4,U.S. House,9,,Write-ins,1,0
Northumberland,Mount Carmel Borough 4,State Senate,27,DEM,MICHELLE SIEGEL,218,94
Northumberland,Mount Carmel Borough 4,State Senate,27,REP,JOHN R GORDNER,384,67
Northumberland,Mount Carmel Borough 4,State Senate,27,,Write-ins,0,0
Northumberland,Mount Carmel Borough 4,State House,107,REP,KURT A MASSER,441,91
Northumberland,Mount Carmel Borough 4,State House,107,LIB,RYAN BOURINSKI,128,47
Northumberland,Mount Carmel Borough 4,State House,107,,Write-ins,10,6
Northumberland,Diamond/Exchange Township,Registered Voters,,,,652,
Northumberland,Diamond/Exchange Township,Ballots Cast,,,,441,108
Northumberland,Diamond/Exchange Township,Ballots Cast - Blank,,,,0,0
Northumberland,Diamond/Exchange Township,President,,DEM,Joseph R. Biden,150,65
Northumberland,Diamond/Exchange Township,President,,REP,Donald J. Trump,280,40
Northumberland,Diamond/Exchange Township,President,,LIB,Jo Jorgensen,9,2
Northumberland,Diamond/Exchange Township,President,,,Write-ins,2,1
Northumberland,Diamond/Exchange Township,Attorney General,,DEM,JOSH SHAPIRO,184,73
Northumberland,Diamond/Exchange Township,Attorney General,,REP,HEATHER HEIDELBAUGH,230,31
Northumberland,Diamond/Exchange Township,Attorney General,,LIB,DANIEL WASSMER,11,3
Northumberland,Diamond/Exchange Township,Attorney General,,GRN,RICHARD L WEISS,4,0
Northumberland,Diamond/Exchange Township,Attorney General,,,Write-ins,1,1
Northumberland,Diamond/Exchange Township,Auditor General,,DEM,NINA AHMAD,147,59
Northumberland,Diamond/Exchange Township,Auditor General,,REP,TIMOTHY DEFOOR,237,37
Northumberland,Diamond/Exchange Township,Auditor General,,LIB,JENNIFER MOORE,21,4
Northumberland,Diamond/Exchange Township,Auditor General,,GRN,OLIVIA FAISON,9,3
Northumberland,Diamond/Exchange Township,Auditor General,,,Write-ins,1,1
Northumberland,Diamond/Exchange Township,State Treasurer,,DEM,JOE TORSELLA,163,67
Northumberland,Diamond/Exchange Township,State Treasurer,,REP,STACY L GARRITY,239,36
Northumberland,Diamond/Exchange Township,State Treasurer,,LIB,JOE SOLOSKI,12,2
Northumberland,Diamond/Exchange Township,State Treasurer,,GRN,TIMOTHY RUNKLE,7,0
Northumberland,Diamond/Exchange Township,State Treasurer,,,Write-ins,1,1
Northumberland,Diamond/Exchange Township,U.S. House,9,DEM,GARY WEGMAN,152,67
Northumberland,Diamond/Exchange Township,U.S. House,9,REP,DAN MEUSER,270,37
Northumberland,Diamond/Exchange Township,U.S. House,9,,Write-ins,1,1
Northumberland,Diamond/Exchange Township,State Senate,27,DEM,MICHELLE SIEGEL,134,53
Northumberland,Diamond/Exchange Township,State Senate,27,REP,JOHN R GORDNER,292,50
Northumberland,Diamond/Exchange Township,State Senate,27,,Write-ins,1,1
Northumberland,Diamond/Exchange Township,State House,107,REP,KURT A MASSER,338,71
Northumberland,Diamond/Exchange Township,State House,107,LIB,RYAN BOURINSKI,81,27
Northumberland,Diamond/Exchange Township,State House,107,,Write-ins,4,3
Northumberland,Locust Gap Township,Registered Voters,,,,225,
Northumberland,Locust Gap Township,Ballots Cast,,,,156,29
Northumberland,Locust Gap Township,Ballots Cast - Blank,,,,0,0
Northumberland,Locust Gap Township,President,,DEM,Joseph R. Biden,53,19
Northumberland,Locust Gap Township,President,,REP,Donald J. Trump,100,10
Northumberland,Locust Gap Township,President,,LIB,Jo Jorgensen,2,0
Northumberland,Locust Gap Township,President,,,Write-ins,0,0
Northumberland,Locust Gap Township,Attorney General,,DEM,JOSH SHAPIRO,70,22
Northumberland,Locust Gap Township,Attorney General,,REP,HEATHER HEIDELBAUGH,79,7
Northumberland,Locust Gap Township,Attorney General,,LIB,DANIEL WASSMER,4,0
Northumberland,Locust Gap Township,Attorney General,,GRN,RICHARD L WEISS,0,0
Northumberland,Locust Gap Township,Attorney General,,,Write-ins,0,0
Northumberland,Locust Gap Township,Auditor General,,DEM,NINA AHMAD,57,17
Northumberland,Locust Gap Township,Auditor General,,REP,TIMOTHY DEFOOR,87,11
Northumberland,Locust Gap Township,Auditor General,,LIB,JENNIFER MOORE,1,0
Northumberland,Locust Gap Township,Auditor General,,GRN,OLIVIA FAISON,3,0
Northumberland,Locust Gap Township,Auditor General,,,Write-ins,0,0
Northumberland,Locust Gap Township,State Treasurer,,DEM,JOE TORSELLA,62,19
Northumberland,Locust Gap Township,State Treasurer,,REP,STACY L GARRITY,87,10
Northumberland,Locust Gap Township,State Treasurer,,LIB,JOE SOLOSKI,2,0
Northumberland,Locust Gap Township,State Treasurer,,GRN,TIMOTHY RUNKLE,0,0
Northumberland,Locust Gap Township,State Treasurer,,,Write-ins,0,0
Northumberland,Locust Gap Township,U.S. House,9,DEM,GARY WEGMAN,54,18
Northumberland,Locust Gap Township,U.S. House,9,REP,DAN MEUSER,97,10
Northumberland,Locust Gap Township,U.S. House,9,,Write-ins,0,0
Northumberland,Locust Gap Township,State Senate,27,DEM,MICHELLE SIEGEL,47,15
Northumberland,Locust Gap Township,State Senate,27,REP,JOHN R GORDNER,100,13
Northumberland,Locust Gap Township,State Senate,27,,Write-ins,0,0
Northumberland,Locust Gap Township,State House,107,REP,KURT A MASSER,116,18
Northumberland,Locust Gap Township,State House,107,LIB,RYAN BOURINSKI,25,8
Northumberland,Locust Gap Township,State House,107,,Write-ins,1,0
Northumberland,Natalie/Strong Township,Registered Voters,,,,344,
Northumberland,Natalie/Strong Township,Ballots Cast,,,,261,65
Northumberland,Natalie/Strong Township,Ballots Cast - Blank,,,,0,0
Northumberland,Natalie/Strong Township,President,,DEM,Joseph R. Biden,65,34
Northumberland,Natalie/Strong Township,President,,REP,Donald J. Trump,187,30
Northumberland,Natalie/Strong Township,President,,LIB,Jo Jorgensen,6,1
Northumberland,Natalie/Strong Township,President,,,Write-ins,1,0
Northumberland,Natalie/Strong Township,Attorney General,,DEM,JOSH SHAPIRO,94,46
Northumberland,Natalie/Strong Township,Attorney General,,REP,HEATHER HEIDELBAUGH,156,16
Northumberland,Natalie/Strong Township,Attorney General,,LIB,DANIEL WASSMER,7,1
Northumberland,Natalie/Strong Township,Attorney General,,GRN,RICHARD L WEISS,0,0
Northumberland,Natalie/Strong Township,Attorney General,,,Write-ins,0,0
Northumberland,Natalie/Strong Township,Auditor General,,DEM,NINA AHMAD,75,38
Northumberland,Natalie/Strong Township,Auditor General,,REP,TIMOTHY DEFOOR,162,22
Northumberland,Natalie/Strong Township,Auditor General,,LIB,JENNIFER MOORE,14,1
Northumberland,Natalie/Strong Township,Auditor General,,GRN,OLIVIA FAISON,0,0
Northumberland,Natalie/Strong Township,Auditor General,,,Write-ins,0,0
Northumberland,Natalie/Strong Township,State Treasurer,,DEM,JOE TORSELLA,81,38
Northumberland,Natalie/Strong Township,State Treasurer,,REP,STACY L GARRITY,163,24
Northumberland,Natalie/Strong Township,State Treasurer,,LIB,JOE SOLOSKI,8,1
Northumberland,Natalie/Strong Township,State Treasurer,,GRN,TIMOTHY RUNKLE,3,0
Northumberland,Natalie/Strong Township,State Treasurer,,,Write-ins,0,0
Northumberland,Natalie/Strong Township,U.S. House,9,DEM,GARY WEGMAN,74,35
Northumberland,Natalie/Strong Township,U.S. House,9,REP,DAN MEUSER,179,27
Northumberland,Natalie/Strong Township,U.S. House,9,,Write-ins,0,0
Northumberland,Natalie/Strong Township,State Senate,27,DEM,MICHELLE SIEGEL,68,30
Northumberland,Natalie/Strong Township,State Senate,27,REP,JOHN R GORDNER,184,32
Northumberland,Natalie/Strong Township,State Senate,27,,Write-ins,0,0
Northumberland,Natalie/Strong Township,State House,107,REP,KURT A MASSER,208,46
Northumberland,Natalie/Strong Township,State House,107,LIB,RYAN BOURINSKI,40,10
Northumberland,Natalie/Strong Township,State House,107,,Write-ins,1,1
Northumberland,West Township,Registered Voters,,,,535,
Northumberland,West Township,Ballots Cast,,,,414,109
Northumberland,West Township,Ballots Cast - Blank,,,,0,0
Northumberland,West Township,President,,DEM,Joseph R. Biden,159,82
Northumberland,West Township,President,,REP,Donald J. Trump,252,27
Northumberland,West Township,President,,LIB,Jo Jorgensen,0,0
Northumberland,West Township,President,,,Write-ins,0,0
Northumberland,West Township,Attorney General,,DEM,JOSH SHAPIRO,175,79
Northumberland,West Township,Attorney General,,REP,HEATHER HEIDELBAUGH,215,28
Northumberland,West Township,Attorney General,,LIB,DANIEL WASSMER,4,0
Northumberland,West Township,Attorney General,,GRN,RICHARD L WEISS,2,0
Northumberland,West Township,Attorney General,,,Write-ins,0,0
Northumberland,West Township,Auditor General,,DEM,NINA AHMAD,160,77
Northumberland,West Township,Auditor General,,REP,TIMOTHY DEFOOR,220,29
Northumberland,West Township,Auditor General,,LIB,JENNIFER MOORE,9,2
Northumberland,West Township,Auditor General,,GRN,OLIVIA FAISON,1,0
Northumberland,West Township,Auditor General,,,Write-ins,0,0
Northumberland,West Township,State Treasurer,,DEM,JOE TORSELLA,165,76
Northumberland,West Township,State Treasurer,,REP,STACY L GARRITY,220,28
Northumberland,West Township,State Treasurer,,LIB,JOE SOLOSKI,7,3
Northumberland,West Township,State Treasurer,,GRN,TIMOTHY RUNKLE,2,0
Northumberland,West Township,State Treasurer,,,Write-ins,0,0
Northumberland,West Township,U.S. House,9,DEM,GARY WEGMAN,146,75
Northumberland,West Township,U.S. House,9,REP,DAN MEUSER,253,32
Northumberland,West Township,U.S. House,9,,Write-ins,1,1
Northumberland,West Township,State Senate,27,DEM,MICHELLE SIEGEL,128,64
Northumberland,West Township,State Senate,27,REP,JOHN R GORDNER,274,43
Northumberland,West Township,State Senate,27,,Write-ins,0,0
Northumberland,West Township,State House,107,REP,KURT A MASSER,318,66
Northumberland,West Township,State House,107,LIB,RYAN BOURINSKI,62,28
Northumberland,West Township,State House,107,,Write-ins,1,1
Northumberland,Ralpho Township 1,Registered Voters,,,,2680,
Northumberland,Ralpho Township 1,Ballots Cast,,,,2140,617
Northumberland,Ralpho Township 1,Ballots Cast - Blank,,,,0,0
Northumberland,Ralpho Township 1,President,,DEM,Joseph R. Biden,651,354
Northumberland,Ralpho Township 1,President,,REP,Donald J. Trump,1455,252
Northumberland,Ralpho Township 1,President,,LIB,Jo Jorgensen,24,7
Northumberland,Ralpho Township 1,President,,,Write-ins,5,1
Northumberland,Ralpho Township 1,Attorney General,,DEM,JOSH SHAPIRO,696,361
Northumberland,Ralpho Township 1,Attorney General,,REP,HEATHER HEIDELBAUGH,1338,227
Northumberland,Ralpho Township 1,Attorney General,,LIB,DANIEL WASSMER,40,5
Northumberland,Ralpho Township 1,Attorney General,,GRN,RICHARD L WEISS,22,11
Northumberland,Ralpho Township 1,Attorney General,,,Write-ins,0,0
Northumberland,Ralpho Township 1,Auditor General,,DEM,NINA AHMAD,555,318
Northumberland,Ralpho Township 1,Auditor General,,REP,TIMOTHY DEFOOR,1429,254
Northumberland,Ralpho Township 1,Auditor General,,LIB,JENNIFER MOORE,76,21
Northumberland,Ralpho Township 1,Auditor General,,GRN,OLIVIA FAISON,16,7
Northumberland,Ralpho Township 1,Auditor General,,,Write-ins,1,0
Northumberland,Ralpho Township 1,State Treasurer,,DEM,JOE TORSELLA,613,345
Northumberland,Ralpho Township 1,State Treasurer,,REP,STACY L GARRITY,1399,239
Northumberland,Ralpho Township 1,State Treasurer,,LIB,JOE SOLOSKI,57,12
Northumberland,Ralpho Township 1,State Treasurer,,GRN,TIMOTHY RUNKLE,18,7
Northumberland,Ralpho Township 1,State Treasurer,,,Write-ins,1,0
Northumberland,Ralpho Township 1,U.S. House,9,DEM,GARY WEGMAN,546,316
Northumberland,Ralpho Township 1,U.S. House,9,REP,DAN MEUSER,1549,287
Northumberland,Ralpho Township 1,U.S. House,9,,Write-ins,0,0
Northumberland,Ralpho Township 1,State Senate,27,DEM,MICHELLE SIEGEL,521,298
Northumberland,Ralpho Township 1,State Senate,27,REP,JOHN R GORDNER,1573,309
Northumberland,Ralpho Township 1,State Senate,27,,Write-ins,0,0
Northumberland,Ralpho Township 1,State House,107,REP,KURT A MASSER,1773,434
Northumberland,Ralpho Township 1,State House,107,LIB,RYAN BOURINSKI,285,145
Northumberland,Ralpho Township 1,State House,107,,Write-ins,13,6
Northumberland,Ralpho Township 2,Registered Voters,,,,592,
Northumberland,Ralpho Township 2,Ballots Cast,,,,493,88
Northumberland,Ralpho Township 2,Ballots Cast - Blank,,,,0,0
Northumberland,Ralpho Township 2,President,,DEM,Joseph R. Biden,141,50
Northumberland,Ralpho Township 2,President,,REP,Donald J. Trump,340,38
Northumberland,Ralpho Township 2,President,,LIB,Jo Jorgensen,9,0
Northumberland,Ralpho Township 2,President,,,Write-ins,1,0
Northumberland,Ralpho Township 2,Attorney General,,DEM,JOSH SHAPIRO,147,50
Northumberland,Ralpho Township 2,Attorney General,,REP,HEATHER HEIDELBAUGH,318,33
Northumberland,Ralpho Township 2,Attorney General,,LIB,DANIEL WASSMER,12,1
Northumberland,Ralpho Township 2,Attorney General,,GRN,RICHARD L WEISS,8,0
Northumberland,Ralpho Township 2,Attorney General,,,Write-ins,0,0
Northumberland,Ralpho Township 2,Auditor General,,DEM,NINA AHMAD,121,43
Northumberland,Ralpho Township 2,Auditor General,,REP,TIMOTHY DEFOOR,321,34
Northumberland,Ralpho Township 2,Auditor General,,LIB,JENNIFER MOORE,23,3
Northumberland,Ralpho Township 2,Auditor General,,GRN,OLIVIA FAISON,10,2
Northumberland,Ralpho Township 2,Auditor General,,,Write-ins,1,1
Northumberland,Ralpho Township 2,State Treasurer,,DEM,JOE TORSELLA,129,43
Northumberland,Ralpho Township 2,State Treasurer,,REP,STACY L GARRITY,327,35
Northumberland,Ralpho Township 2,State Treasurer,,LIB,JOE SOLOSKI,19,3
Northumberland,Ralpho Township 2,State Treasurer,,GRN,TIMOTHY RUNKLE,4,2
Northumberland,Ralpho Township 2,State Treasurer,,,Write-ins,0,0
Northumberland,Ralpho Township 2,U.S. House,9,DEM,GARY WEGMAN,126,49
Northumberland,Ralpho Township 2,U.S. House,9,REP,DAN MEUSER,357,36
Northumberland,Ralpho Township 2,U.S. House,9,,Write-ins,1,1
Northumberland,Ralpho Township 2,State Senate,27,DEM,MICHELLE SIEGEL,113,42
Northumberland,Ralpho Township 2,State Senate,27,REP,JOHN R GORDNER,365,42
Northumberland,Ralpho Township 2,State Senate,27,,Write-ins,1,0
Northumberland,Ralpho Township 2,State House,107,REP,KURT A MASSER,374,49
Northumberland,Ralpho Township 2,State House,107,LIB,RYAN BOURINSKI,96,28
Northumberland,Ralpho Township 2,State House,107,,Write-ins,4,2
Northumberland,Shamokin City 1,Registered Voters,,,,713,
Northumberland,Shamokin City 1,Ballots Cast,,,,447,84
Northumberland,Shamokin City 1,Ballots Cast - Blank,,,,0,0
Northumberland,Shamokin City 1,President,,DEM,Joseph R. Biden,135,51
Northumberland,Shamokin City 1,President,,REP,Donald J. Trump,305,31
Northumberland,Shamokin City 1,President,,LIB,Jo Jorgensen,5,2
Northumberland,Shamokin City 1,President,,,Write-ins,1,0
Northumberland,Shamokin City 1,Attorney General,,DEM,JOSH SHAPIRO,157,52
Northumberland,Shamokin City 1,Attorney General,,REP,HEATHER HEIDELBAUGH,257,25
Northumberland,Shamokin City 1,Attorney General,,LIB,DANIEL WASSMER,13,4
Northumberland,Shamokin City 1,Attorney General,,GRN,RICHARD L WEISS,9,0
Northumberland,Shamokin City 1,Attorney General,,,Write-ins,0,0
Northumberland,Shamokin City 1,Auditor General,,DEM,NINA AHMAD,123,44
Northumberland,Shamokin City 1,Auditor General,,REP,TIMOTHY DEFOOR,281,28
Northumberland,Shamokin City 1,Auditor General,,LIB,JENNIFER MOORE,21,5
Northumberland,Shamokin City 1,Auditor General,,GRN,OLIVIA FAISON,6,1
Northumberland,Shamokin City 1,Auditor General,,,Write-ins,0,0
Northumberland,Shamokin City 1,State Treasurer,,DEM,JOE TORSELLA,144,49
Northumberland,Shamokin City 1,State Treasurer,,REP,STACY L GARRITY,272,28
Northumberland,Shamokin City 1,State Treasurer,,LIB,JOE SOLOSKI,14,3
Northumberland,Shamokin City 1,State Treasurer,,GRN,TIMOTHY RUNKLE,5,1
Northumberland,Shamokin City 1,State Treasurer,,,Write-ins,0,0
Northumberland,Shamokin City 1,U.S. House,9,DEM,GARY WEGMAN,129,45
Northumberland,Shamokin City 1,U.S. House,9,REP,DAN MEUSER,300,32
Northumberland,Shamokin City 1,U.S. House,9,,Write-ins,0,0
Northumberland,Shamokin City 1,State Senate,27,DEM,MICHELLE SIEGEL,122,44
Northumberland,Shamokin City 1,State Senate,27,REP,JOHN R GORDNER,306,36
Northumberland,Shamokin City 1,State Senate,27,,Write-ins,0,0
Northumberland,Shamokin City 1,State House,107,REP,KURT A MASSER,356,52
Northumberland,Shamokin City 1,State House,107,LIB,RYAN BOURINSKI,64,19
Northumberland,Shamokin City 1,State House,107,,Write-ins,3,2
Northumberland,Shamokin City 2,Registered Voters,,,,449,
Northumberland,Shamokin City 2,Ballots Cast,,,,285,65
Northumberland,Shamokin City 2,Ballots Cast - Blank,,,,0,0
Northumberland,Shamokin City 2,President,,DEM,Joseph R. Biden,80,44
Northumberland,Shamokin City 2,President,,REP,Donald J. Trump,198,19
Northumberland,Shamokin City 2,President,,LIB,Jo Jorgensen,4,0
Northumberland,Shamokin City 2,President,,,Write-ins,2,1
Northumberland,Shamokin City 2,Attorney General,,DEM,JOSH SHAPIRO,91,46
Northumberland,Shamokin City 2,Attorney General,,REP,HEATHER HEIDELBAUGH,166,15
Northumberland,Shamokin City 2,Attorney General,,LIB,DANIEL WASSMER,12,1
