county,precinct,office,district,party,candidate,total,election day,mail votes,provisional votes
Juniata,TURBETT,U.S. House,15TH,DEM,LEE GRIFFIN,81,51,30,0
Juniata,TURBETT,U.S. House,15TH,REP,FRED KELLER,423,387,36,0
Juniata,TURBETT,U.S. House,15TH,Write In,Write-In Totals,2,2,0,0
Juniata,TURBETT,State House,82ND,REP,JOHN HERSHEY,467,415,52,0
Juniata,TURBETT,State House,82ND,Write In,Write-In Totals,13,8,5,0
Juniata,TUSCARORA/E. WATERFORD,President,,DEM,JOSEPH R. BIDEN,20,14,5,1
Juniata,TUSCARORA/E. WATERFORD,President,,REP,DONALD J. TRUMP,90,83,6,1
Juniata,TUSCARORA/E. WATERFORD,President,,LIB,JO JORGENSEN,0,0,0,0
Juniata,TUSCARORA/E. WATERFORD,President,,Write In,Write-In Totals,0,0,0,0
Juniata,TUSCARORA/E. WATERFORD,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,29,21,7,1
Juniata,TUSCARORA/E. WATERFORD,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,79,74,4,1
Juniata,TUSCARORA/E. WATERFORD,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,0,0,0,0
Juniata,TUSCARORA/E. WATERFORD,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,TUSCARORA/E. WATERFORD,AUDITOR GENERAL,,DEM,NINA AHMAD,19,13,5,1
Juniata,TUSCARORA/E. WATERFORD,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,83,76,6,1
Juniata,TUSCARORA/E. WATERFORD,AUDITOR GENERAL,,LIB,JENNIFER MOORE,6,6,0,0
Juniata,TUSCARORA/E. WATERFORD,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,TUSCARORA/E. WATERFORD,STATE TREASURER,,DEM,JOE TORSELLA,24,18,5,1
Juniata,TUSCARORA/E. WATERFORD,STATE TREASURER,,REP,STACY L. GARRITY,81,74,6,1
Juniata,TUSCARORA/E. WATERFORD,STATE TREASURER,,LIB,JOE SOLOSKI,1,1,0,0
Juniata,TUSCARORA/E. WATERFORD,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,TUSCARORA/E. WATERFORD,U.S. House,15TH,DEM,LEE GRIFFIN,19,13,5,1
Juniata,TUSCARORA/E. WATERFORD,U.S. House,15TH,REP,FRED KELLER,92,85,6,1
Juniata,TUSCARORA/E. WATERFORD,U.S. House,15TH,Write In,Write-In Totals,0,0,0,0
Juniata,TUSCARORA/E. WATERFORD,State House,82ND,REP,JOHN HERSHEY,98,89,8,1
Juniata,TUSCARORA/E. WATERFORD,State House,82ND,Write In,Write-In Totals,0,0,0,0
Juniata,TUSCARORA/TUSC,President,,DEM,JOSEPH R. BIDEN,71,35,36,0
Juniata,TUSCARORA/TUSC,President,,REP,DONALD J. TRUMP,395,341,52,2
Juniata,TUSCARORA/TUSC,President,,LIB,JO JORGENSEN,4,4,0,0
Juniata,TUSCARORA/TUSC,President,,Write In,Write-In Totals,1,1,0,0
Juniata,TUSCARORA/TUSC,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,84,48,36,0
Juniata,TUSCARORA/TUSC,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,368,316,50,2
Juniata,TUSCARORA/TUSC,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,9,8,1,0
Juniata,TUSCARORA/TUSC,ATTORNEY GENERAL,,Write In,Write-In Totals,1,1,0,0
Juniata,TUSCARORA/TUSC,AUDITOR GENERAL,,DEM,NINA AHMAD,68,36,32,0
Juniata,TUSCARORA/TUSC,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,371,317,53,1
Juniata,TUSCARORA/TUSC,AUDITOR GENERAL,,LIB,JENNIFER MOORE,17,15,1,1
Juniata,TUSCARORA/TUSC,AUDITOR GENERAL,,Write In,Write-In Totals,1,1,0,0
Juniata,TUSCARORA/TUSC,STATE TREASURER,,DEM,JOE TORSELLA,78,44,34,0
Juniata,TUSCARORA/TUSC,STATE TREASURER,,REP,STACY L. GARRITY,375,322,51,2
Juniata,TUSCARORA/TUSC,STATE TREASURER,,LIB,JOE SOLOSKI,3,3,0,0
Juniata,TUSCARORA/TUSC,STATE TREASURER,,Write In,Write-In Totals,1,1,0,0
Juniata,TUSCARORA/TUSC,U.S. House,15TH,DEM,LEE GRIFFIN,73,41,32,0
Juniata,TUSCARORA/TUSC,U.S. House,15TH,REP,FRED KELLER,389,332,55,2
Juniata,TUSCARORA/TUSC,U.S. House,15TH,Write In,Write-In Totals,1,1,0,0
Juniata,TUSCARORA/TUSC,State House,82ND,REP,JOHN HERSHEY,415,344,69,2
Juniata,TUSCARORA/TUSC,State House,82ND,Write In,Write-In Totals,11,6,5,0
Juniata,WALKER,President,,DEM,JOSEPH R. BIDEN,217,107,109,1
Juniata,WALKER,President,,REP,DONALD J. TRUMP,998,900,93,5
Juniata,WALKER,President,,LIB,JO JORGENSEN,10,7,3,0
Juniata,WALKER,President,,Write In,Write-In Totals,2,0,2,0
Juniata,WALKER,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,260,149,109,2
Juniata,WALKER,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,919,825,91,3
Juniata,WALKER,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,17,14,3,0
Juniata,WALKER,ATTORNEY GENERAL,,Write In,Write-In Totals,1,1,0,0
Juniata,WALKER,AUDITOR GENERAL,,DEM,NINA AHMAD,203,101,101,1
Juniata,WALKER,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,949,847,98,4
Juniata,WALKER,AUDITOR GENERAL,,LIB,JENNIFER MOORE,36,32,4,0
Juniata,WALKER,AUDITOR GENERAL,,Write In,Write-In Totals,1,1,0,0
Juniata,WALKER,STATE TREASURER,,DEM,JOE TORSELLA,217,116,99,2
Juniata,WALKER,STATE TREASURER,,REP,STACY L. GARRITY,958,856,98,4
Juniata,WALKER,STATE TREASURER,,LIB,JOE SOLOSKI,16,12,4,0
Juniata,WALKER,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,WALKER,U.S. House,15TH,DEM,LEE GRIFFIN,209,106,101,2
Juniata,WALKER,U.S. House,15TH,REP,FRED KELLER,997,890,103,4
Juniata,WALKER,U.S. House,15TH,Write In,Write-In Totals,0,0,0,0
Juniata,WALKER,State House,82ND,REP,JOHN HERSHEY,"1,112",946,161,5
Juniata,WALKER,State House,82ND,Write In,Write-In Totals,26,13,13,0
