county,party,office,district,candidate,precinct,votes
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,LEHMAN TWP #1,48
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,LEHMAN TWP #1,103
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,LEHMAN TWP #2,56
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,LEHMAN TWP #2,77
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,LEHMAN TWP #2,64
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,LEHMAN TWP #2,33
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,LEHMAN TWP #2,74
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,LEHMAN TWP #2,56
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LEHMAN TWP #2,44
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,LEHMAN TWP #2,43
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,LEHMAN TWP #2,101
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,MATAMORAS  BORO # 1,23
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,MATAMORAS  BORO # 1,38
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,MATAMORAS  BORO # 1,29
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,MATAMORAS  BORO # 1,10
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,MATAMORAS  BORO # 1,53
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,MATAMORAS  BORO # 1,21
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",MATAMORAS  BORO # 1,11
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,MATAMORAS  BORO # 1,20
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,MATAMORAS  BORO # 1,18
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,MATAMORAS  BORO # 2,21
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,MATAMORAS  BORO # 2,32
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,MATAMORAS  BORO # 2,28
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,MATAMORAS  BORO # 2,17
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,MATAMORAS  BORO # 2,41
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,MATAMORAS  BORO # 2,37
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",MATAMORAS  BORO # 2,18
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,MATAMORAS  BORO # 2,17
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,MATAMORAS  BORO # 2,23
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,MILFORD BORO,21
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,MILFORD BORO,28
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,MILFORD BORO,28
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,MILFORD BORO,8
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,MILFORD BORO,25
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,MILFORD BORO,21
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",MILFORD BORO,18
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,MILFORD BORO,15
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,MILFORD BORO,22
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,MILFORD TWP,46
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,MILFORD TWP,59
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,MILFORD TWP,42
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,MILFORD TWP,33
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,MILFORD TWP,72
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,MILFORD TWP,64
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",MILFORD TWP,26
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,MILFORD TWP,44
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,MILFORD TWP,41
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,PALMYRA TWP,106
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,PALMYRA TWP,149
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,PALMYRA TWP,144
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,PALMYRA TWP,68
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,PALMYRA TWP,169
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,PALMYRA TWP,123
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",PALMYRA TWP,96
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,PALMYRA TWP,103
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,PALMYRA TWP,114
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,PORTER TWP,9
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,PORTER TWP,24
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,PORTER TWP,15
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,PORTER TWP,9
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,PORTER TWP,29
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,PORTER TWP,16
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",PORTER TWP,6
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,PORTER TWP,10
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,PORTER TWP,14
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,SHOHOLA TWP,58
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,SHOHOLA TWP,85
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,SHOHOLA TWP,80
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,SHOHOLA TWP,47
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,SHOHOLA TWP,106
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,SHOHOLA TWP,88
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",SHOHOLA TWP,54
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,SHOHOLA TWP,49
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,SHOHOLA TWP,76
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,WESTFALL TWP,67
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,WESTFALL TWP,93
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,WESTFALL TWP,78
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,WESTFALL TWP,29
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,WESTFALL TWP,127
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,WESTFALL TWP,74
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",WESTFALL TWP,40
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,WESTFALL TWP,46
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,WESTFALL TWP,50
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,BLOOMING GROVE TWP,198
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,BLOOMING GROVE TWP,258
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,BLOOMING GROVE TWP,227
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",BLOOMING GROVE TWP,190
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,DELAWARE TWP #1,122
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,DELAWARE TWP #1,161
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,DELAWARE TWP #1,145
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DELAWARE TWP #1,95
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,DELAWARE TWP #2,139
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,DELAWARE TWP #2,169
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,DELAWARE TWP #2,131
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DELAWARE TWP #2,120
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,DINGMAN TWP #1,263
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,DINGMAN TWP #1,297
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,DINGMAN TWP #1,265
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DINGMAN TWP #1,225
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,DINGMAN TWP #2,208
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,DINGMAN TWP #2,268
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,DINGMAN TWP #2,235
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DINGMAN TWP #2,176
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,GREENE TWP,192
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,GREENE TWP,222
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,GREENE TWP,207
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",GREENE TWP,160
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,LACKAWAXEN TWP #1,125
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,LACKAWAXEN TWP #1,143
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,LACKAWAXEN TWP #1,105
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LACKAWAXEN TWP #1,119
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,LACKAWAXEN TWP #2,158
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,LACKAWAXEN TWP #2,183
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,LACKAWAXEN TWP #2,171
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LACKAWAXEN TWP #2,112
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,LEHMAN TWP #1,109
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,LEHMAN TWP #1,119
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,LEHMAN TWP #1,118
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LEHMAN TWP #1,92
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,LEHMAN TWP #2,121
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,LEHMAN TWP #2,117
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,LEHMAN TWP #2,111
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LEHMAN TWP #2,85
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,MATAMORAS  BORO # 1,43
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,MATAMORAS  BORO # 1,52
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,MATAMORAS  BORO # 1,54
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",MATAMORAS  BORO # 1,38
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,MATAMORAS  BORO # 2,54
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,MATAMORAS  BORO # 2,59
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,MATAMORAS  BORO # 2,50
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",MATAMORAS  BORO # 2,41
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,MILFORD BORO,44
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,MILFORD BORO,47
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,MILFORD BORO,44
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",MILFORD BORO,32
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,MILFORD TWP,79
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,MILFORD TWP,101
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,MILFORD TWP,85
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",MILFORD TWP,67
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,PALMYRA TWP,229
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,PALMYRA TWP,246
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,PALMYRA TWP,205
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",PALMYRA TWP,192
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,PORTER TWP,26
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,PORTER TWP,33
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,PORTER TWP,31
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",PORTER TWP,19
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,SHOHOLA TWP,119
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,SHOHOLA TWP,152
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,SHOHOLA TWP,128
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",SHOHOLA TWP,114
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Mary Noldy,WESTFALL TWP,119
Pike,R,R - ALT DELEGATE NATL CONVENTION,,James Paul Hutchison,WESTFALL TWP,152
Pike,R,R - ALT DELEGATE NATL CONVENTION,,Thomas C. Whitehead,WESTFALL TWP,128
Pike,R,R - ALT DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",WESTFALL TWP,101
Pike,D,Attorney General,,Josh Shapiro,BLOOMING GROVE TWP,363
Pike,D,Attorney General,,Josh Shapiro,DELAWARE TWP #1,205
Pike,D,Attorney General,,Josh Shapiro,DELAWARE TWP #2,183
Pike,D,Attorney General,,Josh Shapiro,DINGMAN TWP #1,426
Pike,D,Attorney General,,Josh Shapiro,DINGMAN TWP #2,341
Pike,D,Attorney General,,Josh Shapiro,GREENE TWP,226
Pike,D,Attorney General,,Josh Shapiro,LACKAWAXEN TWP #1,127
Pike,D,Attorney General,,Josh Shapiro,LACKAWAXEN TWP #2,137
Pike,D,Attorney General,,Josh Shapiro,LEHMAN TWP #1,307
Pike,D,Attorney General,,Josh Shapiro,LEHMAN TWP #2,414
Pike,D,Attorney General,,Josh Shapiro,MATAMORAS  BORO # 1,65
Pike,D,Attorney General,,Josh Shapiro,MATAMORAS  BORO # 2,90
Pike,D,Attorney General,,Josh Shapiro,MILFORD BORO,96
Pike,D,Attorney General,,Josh Shapiro,MILFORD TWP,131
Pike,D,Attorney General,,Josh Shapiro,PALMYRA TWP,260
Pike,D,Attorney General,,Josh Shapiro,PORTER TWP,31
Pike,D,Attorney General,,Josh Shapiro,SHOHOLA TWP,191
Pike,D,Attorney General,,Josh Shapiro,WESTFALL TWP,179
Pike,D,Auditor General,,H. Scott Conklin,BLOOMING GROVE TWP,19
Pike,D,Auditor General,,Michael Lamb,BLOOMING GROVE TWP,36
Pike,D,Auditor General,,Tracie Fountain,BLOOMING GROVE TWP,33
Pike,D,Auditor General,,Rose Rosie Marie Davis,BLOOMING GROVE TWP,153
Pike,D,Auditor General,,Nina Ahmad,BLOOMING GROVE TWP,75
Pike,D,Auditor General,,Christina M. Hartman,BLOOMING GROVE TWP,48
Pike,D,Auditor General,,H. Scott Conklin,DELAWARE TWP #1,14
Pike,D,Auditor General,,Michael Lamb,DELAWARE TWP #1,24
Pike,D,Auditor General,,Tracie Fountain,DELAWARE TWP #1,22
Pike,D,Auditor General,,Rose Rosie Marie Davis,DELAWARE TWP #1,72
Pike,D,Auditor General,,Nina Ahmad,DELAWARE TWP #1,43
Pike,D,Auditor General,,Christina M. Hartman,DELAWARE TWP #1,41
Pike,D,Auditor General,,H. Scott Conklin,DELAWARE TWP #2,12
Pike,D,Auditor General,,Michael Lamb,DELAWARE TWP #2,25
Pike,D,Auditor General,,Tracie Fountain,DELAWARE TWP #2,15
Pike,D,Auditor General,,Rose Rosie Marie Davis,DELAWARE TWP #2,84
Pike,D,Auditor General,,Nina Ahmad,DELAWARE TWP #2,29
Pike,D,Auditor General,,Christina M. Hartman,DELAWARE TWP #2,25
Pike,D,Auditor General,,H. Scott Conklin,DINGMAN TWP #1,40
Pike,D,Auditor General,,Michael Lamb,DINGMAN TWP #1,34
Pike,D,Auditor General,,Tracie Fountain,DINGMAN TWP #1,43
Pike,D,Auditor General,,Rose Rosie Marie Davis,DINGMAN TWP #1,146
Pike,D,Auditor General,,Nina Ahmad,DINGMAN TWP #1,99
Pike,D,Auditor General,,Christina M. Hartman,DINGMAN TWP #1,57
Pike,D,Auditor General,,H. Scott Conklin,DINGMAN TWP #2,24
Pike,D,Auditor General,,Michael Lamb,DINGMAN TWP #2,18
Pike,D,Auditor General,,Tracie Fountain,DINGMAN TWP #2,34
Pike,D,Auditor General,,Rose Rosie Marie Davis,DINGMAN TWP #2,120
Pike,D,Auditor General,,Nina Ahmad,DINGMAN TWP #2,95
Pike,D,Auditor General,,Christina M. Hartman,DINGMAN TWP #2,62
Pike,D,Auditor General,,H. Scott Conklin,GREENE TWP,17
Pike,D,Auditor General,,Michael Lamb,GREENE TWP,30
Pike,D,Auditor General,,Tracie Fountain,GREENE TWP,15
Pike,D,Auditor General,,Rose Rosie Marie Davis,GREENE TWP,84
Pike,D,Auditor General,,Nina Ahmad,GREENE TWP,53
Pike,D,Auditor General,,Christina M. Hartman,GREENE TWP,37
Pike,D,Auditor General,,H. Scott Conklin,LACKAWAXEN TWP #1,7
Pike,D,Auditor General,,Michael Lamb,LACKAWAXEN TWP #1,20
Pike,D,Auditor General,,Tracie Fountain,LACKAWAXEN TWP #1,16
Pike,D,Auditor General,,Rose Rosie Marie Davis,LACKAWAXEN TWP #1,35
Pike,D,Auditor General,,Nina Ahmad,LACKAWAXEN TWP #1,37
Pike,D,Auditor General,,Christina M. Hartman,LACKAWAXEN TWP #1,16
Pike,D,Auditor General,,H. Scott Conklin,LACKAWAXEN TWP #2,14
Pike,D,Auditor General,,Michael Lamb,LACKAWAXEN TWP #2,16
Pike,D,Auditor General,,Tracie Fountain,LACKAWAXEN TWP #2,15
Pike,D,Auditor General,,Rose Rosie Marie Davis,LACKAWAXEN TWP #2,39
Pike,D,Auditor General,,Nina Ahmad,LACKAWAXEN TWP #2,44
Pike,D,Auditor General,,Christina M. Hartman,LACKAWAXEN TWP #2,18
Pike,D,Auditor General,,H. Scott Conklin,LEHMAN TWP #1,15
Pike,D,Auditor General,,Michael Lamb,LEHMAN TWP #1,17
Pike,D,Auditor General,,Tracie Fountain,LEHMAN TWP #1,22
Pike,D,Auditor General,,Rose Rosie Marie Davis,LEHMAN TWP #1,229
Pike,D,Auditor General,,Nina Ahmad,LEHMAN TWP #1,43
Pike,D,Auditor General,,Christina M. Hartman,LEHMAN TWP #1,18
Pike,D,Auditor General,,H. Scott Conklin,LEHMAN TWP #2,19
Pike,D,Auditor General,,Michael Lamb,LEHMAN TWP #2,19
Pike,D,Auditor General,,Tracie Fountain,LEHMAN TWP #2,30
Pike,D,Auditor General,,Rose Rosie Marie Davis,LEHMAN TWP #2,285
Pike,D,Auditor General,,Nina Ahmad,LEHMAN TWP #2,80
Pike,D,Auditor General,,Christina M. Hartman,LEHMAN TWP #2,20
Pike,D,Auditor General,,H. Scott Conklin,MATAMORAS  BORO # 1,3
Pike,D,Auditor General,,Michael Lamb,MATAMORAS  BORO # 1,4
Pike,D,Auditor General,,Tracie Fountain,MATAMORAS  BORO # 1,3
Pike,D,Auditor General,,Rose Rosie Marie Davis,MATAMORAS  BORO # 1,33
Pike,D,Auditor General,,Nina Ahmad,MATAMORAS  BORO # 1,14
Pike,D,Auditor General,,Christina M. Hartman,MATAMORAS  BORO # 1,14
Pike,D,Auditor General,,H. Scott Conklin,MATAMORAS  BORO # 2,4
Pike,D,Auditor General,,Michael Lamb,MATAMORAS  BORO # 2,12
Pike,D,Auditor General,,Tracie Fountain,MATAMORAS  BORO # 2,14
Pike,D,Auditor General,,Rose Rosie Marie Davis,MATAMORAS  BORO # 2,29
Pike,D,Auditor General,,Nina Ahmad,MATAMORAS  BORO # 2,24
Pike,D,Auditor General,,Christina M. Hartman,MATAMORAS  BORO # 2,14
Pike,D,Auditor General,,H. Scott Conklin,MILFORD BORO,6
Pike,D,Auditor General,,Michael Lamb,MILFORD BORO,13
Pike,D,Auditor General,,Tracie Fountain,MILFORD BORO,14
Pike,D,Auditor General,,Rose Rosie Marie Davis,MILFORD BORO,32
Pike,D,Auditor General,,Nina Ahmad,MILFORD BORO,20
Pike,D,Auditor General,,Christina M. Hartman,MILFORD BORO,11
Pike,D,Auditor General,,H. Scott Conklin,MILFORD TWP,14
Pike,D,Auditor General,,Michael Lamb,MILFORD TWP,8
Pike,D,Auditor General,,Tracie Fountain,MILFORD TWP,11
Pike,D,Auditor General,,Rose Rosie Marie Davis,MILFORD TWP,43
Pike,D,Auditor General,,Nina Ahmad,MILFORD TWP,41
Pike,D,Auditor General,,Christina M. Hartman,MILFORD TWP,12
Pike,D,Auditor General,,H. Scott Conklin,PALMYRA TWP,23
Pike,D,Auditor General,,Michael Lamb,PALMYRA TWP,28
Pike,D,Auditor General,,Tracie Fountain,PALMYRA TWP,28
Pike,D,Auditor General,,Rose Rosie Marie Davis,PALMYRA TWP,113
Pike,D,Auditor General,,Nina Ahmad,PALMYRA TWP,46
Pike,D,Auditor General,,Christina M. Hartman,PALMYRA TWP,32
Pike,D,Auditor General,,H. Scott Conklin,PORTER TWP,4
Pike,D,Auditor General,,Michael Lamb,PORTER TWP,0
Pike,D,Auditor General,,Tracie Fountain,PORTER TWP,0
Pike,D,Auditor General,,Rose Rosie Marie Davis,PORTER TWP,17
Pike,D,Auditor General,,Nina Ahmad,PORTER TWP,4
Pike,D,Auditor General,,Christina M. Hartman,PORTER TWP,5
Pike,D,Auditor General,,H. Scott Conklin,SHOHOLA TWP,14
Pike,D,Auditor General,,Michael Lamb,SHOHOLA TWP,19
Pike,D,Auditor General,,Tracie Fountain,SHOHOLA TWP,32
Pike,D,Auditor General,,Rose Rosie Marie Davis,SHOHOLA TWP,59
Pike,D,Auditor General,,Nina Ahmad,SHOHOLA TWP,44
Pike,D,Auditor General,,Christina M. Hartman,SHOHOLA TWP,28
Pike,D,Auditor General,,H. Scott Conklin,WESTFALL TWP,17
Pike,D,Auditor General,,Michael Lamb,WESTFALL TWP,10
Pike,D,Auditor General,,Tracie Fountain,WESTFALL TWP,24
Pike,D,Auditor General,,Rose Rosie Marie Davis,WESTFALL TWP,60
Pike,D,Auditor General,,Nina Ahmad,WESTFALL TWP,35
Pike,D,Auditor General,,Christina M. Hartman,WESTFALL TWP,42
Pike,D,State Treasurer,,Joe Torsella,BLOOMING GROVE TWP,369
Pike,D,State Treasurer,,Joe Torsella,DELAWARE TWP #1,200
Pike,D,State Treasurer,,Joe Torsella,DELAWARE TWP #2,182
Pike,D,State Treasurer,,Joe Torsella,DINGMAN TWP #1,423
Pike,D,State Treasurer,,Joe Torsella,DINGMAN TWP #2,343
Pike,D,State Treasurer,,Joe Torsella,GREENE TWP,221
Pike,D,State Treasurer,,Joe Torsella,LACKAWAXEN TWP #1,131
Pike,D,State Treasurer,,Joe Torsella,LACKAWAXEN TWP #2,136
Pike,D,State Treasurer,,Joe Torsella,LEHMAN TWP #1,309
Pike,D,State Treasurer,,Joe Torsella,LEHMAN TWP #2,406
Pike,D,State Treasurer,,Joe Torsella,MATAMORAS  BORO # 1,67
Pike,D,State Treasurer,,Joe Torsella,MATAMORAS  BORO # 2,94
Pike,D,State Treasurer,,Joe Torsella,MILFORD BORO,93
Pike,D,State Treasurer,,Joe Torsella,MILFORD TWP,126
Pike,D,State Treasurer,,Joe Torsella,PALMYRA TWP,267
Pike,D,State Treasurer,,Joe Torsella,PORTER TWP,31
Pike,D,State Treasurer,,Joe Torsella,SHOHOLA TWP,190
Pike,D,State Treasurer,,Joe Torsella,WESTFALL TWP,183
Pike,D,U.S. House,8,Matt Cartwright,BLOOMING GROVE TWP,400
Pike,D,U.S. House,8,Matt Cartwright,DELAWARE TWP #1,214
Pike,D,U.S. House,8,Matt Cartwright,DELAWARE TWP #2,195
Pike,D,U.S. House,8,Matt Cartwright,DINGMAN TWP #1,447
Pike,D,U.S. House,8,Matt Cartwright,DINGMAN TWP #2,371
Pike,D,U.S. House,8,Matt Cartwright,GREENE TWP,239
Pike,D,U.S. House,8,Matt Cartwright,LACKAWAXEN TWP #1,136
Pike,D,U.S. House,8,Matt Cartwright,LACKAWAXEN TWP #2,149
Pike,D,U.S. House,8,Matt Cartwright,LEHMAN TWP #1,323
Pike,D,U.S. House,8,Matt Cartwright,LEHMAN TWP #2,435
Pike,D,U.S. House,8,Matt Cartwright,MATAMORAS  BORO # 1,71
Pike,D,U.S. House,8,Matt Cartwright,MATAMORAS  BORO # 2,101
Pike,D,U.S. House,8,Matt Cartwright,MILFORD BORO,107
Pike,D,U.S. House,8,Matt Cartwright,MILFORD TWP,142
Pike,D,U.S. House,8,Matt Cartwright,PALMYRA TWP,286
Pike,D,U.S. House,8,Matt Cartwright,PORTER TWP,33
Pike,D,U.S. House,8,Matt Cartwright,SHOHOLA TWP,191
Pike,D,U.S. House,8,Matt Cartwright,WESTFALL TWP,192
Pike,D,General Assembly,139,Marian Keegan,BLOOMING GROVE TWP,406
Pike,D,General Assembly,139,Marian Keegan,DINGMAN TWP #1,467
Pike,D,General Assembly,139,Marian Keegan,DINGMAN TWP #2,380
Pike,D,General Assembly,139,Marian Keegan,GREENE TWP,238
Pike,D,General Assembly,139,Marian Keegan,LACKAWAXEN TWP #1,150
Pike,D,General Assembly,139,Marian Keegan,LACKAWAXEN TWP #2,160
Pike,D,General Assembly,139,Marian Keegan,MATAMORAS  BORO # 1,76
Pike,D,General Assembly,139,Marian Keegan,MATAMORAS  BORO # 2,99
Pike,D,General Assembly,139,Marian Keegan,MILFORD BORO,108
Pike,D,General Assembly,139,Marian Keegan,MILFORD TWP,155
