county,precinct,office,district,party,candidate,election_day,mail_in,absentee,votes
Mifflin,DERRY - EAST,Ballots Cast,,DEM,,28,0,93,121
Mifflin,DERRY - EAST,Ballots Cast,,REP,,220,1,159,380
Mifflin,DERRY - EAST,Ballots Cast,,NPA,,0,0,0,0
Mifflin,DERRY - EAST,President,,DEM,Bernie Sanders,6,0,9,15
Mifflin,DERRY - EAST,President,,DEM,Joseph R Biden,13,0,78,91
Mifflin,DERRY - EAST,President,,DEM,Tulsi Gabbard,3,0,3,6
Mifflin,DERRY - EAST,President,,DEM,Write-In,1,0,0,1
Mifflin,DERRY - EAST,Attorney General,,DEM,Josh Shapiro,21,0,84,105
Mifflin,DERRY - EAST,Attorney General,,DEM,Write-In,0,0,0,0
Mifflin,DERRY - EAST,Auditor General,,DEM,H Scott Conklin,21,0,68,89
Mifflin,DERRY - EAST,Auditor General,,DEM,Michael Lamb,0,0,0,0
Mifflin,DERRY - EAST,Auditor General,,DEM,Tracie Fountain,3,0,5,8
Mifflin,DERRY - EAST,Auditor General,,DEM,Rose Rosie Marie Davis,0,0,0,0
Mifflin,DERRY - EAST,Auditor General,,DEM,Nina Ahmad,0,0,12,12
Mifflin,DERRY - EAST,Auditor General,,DEM,Christina M Hartman,0,0,4,4
Mifflin,DERRY - EAST,Auditor General,,DEM,Write-In,0,0,0,0
Mifflin,DERRY - EAST,State Treasurer,,DEM,Joe Torsella,22,0,84,106
Mifflin,DERRY - EAST,State Treasurer,,DEM,Write-In,0,0,0,0
Mifflin,DERRY - EAST,U.S. House,12,DEM,Lee Griffin,21,0,84,105
Mifflin,DERRY - EAST,U.S. House,12,DEM,Write-In,0,0,0,0
Mifflin,DERRY - EAST,General Assembly,82,DEM,Write-In,0,0,7,7
Mifflin,DERRY - EAST,President,,REP,Donald J Trump,216,1,133,350
Mifflin,DERRY - EAST,President,,REP,Roque Rocky De La Fuente,0,0,5,5
Mifflin,DERRY - EAST,President,,REP,Bill Weld,2,0,9,11
Mifflin,DERRY - EAST,President,,REP,Write-In,0,0,3,3
Mifflin,DERRY - EAST,Attorney General,,REP,Heather Heidelbaugh,193,1,149,343
Mifflin,DERRY - EAST,Attorney General,,REP,Write-In,1,0,1,2
Mifflin,DERRY - EAST,Auditor General,,REP,Timothy Defoor,187,1,148,336
Mifflin,DERRY - EAST,Auditor General,,REP,Write-In,0,0,0,0
Mifflin,DERRY - EAST,State Treasurer,,REP,Stacy L Garrity,194,1,149,344
Mifflin,DERRY - EAST,State Treasurer,,REP,Write-In,0,0,0,0
Mifflin,DERRY - EAST,U.S. House,12,REP,Fred Keller,200,1,153,354
Mifflin,DERRY - EAST,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,DERRY - EAST,General Assembly,82,REP,John Hershey,209,1,155,365
Mifflin,DERRY - EAST,General Assembly,82,REP,Write-In,0,0,0,0
Mifflin,DERRY - NORTH,Registered Voters,,,,,,,1032
Mifflin,DERRY - NORTH,Registered Voters,,DEM,,,,,270
Mifflin,DERRY - NORTH,Registered Voters,,REP,,,,,655
Mifflin,DERRY - NORTH,Registered Voters,,NPA,,,,,107
Mifflin,DERRY - NORTH,Ballots Cast,,,,213,11,149,373
Mifflin,DERRY - NORTH,Ballots Cast,,DEM,,34,0,62,96
Mifflin,DERRY - NORTH,Ballots Cast,,REP,,179,11,87,277
Mifflin,DERRY - NORTH,Ballots Cast,,NPA,,0,0,0,0
Mifflin,DERRY - NORTH,President,,DEM,Bernie Sanders,7,0,7,14
Mifflin,DERRY - NORTH,President,,DEM,Joseph R Biden,16,0,50,66
Mifflin,DERRY - NORTH,President,,DEM,Tulsi Gabbard,0,0,3,3
Mifflin,DERRY - NORTH,President,,DEM,Write-In,4,0,2,6
Mifflin,DERRY - NORTH,Attorney General,,DEM,Josh Shapiro,24,0,55,79
Mifflin,DERRY - NORTH,Attorney General,,DEM,Write-In,1,0,1,2
Mifflin,DERRY - NORTH,Auditor General,,DEM,H Scott Conklin,18,0,44,62
Mifflin,DERRY - NORTH,Auditor General,,DEM,Michael Lamb,1,0,0,1
Mifflin,DERRY - NORTH,Auditor General,,DEM,Tracie Fountain,6,0,6,12
Mifflin,DERRY - NORTH,Auditor General,,DEM,Rose Rosie Marie Davis,0,0,2,2
Mifflin,DERRY - NORTH,Auditor General,,DEM,Nina Ahmad,2,0,2,4
Mifflin,DERRY - NORTH,Auditor General,,DEM,Christina M Hartman,2,0,3,5
Mifflin,DERRY - NORTH,Auditor General,,DEM,Write-In,1,0,0,1
Mifflin,DERRY - NORTH,State Treasurer,,DEM,Joe Torsella,25,0,54,79
Mifflin,DERRY - NORTH,State Treasurer,,DEM,Write-In,2,0,0,2
Mifflin,DERRY - NORTH,U.S. House,12,DEM,Lee Griffin,22,0,52,74
Mifflin,DERRY - NORTH,U.S. House,12,DEM,Write-In,2,0,0,2
Mifflin,DERRY - NORTH,General Assembly,82,DEM,Write-In,4,0,3,7
Mifflin,DERRY - NORTH,President,,REP,Donald J Trump,173,11,75,259
Mifflin,DERRY - NORTH,President,,REP,Roque Rocky De La Fuente,0,0,0,0
Mifflin,DERRY - NORTH,President,,REP,Bill Weld,3,0,7,10
Mifflin,DERRY - NORTH,President,,REP,Write-In,2,0,1,3
Mifflin,DERRY - NORTH,Attorney General,,REP,Heather Heidelbaugh,154,7,72,233
Mifflin,DERRY - NORTH,Attorney General,,REP,Write-In,0,0,1,1
Mifflin,DERRY - NORTH,Auditor General,,REP,Timothy Defoor,153,7,74,234
Mifflin,DERRY - NORTH,Auditor General,,REP,Write-In,1,0,1,2
Mifflin,DERRY - NORTH,State Treasurer,,REP,Stacy L Garrity,151,7,74,232
Mifflin,DERRY - NORTH,State Treasurer,,REP,Write-In,1,0,1,2
Mifflin,DERRY - NORTH,U.S. House,12,REP,Fred Keller,165,8,77,250
Mifflin,DERRY - NORTH,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,DERRY - NORTH,General Assembly,82,REP,John Hershey,174,8,84,266
Mifflin,DERRY - NORTH,General Assembly,82,REP,Write-In,0,0,0,0
Mifflin,DERRY - SOUTH,Registered Voters,,,,,,,1262
Mifflin,DERRY - SOUTH,Registered Voters,,DEM,,,,,381
Mifflin,DERRY - SOUTH,Registered Voters,,REP,,,,,738
Mifflin,DERRY - SOUTH,Registered Voters,,NPA,,,,,143
Mifflin,DERRY - SOUTH,Ballots Cast,,,,247,1,215,463
Mifflin,DERRY - SOUTH,Ballots Cast,,DEM,,45,0,99,144
Mifflin,DERRY - SOUTH,Ballots Cast,,REP,,202,1,116,319
Mifflin,DERRY - SOUTH,Ballots Cast,,NPA,,0,0,0,0
Mifflin,DERRY - SOUTH,President,,DEM,Bernie Sanders,12,0,9,21
Mifflin,DERRY - SOUTH,President,,DEM,Joseph R Biden,25,0,83,108
Mifflin,DERRY - SOUTH,President,,DEM,Tulsi Gabbard,3,0,3,6
Mifflin,DERRY - SOUTH,President,,DEM,Write-In,1,0,1,2
Mifflin,DERRY - SOUTH,Attorney General,,DEM,Josh Shapiro,39,0,97,136
Mifflin,DERRY - SOUTH,Attorney General,,DEM,Write-In,1,0,0,1
Mifflin,DERRY - SOUTH,Auditor General,,DEM,H Scott Conklin,29,0,73,102
Mifflin,DERRY - SOUTH,Auditor General,,DEM,Michael Lamb,2,0,3,5
Mifflin,DERRY - SOUTH,Auditor General,,DEM,Tracie Fountain,4,0,1,5
Mifflin,DERRY - SOUTH,Auditor General,,DEM,Rose Rosie Marie Davis,2,0,3,5
Mifflin,DERRY - SOUTH,Auditor General,,DEM,Nina Ahmad,3,0,9,12
Mifflin,DERRY - SOUTH,Auditor General,,DEM,Christina M Hartman,2,0,9,11
Mifflin,DERRY - SOUTH,Auditor General,,DEM,Write-In,1,0,0,1
Mifflin,DERRY - SOUTH,State Treasurer,,DEM,Joe Torsella,39,0,95,134
Mifflin,DERRY - SOUTH,State Treasurer,,DEM,Write-In,1,0,1,2
Mifflin,DERRY - SOUTH,U.S. House,12,DEM,Lee Griffin,36,0,93,129
Mifflin,DERRY - SOUTH,U.S. House,12,DEM,Write-In,1,0,0,1
Mifflin,DERRY - SOUTH,General Assembly,82,DEM,Write-In,3,0,5,8
Mifflin,DERRY - SOUTH,President,,REP,Donald J Trump,196,1,93,290
Mifflin,DERRY - SOUTH,President,,REP,Roque Rocky De La Fuente,2,0,1,3
Mifflin,DERRY - SOUTH,President,,REP,Bill Weld,3,0,15,18
Mifflin,DERRY - SOUTH,President,,REP,Write-In,1,0,3,4
Mifflin,DERRY - SOUTH,Attorney General,,REP,Heather Heidelbaugh,189,1,100,290
Mifflin,DERRY - SOUTH,Attorney General,,REP,Write-In,0,0,0,0
Mifflin,DERRY - SOUTH,Auditor General,,REP,Timothy Defoor,185,1,96,282
Mifflin,DERRY - SOUTH,Auditor General,,REP,Write-In,0,0,0,0
Mifflin,DERRY - SOUTH,State Treasurer,,REP,Stacy L Garrity,186,1,101,288
Mifflin,DERRY - SOUTH,State Treasurer,,REP,Write-In,0,0,0,0
Mifflin,DERRY - SOUTH,U.S. House,12,REP,Fred Keller,188,1,106,295
Mifflin,DERRY - SOUTH,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,DERRY - SOUTH,General Assembly,82,REP,John Hershey,192,1,109,302
Mifflin,DERRY - SOUTH,General Assembly,82,REP,Write-In,0,0,0,0
Mifflin,DERRY - WEST,Registered Voters,,,,,,,812
Mifflin,DERRY - WEST,Registered Voters,,DEM,,,,,269
Mifflin,DERRY - WEST,Registered Voters,,REP,,,,,444
Mifflin,DERRY - WEST,Registered Voters,,NPA,,,,,99
Mifflin,DERRY - WEST,Ballots Cast,,,,181,0,93,274
Mifflin,DERRY - WEST,Ballots Cast,,DEM,,43,0,50,93
Mifflin,DERRY - WEST,Ballots Cast,,REP,,138,0,43,181
Mifflin,DERRY - WEST,Ballots Cast,,NPA,,0,0,0,0
Mifflin,DERRY - WEST,President,,DEM,Bernie Sanders,9,0,8,17
Mifflin,DERRY - WEST,President,,DEM,Joseph R Biden,14,0,37,51
Mifflin,DERRY - WEST,President,,DEM,Tulsi Gabbard,4,0,2,6
Mifflin,DERRY - WEST,President,,DEM,Write-In,11,0,1,12
Mifflin,DERRY - WEST,Attorney General,,DEM,Josh Shapiro,35,0,49,84
Mifflin,DERRY - WEST,Attorney General,,DEM,Write-In,3,0,0,3
Mifflin,DERRY - WEST,Auditor General,,DEM,H Scott Conklin,22,0,36,58
Mifflin,DERRY - WEST,Auditor General,,DEM,Michael Lamb,3,0,1,4
Mifflin,DERRY - WEST,Auditor General,,DEM,Tracie Fountain,5,0,3,8
Mifflin,DERRY - WEST,Auditor General,,DEM,Rose Rosie Marie Davis,1,0,2,3
Mifflin,DERRY - WEST,Auditor General,,DEM,Nina Ahmad,1,0,6,7
Mifflin,DERRY - WEST,Auditor General,,DEM,Christina M Hartman,5,0,1,6
Mifflin,DERRY - WEST,Auditor General,,DEM,Write-In,3,0,0,3
Mifflin,DERRY - WEST,State Treasurer,,DEM,Joe Torsella,36,0,48,84
Mifflin,DERRY - WEST,State Treasurer,,DEM,Write-In,3,0,0,3
Mifflin,DERRY - WEST,U.S. House,12,DEM,Lee Griffin,31,0,44,75
Mifflin,DERRY - WEST,U.S. House,12,DEM,Write-In,3,0,0,3
Mifflin,DERRY - WEST,General Assembly,82,DEM,Write-In,5,0,4,9
Mifflin,DERRY - WEST,President,,REP,Donald J Trump,135,0,37,172
Mifflin,DERRY - WEST,President,,REP,Roque Rocky De La Fuente,0,0,1,1
Mifflin,DERRY - WEST,President,,REP,Bill Weld,1,0,3,4
Mifflin,DERRY - WEST,President,,REP,Write-In,0,0,2,2
Mifflin,DERRY - WEST,Attorney General,,REP,Heather Heidelbaugh,124,0,36,160
Mifflin,DERRY - WEST,Attorney General,,REP,Write-In,0,0,1,1
Mifflin,DERRY - WEST,Auditor General,,REP,Timothy Defoor,122,0,37,159
Mifflin,DERRY - WEST,Auditor General,,REP,Write-In,0,0,2,2
Mifflin,DERRY - WEST,State Treasurer,,REP,Stacy L Garrity,125,0,36,161
Mifflin,DERRY - WEST,State Treasurer,,REP,Write-In,0,0,2,2
Mifflin,DERRY - WEST,U.S. House,12,REP,Fred Keller,133,0,37,170
Mifflin,DERRY - WEST,U.S. House,12,REP,Write-In,0,0,2,2
Mifflin,DERRY - WEST,General Assembly,82,REP,John Hershey,133,0,42,175
Mifflin,DERRY - WEST,General Assembly,82,REP,Write-In,0,0,0,0
Mifflin,GRANVILLE - EAST,Registered Voters,,,,,,,975
Mifflin,GRANVILLE - EAST,Registered Voters,,DEM,,,,,281
Mifflin,GRANVILLE - EAST,Registered Voters,,REP,,,,,590
Mifflin,GRANVILLE - EAST,Registered Voters,,NPA,,,,,104
Mifflin,GRANVILLE - EAST,Ballots Cast,,,,225,1,105,331
Mifflin,GRANVILLE - EAST,Ballots Cast,,DEM,,48,0,50,98
Mifflin,GRANVILLE - EAST,Ballots Cast,,REP,,177,1,55,233
Mifflin,GRANVILLE - EAST,Ballots Cast,,NPA,,0,0,0,0
Mifflin,GRANVILLE - EAST,President,,DEM,Bernie Sanders,2,0,11,13
Mifflin,GRANVILLE - EAST,President,,DEM,Joseph R Biden,23,0,37,60
Mifflin,GRANVILLE - EAST,President,,DEM,Tulsi Gabbard,7,0,1,8
Mifflin,GRANVILLE - EAST,President,,DEM,Write-In,8,0,0,8
Mifflin,GRANVILLE - EAST,Attorney General,,DEM,Josh Shapiro,39,0,47,86
Mifflin,GRANVILLE - EAST,Attorney General,,DEM,Write-In,1,0,1,2
Mifflin,GRANVILLE - EAST,Auditor General,,DEM,H Scott Conklin,29,0,27,56
Mifflin,GRANVILLE - EAST,Auditor General,,DEM,Michael Lamb,2,0,5,7
Mifflin,GRANVILLE - EAST,Auditor General,,DEM,Tracie Fountain,3,0,7,10
Mifflin,GRANVILLE - EAST,Auditor General,,DEM,Rose Rosie Marie Davis,2,0,2,4
Mifflin,GRANVILLE - EAST,Auditor General,,DEM,Nina Ahmad,3,0,6,9
Mifflin,GRANVILLE - EAST,Auditor General,,DEM,Christina M Hartman,5,0,1,6
Mifflin,GRANVILLE - EAST,Auditor General,,DEM,Write-In,0,0,1,1
