county,office,district,party,candidate,votes,election_day,mail,absentee,provisional
Carbon,Auditor General,,GRE,Olivia Faison,316,212,83,15,6
Carbon,Auditor General,,,Write-In Totals,29,19,7,2,1
Carbon,State Treasurer,,DEM,Joe Torsella,11006,5252,4977,626,151
Carbon,State Treasurer,,REP,Stacy L. Garrity,20762,17428,2347,690,297
Carbon,State Treasurer,,LIB,Joe Soloski,721,553,128,24,16
Carbon,State Treasurer,,GRE,Timothy Runkle,327,200,103,20,4
Carbon,State Treasurer,,,Write-In Totals,24,14,8,1,1
Carbon,U.S. House,9,DEM,GARY WEGMAN,10768,5054,4926,634,154
Carbon,U.S. House,9,REP,DAN MEUSER,22227,18484,2682,740,321
Carbon,U.S. House,9,,Write-In Totals,51,35,13,2,1
Carbon,State House,122,REP,Doyle Heffley,28339,20701,6081,1143,414
Carbon,State House,122,,Write-In Totals,906,425,419,52,10
Carbon,State House,124,DEM,Taylor Picone,606,337,230,33,6
Carbon,State House,124,REP,Jerry Knowles,942,775,128,29,10
Carbon,State House,124,,Write-In Totals,2,1,1,0,0
Elk,Registered Voters,,,,20590,,,,
Elk,Ballots Cast,,,,17035,12991,3852,,192
Elk,Ballots Cast Blank,,,,2,1,0,,1
Elk,President,,DEM,Joseph R. Biden,4522,2337,2141,,44
Elk,President,,REP,Donald J. Trump,12140,10377,1618,,145
Elk,President,,LIB,Jo Jorgensen,244,179,63,,2
Elk,President,,,Write-In Totals,40,23,17,,0
Elk,Attorney General,,DEM,Josh Shapiro,4994,2761,2179,,54
Elk,Attorney General,,REP,Heather Heidelbaugh,11349,9705,1514,,130
Elk,Attorney General,,LIB,Daniel Wassmer,264,217,44,,3
Elk,Attorney General,,GRE,Richard L Weiss,134,99,32,,3
Elk,Attorney General,,,Write-In Totals,12,11,1,,0
Elk,Auditor General,,DEM,Nina Ahmad,4246,2223,1980,,43
Elk,Auditor General,,REP,Timothy Defoor,11607,9864,1609,,134
Elk,Auditor General,,LIB,Jennifer Moore,613,501,104,,8
Elk,Auditor General,,GRE,Olivia Faison,163,120,40,,3
Elk,Auditor General,,,Write-In Totals,5,5,0,,0
Elk,State Treasurer,,DEM,Joe Torsella,4728,2638,2041,,49
Elk,State Treasurer,,REP,Stacy L. Garrity,11387,9658,1596,,133
Elk,State Treasurer,,LIB,Joe Soloski,404,328,70,,6
Elk,State Treasurer,,GRE,Timothy Runkle,148,111,36,,1
Elk,State Treasurer,,,Write-In Totals,6,6,0,,0
Elk,U.S. House,15,REP,G.T. Thompson,12595,10584,1866,,145
Elk,U.S. House,15,DEM,Robert Williams,4155,2221,1890,,44
Elk,U.S. House,15,,Write-In Totals,19,15,4,,0
Elk,State Senate,25,DEM,MARGIE BROWN,4952,2762,2142,,48
Elk,State Senate,25,REP,CRIS DUSH,11745,10017,1590,,138
Elk,State Senate,25,,Write-In Totals,11,10,1,,0
Elk,State House,75,DEM,Ryan Grimm,4208,2321,1841,,46
Elk,State House,75,REP,Mike Armanini,12583,10515,1925,,143
Elk,State House,75,,Write-In Totals,11,8,3,,0
