county,precinct,office,district,party,candidate,votes,vote_for
Pike,GREENE TWP,Greene Twp Auditor 2yr,,,Write-ins,1,1
Pike,GREENE TWP,Greene Twp Constable,,,Write-ins,213,1
Pike,GREENE TWP,Greene Twp Constable,,,Casey Fazio,0,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Supervisor,,D/R,Michael Mike Mancino,617,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Supervisor,,,Write-ins,11,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Supervisor,,D/R,Michael Mike Mancino,531,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Supervisor,,,Write-ins,25,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Tax Collector,,D/R,Michelle Thompson,635,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Tax Collector,,,Write-ins,11,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Tax Collector,,D/R,Michelle Thompson,589,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Tax Collector,,,Write-ins,8,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Auditor 6yr,,REP,Linda Doering,418,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Auditor 6yr,,LIB,Michael D'Eredita,253,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Auditor 6yr,,,Write-ins,2,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Auditor 6yr,,REP,Linda Doering,448,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Auditor 6yr,,LIB,Michael D'Eredita,171,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Auditor 6yr,,,Write-ins,4,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Auditor 4yr,,REP,Linda Doering,411,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Auditor 4yr,,LIB,Michael D'Eredita,261,1
Pike,LACKAWAXEN TWP #1,Lackawaxen Twp Auditor 4yr,,,Write-ins,2,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Auditor 4yr,,REP,Linda Doering,436,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Auditor 4yr,,LIB,Michael D'Eredita,173,1
Pike,LACKAWAXEN TWP #2,Lackawaxen Twp Auditor 4yr,,,Write-ins,4,1
Pike,LEHMAN TWP #1,Lehman Twp Supervisor,,DEM,Aaron L. Springs,739,1
Pike,LEHMAN TWP #1,Lehman Twp Supervisor,,,Write-ins,27,1
Pike,LEHMAN TWP #2,Lehman Twp Supervisor,,DEM,Aaron L. Springs,916,1
Pike,LEHMAN TWP #2,Lehman Twp Supervisor,,,Write-ins,34,1
Pike,LEHMAN TWP #1,Lehman Twp Tax Collector,,D/R,Bonnie VanWhy Wargo,843,1
Pike,LEHMAN TWP #1,Lehman Twp Tax Collector,,,Write-ins,12,1
Pike,LEHMAN TWP #2,Lehman Twp Tax Collector,,D/R,Bonnie VanWhy Wargo,971,1
Pike,LEHMAN TWP #2,Lehman Twp Tax Collector,,,Write-ins,21,1
Pike,LEHMAN TWP #1,Lehman Twp Auditor,,DEM,Matthew Jacobson,731,1
Pike,LEHMAN TWP #1,Lehman Twp Auditor,,,Write-ins,24,1
Pike,LEHMAN TWP #2,Lehman Twp Auditor,,DEM,Matthew Jacobson,914,1
Pike,LEHMAN TWP #2,Lehman Twp Auditor,,,Write-ins,34,1
Pike,MATAMORAS BORO,Matamoras Boro Councilman,,DEM,Mark J. Toussaint,336,4
Pike,MATAMORAS BORO,Matamoras Boro Councilman,,DEM,"Michael J. Mady, Jr.",301,4
Pike,MATAMORAS BORO,Matamoras Boro Councilman,,DEM,Dayne Losee,293,4
Pike,MATAMORAS BORO,Matamoras Boro Councilman,,REP,Jonathan Maney,346,4
Pike,MATAMORAS BORO,Matamoras Boro Councilman,,REP,Harry Prey,307,4
Pike,MATAMORAS BORO,Matamoras Boro Councilman,,REP,"John Bush, Jr.",246,4
Pike,MATAMORAS BORO,Matamoras Boro Councilman,,REP,Kyle Innella,255,4
Pike,MATAMORAS BORO,Matamoras Boro Councilman,,,Write-ins,9,4
Pike,MATAMORAS BORO,Matamoras Boro Tax Collector,,DEM,Amy S. Turner,372,1
Pike,MATAMORAS BORO,Matamoras Boro Tax Collector,,REP,Eddie Addison,264,1
Pike,MATAMORAS BORO,Matamoras Boro Tax Collector,,,Write-ins,8,1
Pike,MATAMORAS BORO,Matamoras Ems Tax Question,,,YES,356,1
Pike,MATAMORAS BORO,Matamoras Ems Tax Question,,,NO,269,1
Pike,MILFORD BORO,Matamoras Ems Tax Question,,,YES,276,1
Pike,MILFORD BORO,Matamoras Ems Tax Question,,,NO,158,1
Pike,MILFORD BORO,Milford Boro Councilman,,DEM,Maria Farrell,265,3
Pike,MILFORD BORO,Milford Boro Councilman,,D/R,Doug Manion,240,3
Pike,MILFORD BORO,Milford Boro Councilman,,REP,George R. Lutfy,184,3
Pike,MILFORD BORO,Milford Boro Councilman,,REP,John Messer,159,3
Pike,MILFORD BORO,Milford Boro Councilman,,,Write-ins,1,3
Pike,MILFORD BORO,Milford Boro Tax Collector,,REP,Carol S. Osterberg,307,1
Pike,MILFORD BORO,Milford Boro Tax Collector,,,Write-ins,5,1
Pike,MILFORD TWP,Milford Twp Supervisor,,DEM,Rachel Hendricks,349,1
Pike,MILFORD TWP,Milford Twp Supervisor,,,Write-ins,17,1
Pike,MILFORD TWP,Milford Twp Tax Collector,,REP,Lorelei K. Davis,398,1
Pike,MILFORD TWP,Milford Twp Tax Collector,,,Write-ins,11,1
Pike,MILFORD TWP,Milford Twp Auditor,,,Write-ins,29,1
Pike,MILFORD TWP,Milford Twp Auditor,,,Jonathan Fornoff,0,1
Pike,MILFORD TWP,Milford Twp Auditor,,,Sarah Howell,0,1
Pike,MILFORD TWP,Milford Twp Auditor,,,Patrick McCarthy,0,1
Pike,PALMYRA TWP,Palmyra Twp Supervisor,,REP,Thomas R. Mueller,757,1
Pike,PALMYRA TWP,Palmyra Twp Supervisor,,,Write-ins,17,1
Pike,PALMYRA TWP,Palmyra Twp Tax Collector,,D/R,Maria Coutts,929,1
Pike,PALMYRA TWP,Palmyra Twp Tax Collector,,,Write-ins,4,1
Pike,PALMYRA TWP,Palmyra Twp Auditor,,DEM,Bernadine Lennon,504,1
Pike,PALMYRA TWP,Palmyra Twp Auditor,,REP,Jerome Lucchese,512,1
Pike,PALMYRA TWP,Palmyra Twp Auditor,,,Write-ins,3,1
Pike,PORTER TWP,Porter Twp Supervisor,,REP,Robert O'Neill,70,1
Pike,PORTER TWP,Porter Twp Supervisor,,NA,Lara A. Dodsworth,74,1
Pike,PORTER TWP,Porter Twp Supervisor,,,Write-ins,2,1
Pike,PORTER TWP,Porter Twp Tax Collector,,REP,Joan Horger - REP,141,1
Pike,PORTER TWP,Porter Twp Tax Collector,,,Write-ins,2,1
Pike,PORTER TWP,Porter Twp Auditor 6yr,,NA,Lara A. Dodsworth - NA,124,1
Pike,PORTER TWP,Porter Twp Auditor 6yr,,,Write-ins,3,1
Pike,PORTER TWP,Porter Twp Auditor 2yr,,,Write-ins,7,1
Pike,PORTER TWP,Porter Twp Auditor 2yr,,,Lynn Altreed,0,1
Pike,SHOHOLA TWP,Shohola Twp Supervisor,,D/R,Keith W. Raser - D/R,643,1
Pike,SHOHOLA TWP,Shohola Twp Supervisor,,,Write-ins,10,1
Pike,SHOHOLA TWP,Shohola Twp Tax Collector,,D/R,Juli Fuhse - D/R,723,1
Pike,SHOHOLA TWP,Shohola Twp Tax Collector,,,Write-ins,14,1
Pike,SHOHOLA TWP,Shohola Twp Auditor,,REP,Ann Seaman - REP,623,1
Pike,SHOHOLA TWP,Shohola Twp Auditor,,,Write-ins,7,1
Pike,WESTFALL TWP,Westfall Twp Supervisor,,D/R,J. Bernard Swartwood III - D/R,573,2
Pike,WESTFALL TWP,Westfall Twp Supervisor,,REP,Peter Joannou - REP,497,2
Pike,WESTFALL TWP,Westfall Twp Supervisor,,,Write-ins,100,2
Pike,WESTFALL TWP,Westfall Twp Tax Collector,,DEM,Christina Lock - DEM,547,1
Pike,WESTFALL TWP,Westfall Twp Tax Collector,,REP,Suzanne M. McBride - REP,418,1
Pike,WESTFALL TWP,Westfall Twp Tax Collector,,,Write-ins,0,1
Pike,WESTFALL TWP,Westfall Twp Auditor,,REP,Dorit Smith - REP,593,1
Pike,WESTFALL TWP,Westfall Twp Auditor,,,Write-ins,92,1
Pike,Total,Westfall Twp Auditor,,REP,Dorit Smith - REP,593,1
Pike,Total,Westfall Twp Auditor,,,Write-ins,92,1
Pike,BLOOMING GROVE TWP,Supreme Court Justice Retain Donohue,,,Yes,770,1
Pike,BLOOMING GROVE TWP,Supreme Court Justice Retain Donohue,,,No,591,1
Pike,DELAWARE TWP #1,Supreme Court Justice Retain Donohue,,,Yes,436,1
Pike,DELAWARE TWP #1,Supreme Court Justice Retain Donohue,,,No,455,1
Pike,DELAWARE TWP #2,Supreme Court Justice Retain Donohue,,,Yes,385,1
Pike,DELAWARE TWP #2,Supreme Court Justice Retain Donohue,,,No,458,1
Pike,DINGMAN TWP #1,Supreme Court Justice Retain Donohue,,,Yes,835,1
Pike,DINGMAN TWP #1,Supreme Court Justice Retain Donohue,,,No,855,1
Pike,DINGMAN TWP #2,Supreme Court Justice Retain Donohue,,,Yes,788,1
Pike,DINGMAN TWP #2,Supreme Court Justice Retain Donohue,,,No,745,1
Pike,GREENE TWP,Supreme Court Justice Retain Donohue,,,Yes,423,1
Pike,GREENE TWP,Supreme Court Justice Retain Donohue,,,No,565,1
Pike,LACKAWAXEN TWP #1,Supreme Court Justice Retain Donohue,,,Yes,354,1
Pike,LACKAWAXEN TWP #1,Supreme Court Justice Retain Donohue,,,No,368,1
Pike,LACKAWAXEN TWP #2,Supreme Court Justice Retain Donohue,,,Yes,286,1
Pike,LACKAWAXEN TWP #2,Supreme Court Justice Retain Donohue,,,No,383,1
Pike,LEHMAN TWP #1,Supreme Court Justice Retain Donohue,,,Yes,631,1
Pike,LEHMAN TWP #1,Supreme Court Justice Retain Donohue,,,No,306,1
Pike,LEHMAN TWP #2,Supreme Court Justice Retain Donohue,,,Yes,755,1
Pike,LEHMAN TWP #2,Supreme Court Justice Retain Donohue,,,No,314,1
Pike,MATAMORAS BORO,Supreme Court Justice Retain Donohue,,,Yes,358,1
Pike,MATAMORAS BORO,Supreme Court Justice Retain Donohue,,,No,268,1
Pike,MILFORD BORO,Supreme Court Justice Retain Donohue,,,Yes,277,1
Pike,MILFORD BORO,Supreme Court Justice Retain Donohue,,,No,137,1
Pike,MILFORD TWP,Supreme Court Justice Retain Donohue,,,Yes,265,1
Pike,MILFORD TWP,Supreme Court Justice Retain Donohue,,,No,234,1
Pike,PALMYRA TWP,Supreme Court Justice Retain Donohue,,,Yes,508,1
Pike,PALMYRA TWP,Supreme Court Justice Retain Donohue,,,No,494,1
Pike,PORTER TWP,Supreme Court Justice Retain Donohue,,,Yes,76,1
Pike,PORTER TWP,Supreme Court Justice Retain Donohue,,,No,74,1
Pike,SHOHOLA TWP,Supreme Court Justice Retain Donohue,,,Yes,384,1
Pike,SHOHOLA TWP,Supreme Court Justice Retain Donohue,,,No,420,1
Pike,WESTFALL TWP,Supreme Court Justice Retain Donohue,,,Yes,462,1
Pike,WESTFALL TWP,Supreme Court Justice Retain Donohue,,,No,473,1
Pike,BLOOMING GROVE TWP,Supreme Court Justice Retain Dougherty,,,Yes,761,1
Pike,BLOOMING GROVE TWP,Supreme Court Justice Retain Dougherty,,,No,586,1
Pike,DELAWARE TWP #1,Supreme Court Justice Retain Dougherty,,,Yes,438,1
Pike,DELAWARE TWP #1,Supreme Court Justice Retain Dougherty,,,No,447,1
Pike,DELAWARE TWP #2,Supreme Court Justice Retain Dougherty,,,Yes,384,1
Pike,DELAWARE TWP #2,Supreme Court Justice Retain Dougherty,,,No,454,1
Pike,DINGMAN TWP #1,Supreme Court Justice Retain Dougherty,,,Yes,825,1
Pike,DINGMAN TWP #1,Supreme Court Justice Retain Dougherty,,,No,850,1
Pike,DINGMAN TWP #2,Supreme Court Justice Retain Dougherty,,,Yes,785,1
Pike,DINGMAN TWP #2,Supreme Court Justice Retain Dougherty,,,No,740,1
Pike,GREENE TWP,Supreme Court Justice Retain Dougherty,,,Yes,410,1
Pike,GREENE TWP,Supreme Court Justice Retain Dougherty,,,No,569,1
Pike,LACKAWAXEN TWP #1,Supreme Court Justice Retain Dougherty,,,Yes,347,1
Pike,LACKAWAXEN TWP #1,Supreme Court Justice Retain Dougherty,,,No,369,1
Pike,LACKAWAXEN TWP #2,Supreme Court Justice Retain Dougherty,,,Yes,287,1
Pike,LACKAWAXEN TWP #2,Supreme Court Justice Retain Dougherty,,,No,379,1
Pike,LEHMAN TWP #1,Supreme Court Justice Retain Dougherty,,,Yes,620,1
Pike,LEHMAN TWP #1,Supreme Court Justice Retain Dougherty,,,No,311,1
Pike,LEHMAN TWP #2,Supreme Court Justice Retain Dougherty,,,Yes,736,1
Pike,LEHMAN TWP #2,Supreme Court Justice Retain Dougherty,,,No,320,1
Pike,MATAMORAS BORO,Supreme Court Justice Retain Dougherty,,,Yes,345,1
Pike,MATAMORAS BORO,Supreme Court Justice Retain Dougherty,,,No,275,1
Pike,MILFORD BORO,Supreme Court Justice Retain Dougherty,,,Yes,270,1
Pike,MILFORD BORO,Supreme Court Justice Retain Dougherty,,,No,139,1
Pike,MILFORD TWP,Supreme Court Justice Retain Dougherty,,,Yes,268,1
Pike,MILFORD TWP,Supreme Court Justice Retain Dougherty,,,No,225,1
Pike,PALMYRA TWP,Supreme Court Justice Retain Dougherty,,,Yes,501,1
Pike,PALMYRA TWP,Supreme Court Justice Retain Dougherty,,,No,494,1
Pike,PORTER TWP,Supreme Court Justice Retain Dougherty,,,Yes,71,1
Pike,PORTER TWP,Supreme Court Justice Retain Dougherty,,,No,76,1
Pike,SHOHOLA TWP,Supreme Court Justice Retain Dougherty,,,Yes,382,1
Pike,SHOHOLA TWP,Supreme Court Justice Retain Dougherty,,,No,416,1
Pike,WESTFALL TWP,Supreme Court Justice Retain Dougherty,,,Yes,444,1
Pike,WESTFALL TWP,Supreme Court Justice Retain Dougherty,,,No,483,1
Pike,BLOOMING GROVE TWP,Superior Court Judge Retain Dubow,,,Yes,755,1
Pike,BLOOMING GROVE TWP,Superior Court Judge Retain Dubow,,,No,566,1
Pike,DELAWARE TWP #1,Superior Court Judge Retain Dubow,,,Yes,420,1
Pike,DELAWARE TWP #1,Superior Court Judge Retain Dubow,,,No,457,1
Pike,DELAWARE TWP #2,Superior Court Judge Retain Dubow,,,Yes,378,1
Pike,DELAWARE TWP #2,Superior Court Judge Retain Dubow,,,No,451,1
Pike,DINGMAN TWP #1,Superior Court Judge Retain Dubow,,,Yes,843,1
Pike,DINGMAN TWP #1,Superior Court Judge Retain Dubow,,,No,810,1
Pike,DINGMAN TWP #2,Superior Court Judge Retain Dubow,,,Yes,782,1
Pike,DINGMAN TWP #2,Superior Court Judge Retain Dubow,,,No,725,1
Pike,GREENE TWP,Superior Court Judge Retain Dubow,,,Yes,432,1
Pike,GREENE TWP,Superior Court Judge Retain Dubow,,,No,521,1
Pike,LACKAWAXEN TWP #1,Superior Court Judge Retain Dubow,,,Yes,355,1
Pike,LACKAWAXEN TWP #1,Superior Court Judge Retain Dubow,,,No,355,1
Pike,LACKAWAXEN TWP #2,Superior Court Judge Retain Dubow,,,Yes,292,1
Pike,LACKAWAXEN TWP #2,Superior Court Judge Retain Dubow,,,No,365,1
Pike,LEHMAN TWP #1,Superior Court Judge Retain Dubow,,,Yes,603,1
Pike,LEHMAN TWP #1,Superior Court Judge Retain Dubow,,,No,305,1
Pike,LEHMAN TWP #2,Superior Court Judge Retain Dubow,,,Yes,744,1
Pike,LEHMAN TWP #2,Superior Court Judge Retain Dubow,,,No,301,1
Pike,MATAMORAS BORO,Superior Court Judge Retain Dubow,,,Yes,342,1
Pike,MATAMORAS BORO,Superior Court Judge Retain Dubow,,,No,263,1
Pike,MILFORD BORO,Superior Court Judge Retain Dubow,,,Yes,262,1
Pike,MILFORD BORO,Superior Court Judge Retain Dubow,,,No,138,1
Pike,MILFORD TWP,Superior Court Judge Retain Dubow,,,Yes,261,1
Pike,MILFORD TWP,Superior Court Judge Retain Dubow,,,No,227,1
Pike,PALMYRA TWP,Superior Court Judge Retain Dubow,,,Yes,513,1
Pike,PALMYRA TWP,Superior Court Judge Retain Dubow,,,No,470,1
Pike,PORTER TWP,Superior Court Judge Retain Dubow,,,Yes,84,1
Pike,PORTER TWP,Superior Court Judge Retain Dubow,,,No,64,1
Pike,SHOHOLA TWP,Superior Court Judge Retain Dubow,,,Yes,392,1
Pike,SHOHOLA TWP,Superior Court Judge Retain Dubow,,,No,394,1
Pike,WESTFALL TWP,Superior Court Judge Retain Dubow,,,Yes,445,1
Pike,WESTFALL TWP,Superior Court Judge Retain Dubow,,,No,465,1
Pike,BLOOMING GROVE TWP,Commonwealth Court Judge Retain Wojcik,,,Yes,756,1
Pike,BLOOMING GROVE TWP,Commonwealth Court Judge Retain Wojcik,,,No,571,1
Pike,DELAWARE TWP #1,Commonwealth Court Judge Retain Wojcik,,,Yes,425,1
Pike,DELAWARE TWP #1,Commonwealth Court Judge Retain Wojcik,,,No,452,1
Pike,DELAWARE TWP #2,Commonwealth Court Judge Retain Wojcik,,,Yes,380,1
Pike,DELAWARE TWP #2,Commonwealth Court Judge Retain Wojcik,,,No,450,1
Pike,DINGMAN TWP #1,Commonwealth Court Judge Retain Wojcik,,,Yes,843,1
Pike,DINGMAN TWP #1,Commonwealth Court Judge Retain Wojcik,,,No,820,1
Pike,DINGMAN TWP #2,Commonwealth Court Judge Retain Wojcik,,,Yes,803,1
Pike,DINGMAN TWP #2,Commonwealth Court Judge Retain Wojcik,,,No,711,1
Pike,GREENE TWP,Commonwealth Court Judge Retain Wojcik,,,Yes,433,1
Pike,GREENE TWP,Commonwealth Court Judge Retain Wojcik,,,No,523,1
Pike,LACKAWAXEN TWP #1,Commonwealth Court Judge Retain Wojcik,,,Yes,356,1
Pike,LACKAWAXEN TWP #1,Commonwealth Court Judge Retain Wojcik,,,No,352,1
Pike,LACKAWAXEN TWP #2,Commonwealth Court Judge Retain Wojcik,,,Yes,296,1
Pike,LACKAWAXEN TWP #2,Commonwealth Court Judge Retain Wojcik,,,No,363,1
Pike,LEHMAN TWP #1,Commonwealth Court Judge Retain Wojcik,,,Yes,609,1
Pike,LEHMAN TWP #1,Commonwealth Court Judge Retain Wojcik,,,No,302,1
Pike,LEHMAN TWP #2,Commonwealth Court Judge Retain Wojcik,,,Yes,741,1
Pike,LEHMAN TWP #2,Commonwealth Court Judge Retain Wojcik,,,No,303,1
Pike,MATAMORAS BORO,Commonwealth Court Judge Retain Wojcik,,,Yes,343,1
Pike,MATAMORAS BORO,Commonwealth Court Judge Retain Wojcik,,,No,264,1
Pike,MILFORD BORO,Commonwealth Court Judge Retain Wojcik,,,Yes,263,1
Pike,MILFORD BORO,Commonwealth Court Judge Retain Wojcik,,,No,141,1
Pike,MILFORD TWP,Commonwealth Court Judge Retain Wojcik,,,Yes,268,1
Pike,MILFORD TWP,Commonwealth Court Judge Retain Wojcik,,,No,218,1
Pike,PALMYRA TWP,Commonwealth Court Judge Retain Wojcik,,,Yes,511,1
Pike,PALMYRA TWP,Commonwealth Court Judge Retain Wojcik,,,No,471,1
Pike,PORTER TWP,Commonwealth Court Judge Retain Wojcik,,,Yes,83,1
Pike,PORTER TWP,Commonwealth Court Judge Retain Wojcik,,,No,68,1
Pike,SHOHOLA TWP,Commonwealth Court Judge Retain Wojcik,,,Yes,396,1
Pike,SHOHOLA TWP,Commonwealth Court Judge Retain Wojcik,,,No,391,1
Pike,WESTFALL TWP,Commonwealth Court Judge Retain Wojcik,,,Yes,449,1
Pike,WESTFALL TWP,Commonwealth Court Judge Retain Wojcik,,,No,466,1
